"hmdbID","CompoundWithTMS","RT_min","RT","RI","Intensity","MatchFactor","RI.Similarity","Corr.Spearman","matchMZrate","matchMZnum","sampleMZnum","TScore","Area","RT.start","RT.end","peakType"
"HMDB00190","L-Lactic acid","9.751","585.055","1086.453","476135","220.454","91.18","38.16","67.63","94","106","58.66","17703859","9.706","9.795","NORMAL"
"HMDB00190","L-Lactic acid","9.853","591.162","1088.97","287597","175.9","95.06","23.49","68.35","95","125","58.46","62574924","9.662","10.044","SKEWED"
"HMDB00190","L-Lactic acid","9.974","598.415","1091.925","1122115","765.781","99.58","87.31","82.73","115","122","84.26","51083478","9.897","10.044","NORMAL"
"HMDB00190","L-Lactic acid","10.12","607.195","1095.455","224109","256.648","95.05","33.34","69.78","97","112","61.6","48763429","9.929","10.311","SKEWED"
"HMDB00190","L-Lactic acid","10.171","610.249","1096.671","192024","195.581","93.21","21.54","59.71","83","94","54.37","41780294","9.98","10.362","SKEWED"
"HMDB00190","L-Lactic acid","10.19","611.394","1097.125","186928","196.04","92.52","15.05","58.99","82","90","53.88","40671514","9.999","10.381","SKEWED"
"HMDB00190","L-Lactic acid","10.215","612.921","1097.729","185411","177.285","91.61","29.43","56.83","79","89","52.06","40341447","10.024","10.406","SKEWED"
"HMDB00115","Glycolic acid (2TMS)","10.33","619.792","1100.692","182135","194.78","95.9","33.15","54.55","78","92","52.3","39628660","10.139","10.521","SKEWED"
"HMDB00115","Glycolic acid (2TMS)","10.387","623.227","1102.842","182672","208.155","99.16","32.44","54.55","78","86","53.35","39747235","10.196","10.578","SKEWED"
"HMDB00115","Glycolic acid (2TMS)","10.432","625.899","1104.507","194638","249.523","98.33","42.77","60.84","87","97","57.57","42349044","10.241","10.623","SKEWED"
"HMDB00115","Glycolic acid (2TMS)","10.489","629.335","1106.637","182909","192.061","95.12","34.82","56.64","81","93","53.11","39797066","10.298","10.68","SKEWED"
"HMDB00883","Valine (TMS)","10.508","630.48","1107.344","180992","159.1","94.95","39.29","64.18","86","91","55.85","39381687","10.317","10.699","SKEWED"
"HMDB00883","Valine (TMS)","10.591","635.442","1110.394","185853","189.409","99.54","46.1","65.67","88","91","58.43","40437617","10.4","10.782","SKEWED"
"HMDB00883","Valine (TMS)","10.603","636.206","1110.862","182850","179.748","99.76","41.6","64.93","87","90","57.81","39785966","10.413","10.794","SKEWED"
"HMDB00883","Valine (TMS)","10.699","641.932","1114.348","183067","158.211","94.54","37.66","61.19","82","89","54.25","39831443","10.508","10.89","SKEWED"
"HMDB00883","Valine (TMS)","10.756","645.367","1116.424","186683","166.91","91.45","43","64.93","87","95","55.76","40619981","10.565","10.947","SKEWED"
"HMDB00161","Alanine","10.979","658.727","1124.396","190756","293.68","90.66","43.7","65.41","87","99","59.65","41504404","10.788","11.17","SKEWED"
"HMDB00161","Alanine","11.004","660.254","1125.297","188802","301.994","92","47.07","63.91","85","96","59.41","41079256","10.813","11.195","SKEWED"
"HMDB00161","Alanine","11.068","664.072","1127.541","182460","235.645","95.33","37.46","60.15","80","89","56.21","39699373","10.877","11.259","SKEWED"
"HMDB00161","Alanine","11.138","668.271","1129.993","353931","494.137","98.96","72.43","77.44","103","109","73.34","77007776","10.947","11.329","SKEWED"
"HMDB00161","Alanine","11.208","672.47","1132.43","195272","295.855","97.45","41.47","61.65","82","91","59.19","42486989","11.017","11.399","SKEWED"
"HMDB00161","Alanine","11.303","678.195","1135.729","731130","344.896","92.62","64.54","87.97","117","137","72.86","24187177","11.252","11.354","NORMAL"
"HMDB00123","Glycine (2TMS)","11.475","688.502","1141.597","176353","383.894","91.67","51.92","60.32","76","85","60.01","38372297","11.284","11.666","SKEWED"
"HMDB00123","Glycine (2TMS)","11.494","689.647","1142.244","175932","377.901","92.62","55.82","59.52","75","82","59.62","38280692","11.303","11.685","SKEWED"
"HMDB00123","Glycine (2TMS)","11.539","692.319","1143.748","173093","376.511","94.82","51.59","59.52","75","79","60.02","37662960","11.348","11.73","SKEWED"
"HMDB00123","Glycine (2TMS)","11.66","699.572","1147.803","181110","292.889","99.27","58.03","63.49","80","85","60.39","39407363","11.469","11.85","SKEWED"
