SeqIndex,HMDB_ID,Compound,LOQ,Intercept,Slope,rsq,adjrsq,Src,RT,RI
1,HMDB0000023,3-hydroxyisobutyric,40,NA,NA,NA,NA,Apr1116,9.61,1070.66
2,HMDB0000190,Lactic acid,4,0.009512228,0.611970957,0.862,0.8528,Apr1116,9.44,1075
3,HMDB0000005,2-oxobutanoic acid,20,-0.023848951,0.27212307,0.6587,0.6277,Apr1116,10.92,1115.27
4,HMDB0000019,2-oxoisovaleric,20,-0.004315936,0.123258385,0.9727,0.97,Apr1116,11.23,1126.05
5,HMDB0000008,2-hydroxybutyric,10,-0.001083922,0.210535835,0.8949,0.8861,Apr1116,11.72,1141.73
6,HMDB0001987,2-Hydroxy-2-methylbutyric acid,6,0.017912108,0.31657055,0.7679,0.7215,Apr1116,11.79,1149
7,HMDB0002329,Oxalic,20,0.000203218,0.012690517,0.9693,0.9642,Apr1116,11.9,1149.02
8,HMDB0001877,Valproic,10,0.007702349,0.045652724,0.7472,0.6967,Apr1116,12.29,1161.36
9,HMDB0000357,3-hydroxybutyric acid,1,-0.003711077,2.804099103,0.9886,0.9848,Apr1116_Old,12.59,1173.34
10,HMDB0000407,2-Hydroxyisovaleric Acid,20,-0.020228508,1.754788177,0.9814,0.98,Apr1116,12.82,1178.6
11,HMDB0000354,3-hydroxy-2-methylbutyric,20,-0.001159021,0.157834947,0.9772,0.9757,Apr1116,13.75,1209.5
12,HMDB0000691,Malonic acid,NA,-0.0011,0.4358,0.9083,0.8952,Apr1116,13.85,1216.28
13,HMDB0000754,3-Hydroxyisovaleric acid,2,0.0045,1.1519,0.9892,0.9865,Apr1116_Old,13.95,1220.14
14,HMDB0000202,Methylmalonic acid,3,0.010698426,0.803484346,0.964,0.955,Apr1116_Old,14.16,1228.29
15,HMDB0000396,2-ethyl-3-hydroxypropionic,10,0.001739634,0.846003152,0.9785,0.9771,Apr1116,14.62,1244.02
16,HMDB0001870,Benzoic acid,35,0.023341646,0.350954019,0.944,0.9347,Apr1116,14.74,1251.25
17,HMDB0000317,2-hydroxy-3-methylvaleric,10,0.011149972,1.039845538,0.9634,0.9601,Apr1116,14.95,1256.2
18,HMDB0000622,Ethylmalonic acid,2,0.034,1.8306,0.9973,0.9967,Apr1116_Old,15.82,1292.14
19,HMDB0000176,Maleic,10,-0.077935927,1.23726462,0.8671,0.8569,Apr1116,16.5,1316.17
20,HMDB0000254,Succinic acid,3,-0.017333643,0.493503254,0.9749,0.9686,Apr1116_Old,16.6,1323.54
21,HMDB0001844,2-Methylsuccinic acid,6,0.00496234,0.486652325,0.8065,0.7926,Apr1116,16.92,1337.82
22,HMDB0000139,Glyceric,40,-0.002642204,0.018260791,0.994,0.9928,Apr1116,17.27,1349.65
23,HMDB0000300,Uracil,10,-0.011918978,0.38896536,0.908,0.8988,Apr1116,17.33,1352.1
24,HMDB0000134,Fumaric Acid,20,0.0646,10.55,0.9767,0.9749,Apr1116,17.28,1360.21
25,HMDB0000634,Methylmaleic acid (citraconic acid),10,-0.019181427,0.71742087,0.8767,0.8679,Apr1116,17.53,1364.09
26,HMDB0000525,5-hydroxyhexanoic,10,0.009173163,0.964696203,0.8959,0.8873,Apr1116,17.73,1369.57
27,HMDB0000783,Propionylglycine,10,-0.016035049,0.288970335,0.8965,0.8879,Apr1116,17.78,1371.16
28,HMDB0006024,Mevalonolactone,10,-0.003915821,0.114684181,0.9549,0.9484,Apr1116,17.88,1375.92
29,HMDB0000661,Glutaric acid,8,0.0186,3.3577,0.9902,0.9895,Apr1116,18.69,1414.04
30,HMDB0000764,Benzenepropanoic acid,10,-0.065541129,2.13871478,0.9453,0.9375,Apr1116,18.82,1423.6
