SeqIndex,HMDB_ID,Compound,LOQ,Intercept,Slope,rsq,adjrsq,Src,RT,RI
1,HMDB0000190,Lactic acid,4,-1.26487,8.34736,0.991,0.99,May1816,9.59,1069.24
2,HMDB0000023,3-hydroxyisobutyric,40,-0.52656,4.6665,0.899,0.892,May1816,9.61,1070.66
3,HMDB0000019,2-oxoisovaleric,20,-0.06338,0.77369,0.777,0.76,May1816,11.23,1126.05
4,HMDB0000008,2-hydroxybutyric,10,0.01185,0.93227,0.953,0.95,May1816,11.72,1141.73
5,HMDB0001987,2-Hydroxy-2-methylbutyric acid,6,-0.0094,2.90111,0.951,0.946,May1816,11.86,1147.43
6,HMDB0000700,3-hydroxypropionic acid,3,-0.01976,0.32607,0.847,0.841,May1816,12.17,1158.25
7,HMDB0000357,3-hydroxybutyric acid,1,-0.08667,2.55565,0.995,0.994,June0816,12.69,1174.25
8,HMDB0000407,2-Hydroxyisovaleric Acid,20,-0.00712,11.24012,0.973,0.971,May1816,12.82,1178.6
9,HMDB0001865,2-oxovaleric,10,-0.05111,2.79148,0.994,0.993,May1816,13.15,1188.87
10,HMDB0000491,2-oxo-3-methylvaleric acid,20,-0.17334,2.7838,0.983,0.982,May1816,13.25,1191.92
11,HMDB0000354,3-hydroxy-2-methylbutyric,20,-0.07204,1.79291,0.971,0.969,May1816,13.75,1209.5
12,HMDB0000754,3-Hydroxyisovaleric acid,2,-0.0011,0.4358,0.967,0.964,May1816,14.04,1220.13
13,HMDB0000202,Methylmalonic acid,3,0.0045,1.1519,0.981,0.979,June0816,14.29,1230.24
14,HMDB0000396,2-ethyl-3-hydroxypropionic,10,-0.10756,9.65753,0.939,0.935,May1816,14.62,1244.02
15,HMDB0001870,Benzoic acid,35,-0.17663,2.4422,0.85,0.838,May1816,14.85,1252.33
16,HMDB0000317,2-hydroxy-3-methylvaleric,10,-0.05476,11.53497,0.89,0.883,May1816,14.87,1253.06
17,HMDB0000622,Ethylmalonic acid,2,0.034,1.8306,0.97,0.967,May1816,15.99,1293.71
18,HMDB0000176,Maleic,10,-0.09876,4.61529,0.992,0.991,May1816,16.5,1316.17
19,HMDB0000254,Succinic acid,3,0.07251,3.30521,0.983,0.982,June0816,16.77,1326.08
20,HMDB0001844,2-Methylsuccinic acid,6,-0.01361,3.58862,0.996,0.996,May1816,17,1337.82
21,HMDB0000300,Uracil,10,-0.06954,2.50004,0.989,0.988,May1816,17.33,1352.1
22,HMDB0001895,2-Hydroxybenzoic acid(salicylic acid) ,30,1.0216,12.34237,0.992,0.991,May1816,17.4,1355.63
23,HMDB0000134,Fumaric Acid,20,0.0646,10.55,0.894,0.886,May1816,17.54,1361.56
24,HMDB0000634,Methylmaleic acid (citraconic acid),10,-0.08683,3.68353,0.974,0.972,May1816,17.62,1364.5
25,HMDB0000525,5-hydroxyhexanoic,10,-0.16958,11.67405,0.941,0.937,May1816,17.73,1369.57
26,HMDB0000783,Propionylglycine,10,0.0186,3.3577,0.978,0.976,May1816,17.78,1371.16
27,HMDB0000661,Glutaric acid,8,-0.22435,6.34899,0.971,0.969,May1816,18.79,1414.4
