SeqIndex,HMDB_ID,Compound,LOQ,Intercept,Slope,rsq,adjrsq,Src,RT,RI,Note
1,HMDB0000190,Lactic acid,4,0.06574,3.90190,0.9898,0.9883,11-Mar-18,9.59,1069.24,
2,HMDB0000023,3-hydroxyisobutyric,10,0.3705,10.3018,0.996,0.995,06-Sep-17,9.58,1070.66,
3,HMDB0000729,alpha-Hydroxylsobutyric acid,1,-0.03182,9.05090,0.9998,0.9997,11-Mar-18,9.506,1072.87,
4,HMDB0000115,Glycolic acid,6,-0.02303,0.52732,0.9907,0.9891,11-Mar-18,10,1083.25,
5,HMDB0000019,2-oxoisovaleric,20,-0.01097,0.38197,0.9944,0.9916,11-Mar-18,11.23,1126.05,
6,HMDB0000008,2-hydroxybutyric,10,-0.0124,0.7559,1,1,16-Jun-17,11.72,1141.73,
7,HMDB0000720,Levulinic acid (1TMS),3,0.01632,0.29037,0.9848,0.9817,11-Mar-18,11.62,1143.66,
8,HMDB0001987,2-Hydroxy-2-methylbutyric acid,1,-0.06574,9.23161,0.9988,0.9986,11-Mar-18,11.8,1147.43,
9,HMDB0000700,3-hydroxypropionic acid,3,-0.04210,1.39972,0.9968,0.9962,11-Mar-18,12.17,1158.25,
10,HMDB0001877,Valproic,3,0.02712,0.28902,0.7751,0.7189,11-Mar-18,12.29,1161.36,
11,HMDB0000357,3-hydroxybutyric acid,1,0.01729,1.05784,0.9782,0.9751,11-Mar-18,12.69,1174.25,
12,HMDB0000407,2-Hydroxyisovaleric Acid,20,0.03942,13.64653,0.9819,0.9774,11-Mar-18,12.82,1178.6,
13,HMDB0000491,2-oxo-3-methylvaleric acid,20,0.00274,0.59218,0.975,0.97,11-Mar-18,13.25,1191.92,
14,HMDB0000354,3-hydroxy-2-methylbutyric,20,-0.0152,0.923,0.992,0.991,21-Aug-17,13.75,1209.5,
15,HMDB0000754,3-Hydroxyisovaleric acid,2,-0.00942,0.14274,0.9814,0.9768,11-Mar-18,14.04,1220.13,
