SeqIndex,HMDB_ID,Compound,LOQ,Intercept,Slope,rsq,adjrsq,Src,RT,RI,note
1,HMDB0000190,Lactic acid,4,0.0657,3.9019,0.9898,0.9883,28Feb2018V1,9.59,1069.24,
2,HMDB0000023,3-hydroxyisobutyric,10,0.3705,10.3018,0.996,0.995,06-Sep-17,9.58,1070.66,
3,HMDB0000729,alpha-Hydroxylsobutyric acid,1,0.5619,-0.4002,0.0529,-0.1365,28Feb2018V1,9.506,1072.87,
4,HMDB0000115,Glycolic acid,6,-0.0230,0.5273,0.9907,0.9891,28Feb2018V1,10,1083.25,
5,HMDB0000019,2-oxoisovaleric,20,-0.0110,0.3820,0.9944,0.9916,28Feb2018V1,11.23,1126.05,
6,HMDB0000008,2-hydroxybutyric,10,-0.0124,0.7559,1,1,16-Jun-17,11.72,1141.73,
7,HMDB0000720,Levulinic acid (1TMS),3,0.0162,0.3412,0.9794,0.9759,28Feb2018V1,11.62,1143.66,
8,HMDB0001987,2-Hydroxy-2-methylbutyric acid,1,0.0070,8.6959,0.9833,0.98,28Feb2018V1,11.8,1147.43,
9,HMDB0000700,3-hydroxypropionic acid,3,-0.0193,1.2405,0.9677,0.9636,28Feb2018V1,12.17,1158.25,
10,HMDB0001877,Valproic,3,0.0135,0.3062,0.9562,0.9416,28Feb2018V1,12.29,1161.36,new
11,HMDB0000357,3-hydroxybutyric acid,1,-0.0220,1.1831,0.9987,0.9985,28Feb2018V1,12.69,1174.25,
12,HMDB0000407,2-Hydroxyisovaleric Acid,20,-0.1115,16.6265,0.9977,0.997,28Feb2018V1,12.82,1178.6,
13,HMDB0000491,2-oxo-3-methylvaleric acid,20,0.0094,0.6010,0.9918,0.9897,28Feb2018V1,13.25,1191.92,
14,HMDB0000354,3-hydroxy-2-methylbutyric,20,-0.0152,0.923,0.992,0.991,21-Aug-17,13.75,1209.5,
15,HMDB0000754,3-Hydroxyisovaleric acid,2,-0.0023,0.1188,0.9796,0.9728,28Feb2018V1,14.04,1220.13,
16,HMDB0000202,Methylmalonic acid,3,0.0187,1.0766,0.9995,0.9993,28Feb2018V1,14.29,1230.24,
17,HMDB0000396,2-ethyl-3-hydroxypropionic,10,0.0577,2.2911,0.9933,0.9923,28Feb2018V1,14.62,1244.02,
18,HMDB0001870,Benzoic acid,35,0.0688,2.7697,0.994,0.9928,28Feb2018V1,14.85,1252.33,
19,HMDB0000317,2-hydroxy-3-methylvaleric,10,0.4720,8.3086,0.9678,0.9625,28Feb2018V1,14.87,1253.06,
20,HMDB0000622,Ethylmalonic acid,2,0.0598,2.0419,0.9977,0.9973,28Feb2018V1,15.99,1293.71,
21,HMDB0000176,Maleic,10,0.0059,2.2204,0.9961,0.9955,28Feb2018V1,16.5,1316.17,
22,HMDB0000254,Succinic acid,3,-0.0135,2.5772,0.9966,0.9961,28Feb2018V1,16.77,1326.08,
23,HMDB0001844,2-Methylsuccinic acid,6,0.0605,2.3322,0.9934,0.9924,28Feb2018V1,17,1337.82,
24,HMDB0000139,Glyceric,1,-0.0460,0.3606,0.928,0.91,28Feb2018V1,17.2,1347.95,
25,HMDB0000300,Uracil,10,-0.0057,1.9965,0.9752,0.9716,28Feb2018V1,17.33,1352.1,
26,HMDB0001895,2-Hydroxybenzoic acid(salicylic acid),30,0.5476,4.8538,0.858,0.8296,28Feb2018V1,17.4,1355.63,
27,HMDB0000134,Fumaric Acid,20,0.2329,11.5799,0.9851,0.9826,28Feb2018V1,17.54,1361.56,
28,HMDB0000634,Methylmaleic acid (citraconic acid) 2TMS,7,0.0499,2.0172,0.9947,0.994,28Feb2018V1,17.62,1364.5,new
29,HMDB0000525,5-hydroxyhexanoic 2tms,3,0.2717,0.5205,0.2405,0.132,28Feb2018V1,17.73,1369.57,new
30,HMDB0000783,Propionylglycine,10,-0.0116,0.9588,0.9993,0.9991,28Feb2018V1,17.78,1371.16,
31,HMDB0002453,4-Deoxythreonate,4,-0.0294,1.2774,0.997,0.997,06-Sep-17,17.771,1373.79,
32,HMDB0000661,Glutaric acid,8,-0.0106,3.6303,0.9992,0.9991,28Feb2018V1,18.79,1414.4,
33,HMDB0000360,"2,4-dihydroxybutanoic",2,-0.0059,0.4712,0.9745,0.9681,28Feb2018V1,19.02,1431.01,
34,HMDB0000752,3-methylglutaric,10,0.1024,3.4629,0.9893,0.9875,28Feb2018V1,19.26,1436.39,
35,HMDB0002441,"3,3-dimethylglutaric",20,0.0834,3.7935,0.9948,0.9937,28Feb2018V1,19.51,1449.29,
36,HMDB0000808,Butyrylglycine,10,-0.0428,3.4522,0.9954,0.9945,28Feb2018V1,19.61,1452.86,
37,HMDB0000522,3-methylglutaconic acid,1,-0.0207,0.9753,0.9995,0.9994,28Feb2018V1,19.64,1453.74,
38,HMDB0000620,Glutaconic Acid,10,0.0121,3.1298,0.9972,0.9966,28Feb2018V1,19.76,1462.02,
