Compound,MZ20,Int20
C10,41.1 42.1 43.1 44.1 55.1 56.1 57.1 58.1 69.1 70.1 71.1 72.1 84.1 85.2 86.2 98.2 99.2 112.2 113.2 142.2,497728 174656 1336832 44952 237184 355840 1967616 87352 114008 330112 941824 50216 269120 736128 48056 188416 242112 79056 152832 313280
C11,41.1 42.1 43.1 55.1 56.1 57.1 58.1 69.1 70.1 71.1 72.1 83.1 84.1 85.1 98.1 99.1 112.2 113.2 127.2 156.2,251904 84800 681920 126224 176576 1074176 47176 67568 159360 622720 33376 28520 117360 387712 107816 102696 53640 77040 48408 135680
C12,41.1 42.1 43.1 55.1 56.1 57.1 58.1 69.1 70.1 71.1 72.1 83.1 84.1 85.1 98.1 99.1 112.2 113.2 127.2 170.2,267904 86680 726592 147200 185600 1206272 53064 81864 168256 808384 44040 45888 119496 508288 113712 118416 83456 89136 71288 154240
C13,41.1 42.1 43.1 55.1 56.1 57.1 69.1 70.1 71.1 83.1 84.1 85.1 98.1 99.2 112.2 113.2 126.2 127.2 141.2 184.2,274368 87024 738112 165824 186944 1281536 95576 175616 952960 62296 122152 630976 115040 155136 96152 98744 67168 89304 61672 167360
C14,41.1 42.1 43.1 55.1 56.1 57.1 69.1 70.1 71.1 83.1 84.1 85.1 98.1 99.2 112.2 113.2 126.2 127.2 141.2 198.3,275328 85792 732800 182976 189056 1342976 108080 178624 1042176 74952 125112 730560 114936 208704 97640 119368 78936 98032 82320 173184
C15,41.1 42.1 43.1 55.1 56.1 57.1 69.1 70.1 71.1 83.1 84.1 85.1 98.2 99.2 112.2 113.2 126.2 127.2 141.2 212.3,265600 78768 703040 190144 182016 1340416 117480 175872 1065472 85792 123048 785536 110472 252352 97064 148032 85648 106672 89296 178368
C16,41.1 43.1 55.1 56.1 57.1 69.1 70.1 71.1 83.1 84.1 85.1 97.1 98.1 99.2 112.2 113.2 126.2 127.2 141.2 226.3,259904 693120 203712 182016 1367040 128816 174656 1114112 98136 122848 825472 84032 108768 289280 97488 178752 85080 123968 96248 175360
C17,41.1 43.1 55.1 56.1 57.1 69.1 70.1 71.1 83.1 84.1 85.2 97.1 98.2 99.2 112.2 113.2 127.2 141.2 155.2 240.3,249408 670656 210112 176512 1361408 142016 173120 1141248 109488 120144 860032 98752 107136 319744 98432 207424 146752 109464 87856 170240
C18,41.1 43.1 55.1 56.1 57.1 69.1 70.1 71.1 83.1 84.1 85.1 97.1 98.2 99.2 112.2 113.2 127.2 141.2 155.2 254.3,234176 638336 211584 167872 1304064 142912 163392 1111552 116856 116528 847232 105520 100424 327104 90280 218048 159488 118528 92072 157952
C19,41.1 43.1 55.1 56.1 57.1 69.1 70.1 71.1 83.1 84.1 85.1 97.1 98.1 99.1 112.2 113.2 127.2 141.2 155.2 268.4,150592 424896 145536 112144 881152 100320 109688 757440 83960 76288 576512 77216 65128 225920 58872 152064 110432 84528 65168 89184
C20,41.1 43.1 55.1 56.1 57.1 69.1 70.2 71.2 83.2 84.2 85.2 97.2 98.2 99.2 113.2 127.2 141.2 155.2 169.2 282.4,315200 859968 346304 254528 1958912 266816 267520 1843712 244032 213952 1590784 243520 192576 671104 499008 390080 313088 254272 211584 450752
C22,41.1 43.1 55.1 56.1 57.1 69.1 70.2 71.2 83.1 84.2 85.2 97.2 99.2 113.2 127.2 141.2 155.2 169.2 183.2 310.4,283200 831104 347712 236992 1863168 271424 252096 1708544 251584 195008 1468416 262272 636032 467264 374784 300416 251264 212224 177920 340800
C24,41.1 43.1 55.1 56.1 57.1 69.1 70.1 71.1 83.1 85.2 97.1 99.2 111.2 113.2 127.2 141.2 155.2 169.2 183.2 338.5,237696 737728 317184 209280 1676288 271680 228864 1567744 264576 1356288 270528 593856 175360 450368 363200 303552 254144 214336 186048 284992
C26,41.1 43.1 55.1 56.1 57.1 69.1 70.1 71.2 83.1 85.2 97.2 99.2 111.2 113.2 127.2 141.2 155.2 169.2 183.3 366.5,198144 656000 291840 191488 1493504 260992 201152 1410560 271808 1217024 285248 560000 180480 417792 345024 290752 247104 212864 184832 243584
C28,41.1 43.1 55.1 56.1 57.1 69.1 70.2 71.2 83.1 85.2 97.1 99.2 111.2 113.2 127.2 141.2 155.2 169.2 183.3 394.6,167296 579840 267584 172992 1377792 251328 185280 1284096 264512 1108480 282176 505408 178112 383616 316928 261824 221824 193920 169856 179200
C30,41.1 43.1 55.1 56.1 57.1 69.1 70.1 71.2 83.1 84.1 85.2 97.1 99.2 111.2 113.2 127.2 141.2 155.2 169.2 183.2,139328 508864 233152 150720 1218048 228992 163264 1115648 242560 125360 948800 261248 435328 161536 320192 258112 211712 178688 151808 131904
C32,41.1 43.1 55.1 56.1 57.1 69.1 70.1 71.1 83.1 84.1 85.1 97.1 99.2 111.1 113.2 127.2 141.2 155.2 169.2 183.2,85192 332928 153088 100496 817472 151296 106320 739328 167040 79264 600448 175808 275584 109784 204928 166912 135488 113616 96240 82040
C34,41.1 43.1 55.1 56.1 57.1 69.1 70.1 71.1 83.1 84.1 85.1 97.1 99.1 111.1 113.2 127.2 141.2 155.2 169.2 183.2,34968 138368 63512 41952 339008 64280 43888 302080 72048 32400 244544 76976 113680 47728 82568 65352 52184 43288 36936 30400
C36,41.1 43.1 44.1 55.1 56.1 57.1 69.1 70.1 71.1 83.1 85.1 97.1 99.1 111.1 113.2 127.2 141.2 155.2 207.1 281.2,7026 26288 13390 11949 8334 64056 12662 8028 56832 13547 45264 15591 21016 9112 15662 11992 9620 7893 19264 7081
