SeqIndex,HMDB_ID,Compound,Intercept,Slope,Source,adjRsquare,NOTE
1,HMDB00243,Pyruvic acid,-0.06169,0.49831,Mix1-6,NaN,
2,HMDB00190,Lactic acid,-0.00823,1.68954,Mix2-7,0.9834,recal with all TMS
3,HMDB00729,alpha-Hydroxylsobutyric acid,0.01497,2.33713,Mix3-7,0.9936,recal with all TMS
4,HMDB01987,2-Hydroxy-2-methylbutyric acid,0.01071,1.96694,Mix4-7,0.9874,
5,HMDB00700,beta-Lactate,-0.01016,0.22147,Mix6-7,0.9856,
6,HMDB00357,3-hydroxybutyric acid,0.00736,1.41033,Mix1-6,0.9188,
7,HMDB00407,2-Hydroxyisovaleric Acid,0.2446,0.6984,Mix1-1 (Oct09),,
8,HMDB00691,Malonic acid,0.01327,1.18291,Mix2-7,0.9835,
9,HMDB00754,3-Hydroxyisovaleric acid,-0.00105,0.26803,Mix6-7,0.9847,
10,HMDB00202,Methylmalonic acid,0.14195,1.44069,Mix1-6,0.9752,
11,HMDB00720,Levulinic acid,0.01481,0.40524,Mix4-7,0.8783,
12,HMDB01870,Benzoic acid,0.01288,0.66186,Mix4-7,0.9085,
13,HMDB00622,Ethylmalonic acid,0.04271,3.15027,Mix3-7,0.9926,
14,HMDB00209,phenylacetic  acid,-0.02812,1.58861,Mix7-7,0.9664,
15,HMDB_ISTD1,Succinic acid (ISTD),-0.01435,0.53501,Mix1-6,0.9919,
16,HMDB00254,Succinic acid,-0.01435,0.53501,Mix1-6,0.9919,
17,HMDB01844,2-Methylsuccinic acid,0.04227,2.94118,Mix5-7,0.9756,
18,HMDB01895,2-Hydroxybenzoic acid (salicylic acid),0.1564,1.7978,Group2,NA,
19,HMDB00134,Fumaric Acid,0.0231,0.8891,Mix1-1 (Oct09),,
20,HMDB00634,Methylmaleic acid (citraconic acid),0.00512,2.0389,Mix2-7,0.9771,
21,HMDB02453,4-Deoxythreonate,-0.0003,0.0189,Mix6-7,NA,from Hong
22,HMDB00661,Glutaric acid,0.02865,2.70566,Mix4-7,0.9779,
23,HMDB00764,Benzenepropanoic acid,0.0845,1.3006,Group1,NA,
24,HMDB00522,3-methylglutaconic acid,-0.01896,2.32853,Mix1-6,0.9918,
25,HMDB00620,Glutaconic Acid,-0.0042,1.7173,Mix1-1 (Oct09),,
26,HMDB00355,3-Hydroxymethylglutaric acid,-0.02363,1.66511,Mix6-7,0.99,
27,HMDB01123,2-amino-benzoic acid,0.0853,2.0975,Group2,NA,
28,HMDB00156 ,L-Malic acid,-0.0016,0.2275,Mix1-1 (Oct09),,
29,HMDB00448,Adipic acid,0.04581,2.9343,Mix5-7,0.9907,
