SeqIndex,HMDB_ID,Compound,Intercept,Slope,adjRsquare,Source,NOTE
1,HMDB00243,Pyruvic acid,-0.06169,0.49831,NA,Mix1-6,
2,HMDB00190,Lactic acid,0.01949,0.00058,0.84,Mix2_Mar2016,recal with all TMS
3,HMDB00729,alpha-Hydroxylsobutyric acid,0.01497,2.33713,0.9936,Mix3-7,recal with all TMS
4,HMDB00008,2-hydroxybutyric,0.00209,0.00018,0.87,MixA_Mar2016,
6,HMDB01987,2-Hydroxy-2-methylbutyric acid,0.01071,1.96694,0.9874,Mix4-7,
8,HMDB00700,beta-Lactate,-0.05915,0.00051,0.96,Mix6_Mar2016,
10,HMDB00357,3-hydroxybutyric acid,0.03274,0.00339,0.86,Mix1_Mar2016,
11,HMDB00407,2-Hydroxyisovaleric Acid,0.2446,0.6984,NA,Mix1-1 (Oct09),
12,HMDB00691,Malonic acid,0.00161,0.00008,0.81,Mix2_Mar2016,
13,HMDB00754,3-Hydroxyisovaleric acid,-0.0606,0.00108,0.94,Mix6_Mar2016,
14,HMDB00202,Methylmalonic acid,-0.08393,0.00202,0.86,Mix1_Mar2016,
15,HMDB00720,Levulinic acid,0.01481,0.40524,0.8783,Mix4-7,
16,HMDB01870,Benzoic acid,0.01288,0.66186,0.9085,Mix4-7,
18,HMDB00622,Ethylmalonic acid,0.04271,3.15027,0.9926,Mix3-7,
19,HMDB00209,phenylacetic  acid,-0.02812,1.58861,0.9664,Mix7-7,
21,HMDB00254,Succinic acid,-0.08566,0.00311,0.92,Mix1_Mar2016,
22,HMDB01844,2-Methylsuccinic acid,0.04227,2.94118,0.9756,Mix5-7,
23,HMDB01895,2-Hydroxybenzoic acid (salicylic acid),0.1564,1.7978,NA,Group2,
24,HMDB00134,Fumaric Acid,0.37704,0.00736,0.85,MixA_Mar2016,
25,HMDB00634,Methylmaleic acid (citraconic acid),-0.01918,0.00072,0.87,MixB_Mar2016,
27,HMDB02453,4-Deoxythreonate,-0.0003,0.0189,NA,Mix6-7,from Hong
30,HMDB00661,Glutaric acid,0.02865,2.70566,0.9779,Mix4-7,
31,HMDB00764,Benzenepropanoic acid,0.0845,1.3006,NA,Group1,
32,HMDB00752,3-methylglutaric,-0.04436,0.00262,0.94,MixA_Mar2016,
33,HMDB00522,3-methylglutaconic acid,-0.05142,0.00492,0.88,Mix1_Mar2016,
34,HMDB00808,butyrylglycine,-0.01945,0.00047,0.86,MixB_Mar2016,
35,HMDB00620,Glutaconic Acid,-0.0042,1.7173,NA,Mix1-1 (Oct09),
