SeqIndex,HMDB_ID,Compound,LOQ,Intercept,Slope,rsq,adjrsq,Src,RT,RI,Note
1,HMDB00190,Lactic acid,4,-0.0909,1.5529,0.995,0.993,16-Jun-17,9.59,1069.24,
2,HMDB00115,Glycolic acid,6,-0.0062,1.1805,0.993,0.991,22-Aug-17,10,1083.25,Mix 12
3,HMDB00019,2-oxoisovaleric,20,-0.0713,0.5846,0.986,0.982,16-Jun-17,11.23,1126.05,
4,HMDB00008,2-hydroxybutyric,10,-0.0124,0.7559,1,1,16-Jun-17,11.72,1141.73,
5,HMDB01987,2-Hydroxy-2-methylbutyric acid,1,-0.0351,17.3654,0.996,0.996,22-Aug-17,11.8,1147.43,Mix 12
6,HMDB00700,3-hydroxypropionic acid,3,-0.0617,1.1795,0.996,0.994,16-Jun-17,12.17,1158.25,
7,HMDB00357,3-hydroxybutyric acid,1,-0.0306,1.6113,0.999,0.999,16-Jun-17,12.69,1174.25,
8,HMDB00407,2-Hydroxyisovaleric Acid,20,-0.1855,6.8086,0.996,0.995,16-Jun-17,12.82,1178.6,
9,HMDB00491,2-oxo-3-methylvaleric acid,20,0.0063,0.023,0.943,0.885,16-Jun-17,13.25,1191.92,
10,HMDB00354,3-hydroxy-2-methylbutyric,20,-0.0152,0.923,0.992,0.991,21-Aug-17,13.75,1209.5,Mix 9
11,HMDB00754,3-Hydroxyisovaleric acid,2,-0.0836,0.2537,0.924,0.886,16-Jun-17,14.04,1220.13,
12,HMDB00202,Methylmalonic acid,3,0,1.0826,0.998,0.998,22-Jul-17,14.29,1230.24,change intercept to zero
13,HMDB00396,2-ethyl-3-hydroxypropionic,10,0,2.5896,0.997,0.997,22-Jul-17,14.62,1244.02,change intercept to zero
14,HMDB01870,Benzoic acid,35,-0.195,2.6535,0.96,0.952,16-Jun-17,14.85,1252.33,
15,HMDB00317,2-hydroxy-3-methylvaleric,10,-0.241,12.8078,0.997,0.996,16-Jun-17,14.87,1253.06,
16,HMDB00622,Ethylmalonic acid,2,0,1.8357,0.999,0.998,22-Jul-17,15.99,1293.71,change intercept to zero
17,HMDB00176,Maleic,10,0,1.03,0.999,0.999,22-Jul-17,16.5,1316.17,change intercept to zero
18,HMDB00254,Succinic acid,3,-0.0508,2.533,0.995,0.993,16-Jun-17,16.77,1326.08,
19,HMDB01844,2-Methylsuccinic acid,6,-0.0264,2.8888,0.999,0.999,16-Jun-17,17,1337.82,
20,HMDB00139,Glyceric,1,-0.0025,0.3269,1,1,22-Aug-17,17.2,1347.95,Mix 12
21,HMDB00300,Uracil,10,-0.0123,1.0419,NA,NA,22-Jul-17,17.33,1352.1,y = 1.0419x-0.0123
22,HMDB01895,2-Hydroxybenzoic acid(salicylic acid) ,30,-0.0535,5.7052,0.992,0.989,16-Jun-17,17.4,1355.63,
23,HMDB00134,Fumaric Acid,20,0,10.2259,0.986,0.981,22-Jul-17,17.54,1361.56,change intercept to zero
24,HMDB00783,Propionylglycine,10,-0.0733,0.9271,0.992,0.99,16-Jun-17,17.78,1371.16,
25,HMDB00661,Glutaric acid,8,0,3.4418,0.999,0.999,22-Jul-17,18.79,1414.4,change intercept to zero
26,HMDB00360,"2,4-dihydroxybutanoic",2,-0.008,1.1513,0.998,0.997,22-Aug-17,18.8,1431.551,Mix 12
27,HMDB00752,3-methylglutaric,10,-0.018,4.4935,0.999,0.999,16-Jun-17,19.26,1436.39,
28,HMDB02441,"3,3-dimethylglutaric",20,-0.0217,4.47,0.999,0.999,16-Jun-17,19.51,1449.29,
29,HMDB00808,Butyrylglycine,10,-0.1856,3.4446,1,0.999,16-Jun-17,19.61,1452.86,
