SeqIndex,HMDB_ID,Compound,LOQ,Intercept,Slope,rsq,adjrsq,Src,RT,RI,Note
1,HMDB00190,Lactic acid,4,0.0659,3.9019,0.995,0.993,15-Jun-13,9.5,1069.24,
2,HMDB00023,3-Hydroxyisobutyric,10,0.3705,10.3018,0.996,0.995,05-Sep-13,9.58,1070.66,Mix13 - 08Sep2017
3,HMDB00729,alpha-Hydroxylsobutyric acid,1,-2.00E-04,11.9445,0.995,0.994,05-Sep-13,9.506,1072.87,Mix13 - 08Sep2017
4,HMDB00115,Glycolic acid,6,-0.0062,1.1805,0.993,0.991,21-Aug-13,10,1083.25,Mix 12
5,HMDB00019,2-Oxoisovaleric,20,0.0079,0.3623,0.986,0.982,15-Jun-13,11.08,1126.05,
6,HMDB00008,2-hydroxybutyric,10,-0.0124,0.7559,1,1,15-Jun-13,11.72,1141.73,
7,HMDB01987,2-Hydroxy-2-methylbutyric acid,1,0.0647,9.2298,0.996,0.996,21-Aug-13,11.84,1147.43,Mix 12
8,HMDB00700,beta-Lactate,3,0.0422,1.3999,0.996,0.994,15-Jun-13,12.17,1158.25,
9,HMDB00357,3-hydroxybutyric acid,1,0.0219,1.1831,0.999,0.999,15-Jun-13,12.608,1174.25,
10,HMDB00407,2-Hydroxyisovaleric Acid,20,0.04,13.643,0.996,0.995,15-Jun-13,12.786,1178.6,
11,HMDB00491,2-oxo-3-methylvaleric (Na salt),20,0.0028,0.5919,0.943,0.885,15-Jun-13,13.8,1191.92,
12,HMDB00354,3-hydroxy-2-methylbutyric,20,-0.0152,0.923,0.992,0.991,20-Aug-13,13.75,1209.5,Mix 9
13,HMDB00754,3-Hydroxyisovaleric acid,2,-0.0011,0.4358,0.924,0.886,15-Jun-13,14.04,1220.13,
14,HMDB00202,Methylmalonic acid,3,0.0088,1.0832,0.998,0.998,21-Jul-13,13.9,1230.24,change intercept to zero
15,HMDB00396,2-Ethyl-3-hydroxypropionic,10,0.0578,2.291,0.997,0.997,21-Jul-13,14.58,1244.02,change intercept to zero
16,HMDB01870,Benzoic acid (salt),35,0.0656,2.7858,0.96,0.952,15-Jun-13,14.78,1252.33,
17,HMDB00317,2-hydroxy-3-methylvaleric,10,-0.241,12.8078,0.997,0.996,15-Jun-13,14.87,1253.06,
18,HMDB00622,Ethylmalonic acid,2,0.0599,2.0419,0.999,0.998,21-Jul-13,15.6,1293.71,change intercept to zero
19,HMDB00176,Maleic,10,0.0061,2.2204,0.999,0.999,21-Jul-13,16.425,1316.17,change intercept to zero
20,HMDB00254,Succinic acid,3,0.0139,2.5777,0.995,0.993,15-Jun-13,16.686,1326.08,
21,HMDB01844,2-Methylsuccinic acid,6,0.0606,2.3322,0.999,0.999,15-Jun-13,16.92,1337.82,
22,HMDB00139,Glyceric,1,0.0647,9.2298,1,1,21-Aug-13,17.2,1347.95,Mix 12
23,HMDB00300,Uracil,10,0.0295,2.1924,NA,NA,21-Jul-13,17.33,1352.1,y = 1.0419x-0.0123
24,HMDB01895,2-Hydroxybenzoic acid (salicylic acid),30,0.3252,6.6797,0.992,0.989,15-Jun-13,21.012,1355.63,
25,HMDB00134,Fumaric Acid,20,0.2333,11.578,0.986,0.981,21-Jul-13,17.144,1361.56,change intercept to zero
26,HMDB00783,Propionylglycine,10,0.0063,0.8664,0.992,0.99,15-Jun-13,17.72,1371.16,
27,HMDB02453,4-Deoxythreonate,4,-0.0294,1.2774,0.997,0.997,05-Sep-13,17.771,1373.79,Mix13 - 08Sep2017
28,HMDB00661,Glutaric acid,8,0.0104,3.6303,0.999,0.999,21-Jul-13,18.5,1414.4,change intercept to zero
