Serial_Number,HMDB_Number,Compound,Cn,RT,RI,MW,MZ,Intensity
1,,C8,8,,,114,40.1 41.1 42.1 43.1 44.1 45.1 46 50 51.1 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.1 62 63 64.1 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 75.1 77.1 78.1 79.1 80.1 81.1 82.1 83.1 84.1 85.2 86.2 87.1 91.1 92.9 94.9 96.1 97.1 98.2 99.2 100.2 101.1 105.1 111.2 112.2 113.2 114.2,18920 497728 174656 1336832 44952 727 151 1477 4731 2806 27440 19464 237184 355840 1967616 87352 1456 178 734 175 4882 1413 12471 10732 114008 330112 941824 50216 1228 227 2992 803 2868 386 1394 8779 34368 269120 736128 48056 1245 626 187 158 428 5688 188416 242112 19056 629 318 1484 79056 152832 12994
2,,C9,9,,,128,40.1 41.1 42.1 43.1 44.1 45.1 50 51 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.1 63 64.1 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 75 77 78.1 79.1 80 81.1 82.1 83.1 84.1 85.1 86.2 87.1 91.1 95.1 96.1 97.1 98.1 99.1 100.1 101.1 111.2 112.2 113.2 114.2 115.2 125.1 126.2 127.2 128.2,8625 251904 84800 681920 23424 300 630 1913 1127 13061 11153 126224 176576 1074176 47176 835 275 172 2508 822 7577 7732 67568 159360 622720 33376 819 195 1501 494 1468 230 1032 7845 28520 117360 387712 25176 676 450 258 1876 11336 107816 102696 8239 309 1355 53640 77040 6674 351 265 23616 48408 4460
3,,C10,10,6.933,1000,142,40.1 41.1 42.1 43.1 44.1 45.1 46 50 51.1 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.1 62 63 64.1 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 75.1 77.1 78.1 79.1 80.1 81.1 82.1 83.1 84.1 85.2 86.2 87.1 91.1 92.9 94.9 96.1 97.1 98.2 99.2 100.2 101.1 105.1 111.2 112.2 113.2 114.2 115.1 126.1 127.2 140.1 142.2,18920 497728 174656 1336832 44952 727 151 1477 4731 2806 27440 19464 237184 355840 1967616 87352 1456 178 734 175 4882 1413 12471 10732 114008 330112 941824 50216 1228 227 2992 803 2868 386 1394 8779 34368 269120 736128 48056 1245 626 187 158 428 5688 188416 242112 19056 629 318 1484 79056 152832 12994 600 879 1327 1220 313280
4,,C11,11,10.413,1123.1,156,40.2 41.1 42.1 43.1 44.1 45.1 49 50.1 51.2 52.3 53.1 54.2 55.1 56.1 57.1 58.1 61.1 63.1 63.9 65.1 66.2 67.1 68.1 69.1 70.1 71.1 72.1 73.2 77 78.1 79.2 80 81.2 82.2 83.1 84.1 85.1 86.1 86.8 89.4 92.2 94.4 96.8 98.1 99.1 99.9 100.3 111.2 112.2 113.1 114 118.9 122.8 126 126.3 127.1 128.1 140.3 156.3 157.3 158.3 165.9 171.1 171.9 183.1 190.1 199.2 207.1 207.8 210.6 214.8 221.2 252.9 257.7 281.2 282.9 285.5 314 332.7 333.8 340.3 356 374.1 392.9 408.5 422 429.7 448.8 479.1 497.8 499.5,29536 508160 107576 493696 15201 649 301 2869 8383 4288 39088 18088 139264 91320 430592 21752 505 2057 398 9048 3421 10843 3346 31688 56304 183232 12636 849 4965 1241 3974 782 1382 1982 6978 35976 112240 7718 1415 224 923 163 3502 24488 25584 1458 1540 1288 16103 19008 1597 206 1039 3362 2945 10989 698 496 20168 7494 316 375 397 258 283 713 416 643 342 1138 498 280 588 159 223 503 218 391 378 162 310 276 705 158 246 338 352 287 243 197 231 
5,,C12,12,13.422,1217.6,170,40.2 41.1 42.1 43.1 44.1 45.3 46.1 46.8 50.1 51.2 52.2 53.1 54.1 55.1 56.1 57.1 58.1 59 63 63.8 65.2 66.2 67.1 68.1 69.1 70.1 71.1 72.1 73 74.5 76 77.1 78.1 79 80 81 82.1 83.2 84.1 85.1 86.1 90.8 95.2 96.5 98.1 99.1 100.3 103.1 105.5 111.2 112.1 113.1 114.3 124.3 126.1 127.1 128.1 128.8 135.8 140.2 141.2 142.2 142.9 155.3 162.9 170.2 171.2 172 190.7 192.3 197 206.6 208.7 221.1 252.3 252.9 257.6 275.3 281.2 304.2 314.3 324.9 332.8 340.6 341 343.4 354.6 356.8 429.7 431.3 487.1 503.4 526.6 533.3 535.8 539.3 580.3,32768 629120 153664 672256 23728 486 760 166 2371 8919 5024 44184 26504 186880 116736 539200 27864 1058 1166 1381 9288 1871 28152 7880 49640 81352 284800 20392 1379 642 294 4758 1459 3974 2081 2757 4021 17568 35904 147776 12472 222 414 1243 31960 36208 2456 252 311 1981 27704 16512 2144 182 11093 10370 1515 605 571 6934 8437 445 169 392 623 26928 2365 1212 220 451 418 565 551 162 492 258 276 315 648 190 197 162 741 750 749 518 273 973 177 172 167 395 170 150 303 548 217 
6,,C13,13,16.037,1313.4,184,40.2 41.1 42.1 43.1 44.1 45 50 51 52.2 53.1 54.1 55.1 56.1 57.1 58.1 59 63 65 66.1 67.1 68.2 69.1 70.1 71.1 72 73.1 73.9 77 78.1 79.1 79.8 81 82.1 83.1 84.2 85.1 86.1 87.2 88.7 90.8 91.3 92.2 92.9 95.2 96.1 97.1 98.2 99.2 100.1 100.9 107.9 110 111 112.1 113.2 114.1 123 123.6 126.2 127.2 128.2 135 140.1 141.1 142 151.9 154.1 155.1 156.2 169.2 184.2 185 185.4 207.2 214.4 223.3 232.9 246.7 253.2 260.7 262.6 270.3 304.5 306.3 350.7 365.9 367.6 407.7 436.8 450.2 460.6 475.1 495.7 506.5 556 579,48648 834112 165952 861248 34656 371 2073 11379 5649 41336 35824 266304 142080 691456 36392 1477 2124 9159 4809 32080 16085 72096 90784 386432 20864 751 297 7790 946 5695 508 3072 5447 25408 43848 212544 13417 572 419 636 1322 493 584 689 4988 17832 39248 56880 3436 719 617 331 5157 31352 26280 1343 183 568 16464 21800 2520 345 10986 12703 844 270 3031 9203 505 980 29784 4003 2982 414 209 552 444 358 301 473 170 780 410 311 582 213 433 324 208 458 422 278 328 659 269 537 
7,,C14,14,18.372,1410.5,198,41.1 42.1 43.1 44.1 45.2 50.2 51 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.2 61.8 62.9 64 65.1 66.1 67.1 68.2 69.2 70.1 71.1 72.1 73 73.2 75.1 77.1 78.2 79 80.1 81 82.1 83.1 84.1 85.1 86.2 87.2 91.2 92.3 93.2 94.7 96.1 97 98.1 99.2 100.2 101 107 110.1 111 112.1 113.2 114.1 115.2 124.1 125.2 126.1 127.1 128.2 131.2 136.3 136.8 139.2 140.2 141.1 142.3 148.7 153.1 154.3 155.2 156 162.7 168.2 169.2 170.1 177.4 183.1 193.1 198.3 199.2 200 207.2 218.8 220.2 221 221.6 222.3 240.6 241.1 257.5 272.6 274.9 281 289.9 295.2 296.1 344.2 349.8 354.8 356.4 369.7 389.5 390 412.3 422.1 458.6 474.6 478 493.1 553.8 557.4 596.9,980224 185088 1075712 34256 880 2753 7052 6809 53736 37336 315968 187776 855616 41480 274 159 1997 882 11138 3738 34552 24784 105032 113528 498368 27744 1212 1141 587 7022 1528 5839 1972 6878 10843 39296 52784 315648 26968 575 1287 323 250 224 4566 24120 44624 74576 3521 799 265 1799 12178 33944 39760 4197 252 183 1888 29400 27968 2259 166 221 416 1368 15860 23296 2288 264 493 7154 15932 930 462 4235 8707 634 771 346 937 33784 4003 582 251 512 1446 450 162 391 229 331 233 220 386 178 169 452 203 256 431 268 660 184 674 167 706 179 150 266 591 574 171 916 226 
8,,C15,15,20.51,1508.7,212,41.1 42.1 43.1 44.1 45.1 49.2 50.1 51.1 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.1 63 65.1 66.3 67.1 68.1 69.1 70.1 71.1 72.1 73.1 75.2 77 78.4 79.1 80.2 81.2 82.2 83.1 84.2 85.1 86.1 87.2 89 91.2 92.1 92.8 93.4 95.1 96.1 97.1 98.1 99.1 100.3 102.9 110.2 111.1 112.1 113.2 114.2 115.1 116.3 124.3 125.2 126.1 127.2 128.2 132.6 138.1 140.1 141.1 142 144.9 147.1 148.3 149.2 153.2 154.2 155.2 156.4 157 168.1 169.2 170.3 182.3 183.2 184.2 206.9 212.3 213.2 214.3 223 264.6 267.3 278.8 281 288.9 297.8 303.8 325.5 327 327.7 328.8 340.9 342 355 356.3 366.7 384.3 388 388.9 399.5 400.1 406.8 411.4 430.1 430.5 463.5 491.2 503.1 544.8 565 581.8,1070592 215296 1240064 42864 1403 557 1260 6646 8443 57608 39976 377792 218752 1051648 37096 168 1651 10577 3969 50984 27144 117040 115192 582464 32904 3950 894 8551 2093 5093 3490 8078 14809 55528 58320 379392 30192 325 967 2130 547 326 828 2461 9302 35504 49328 105160 8962 376 1155 16856 46064 56568 6192 767 167 960 4491 21664 29576 3131 913 272 24104 22320 1614 271 511 161 1006 673 12853 16560 2018 195 3347 11059 1782 2956 8336 1537 1044 33640 5052 367 397 338 294 464 1171 530 682 427 174 1108 1103 542 705 752 360 331 161 278 246 182 278 251 200 217 209 926 626 438 655 212 212 180 
9,,C16,16,22.495,1607.4,226,41.1 42.1 43.1 44.1 47.2 48.3 50 51.1 52.1 53.1 54.1 55.1 56.2 57.1 58.1 58.9 59.7 62.1 63 63.9 65 66.2 67.1 68.2 69.1 70.2 71.1 72.1 73.2 75.9 77 78 79 80.9 81.3 82.2 83.2 84.1 85.1 86.1 87.9 88.8 91.2 92 93.1 94.2 95.1 96.1 97.1 98.1 99.1 100.2 101 101.8 104.2 105.9 110 111.1 112.1 113.1 114 122.9 124 125.1 126.2 127.1 128 128.3 132.8 136.1 136.6 138 139 140.2 141.2 142.2 153 154.2 155.1 156.2 156.7 162.7 168.2 169.2 170.1 171.1 182.3 183.2 184.1 190.9 196.2 197.2 198.5 211.1 217.7 221 221.6 226.2 227.2 228 229.6 236.9 247.5 252.9 255.5 264.3 281.1 283.1 319.2 330 337.5 355.1 373.9 405 410.7 421.8 442.9,1081344 208960 1392640 39816 438 480 2403 5058 3869 63920 51136 414720 190144 1155072 59312 781 430 1101 1532 567 14288 2804 54984 30216 143872 129920 679232 42280 391 287 7691 1824 9984 6877 7481 20200 68768 63360 424448 26944 244 215 1937 342 1161 161 4560 8517 40152 55000 112248 9492 1210 592 281 209 3833 25880 42632 73448 7002 846 505 6976 25896 41224 3411 3695 325 212 392 978 2245 26760 21360 4482 877 20592 24944 1896 1100 335 12407 20136 1970 272 7199 15966 1942 292 3011 5969 204 926 299 208 889 36480 7221 972 195 791 462 216 278 224 284 456 159 289 427 609 184 267 489 258 206 
10,,C17,17,24.359,1706.5,240,41.1 42.1 43.1 44.1 45.5 50.1 51 52 53.1 54.1 55.1 56.1 57.1 58.1 59.3 62.8 63.2 63.9 65.2 66.1 67.1 68.2 69.1 70.1 71.1 72 76 77.1 78 79.2 80 81.2 82.1 83.1 84.2 85.1 86.1 86.9 90.9 92.8 93.2 94.1 95.1 96.2 97.2 98.1 99.2 100.2 107.2 108.8 110.1 111.1 112.1 113.2 114.2 115.3 116.9 124.2 125.1 126.1 127.2 128.1 129.1 133.3 136.9 138.3 139.1 140.2 141.1 142.2 147 149.4 152.4 153.1 154.2 155.2 156.3 157.5 164.6 166.8 168.2 169.2 170.1 173.4 179 182.3 183.2 184.2 196 197.3 198.2 199.2 203.3 210.3 211.1 212.2 213.2 216.8 225 238 240.2 241.4 242.1 252.5 258.1 281.3 283 354.9 356.4 371 388.7 416 422.3 429 431.1 433.1 447.6 456.6 462.1 481.1 482.9 488.6,1153536 214720 1423360 41416 345 4885 9063 4279 70680 43016 442496 219840 1109504 45248 191 338 435 475 15074 5696 59856 31992 154432 127496 688512 33416 156 3829 2013 13652 1559 7596 16864 92608 66320 462976 33160 1023 3954 1744 847 963 3394 12150 51352 50928 136320 10258 524 344 6079 25840 40416 74128 10325 584 187 1709 9004 30064 54872 5621 769 230 192 1412 1237 21944 31392 2492 743 238 947 1190 15168 25576 3313 451 177 1004 16912 17936 2580 195 943 11247 16294 1831 5525 12031 2978 372 373 4289 5573 1109 598 523 1243 390 26976 5421 920 613 606 152 173 310 155 159 210 175 204 499 290 361 167 261 695 277 255 731 
