SeqIndex,HMDB_ID,Compound,Intercept,Slope,rsq,adjrsq,Src,RT,RI
1,HMDB00023,3-hydroxyisobutyric,NA,NA,NA,NA,Apr1116,9.61,1070.66
2,HMDB00190,Lactic acid,-0.53626341,7.333792103,0.9739,0.9722,Apr1116,9.44,1075
3,HMDB00661,Glutaric acid,-0.2243511,6.348989908,0.9713,0.9691,Apr1116,10,1083.246
4,HMDB00005,2-oxobutanoic acid,-0.125837578,1.674405475,0.7238,0.6987,Apr1116,10.92,1115.27
5,HMDB00019,2-oxoisovaleric,-0.144901783,1.52187726,0.9636,0.9599,Apr1116,11.23,1126.05
6,HMDB00008,2-hydroxybutyric,0.003728931,1.019877584,0.9507,0.9466,Apr1116,11.72,1141.73
7,HMDB00060,Aacetoacetic ,NA,NA,NA,NA,Apr1116,11.91,1148.8
8,HMDB01987,2-Hydroxy-2-methylbutyric acid,-0.021899825,2.996564345,0.8556,0.8268,Apr1116,11.79,1149
9,HMDB02329,oxalic,-0.001140106,0.07867084,0.9605,0.9539,Apr1116,11.9,1149.02
10,HMDB01877,valproic,0.028299986,0.281751301,0.9479,0.9374,Apr1116,12.29,1161.36
11,HMDB00357,3-hydroxybutyric acid,-0.05955893,4.921375042,0.9856,0.9847,Apr1116,12.59,1173.34
12,HMDB00407,2-Hydroxyisovaleric Acid,-0.007121339,11.24012153,0.9731,0.9711,Apr1116,12.82,1178.6
13,HMDB01865,2-oxovaleric,NA,NA,NA,NA,Apr1116,13.16,1189.07
14,HMDB00491,2-oxo-3-methylvaleric,NA,NA,NA,NA,Apr1116,13.27,1192.3
15,HMDB00354,3-hydroxy-2-methylbutyric,-0.07204343,1.792914468,0.971,0.9692,Apr1116,13.75,1209.5
16,HMDB00691,Malonic acid,-0.033457844,1.399540582,0.9962,0.9956,Apr1116,13.85,1216.28
17,HMDB00754,3-Hydroxyisovaleric acid,-0.009834657,0.796908066,0.974,0.972,Apr1116,13.95,1220.14
18,HMDB00202,Methylmalonic acid,-0.292268092,3.028705364,0.9867,0.9857,Apr1116,14.16,1228.29
19,HMDB00396,2-ethyl-3-hydroxypropionic,-0.107558497,9.65753367,0.9387,0.9346,Apr1116,14.62,1244.02
20,HMDB01870,Benzoic acid,-0.014545649,2.544699216,0.9922,0.9909,Apr1116,14.74,1251.25
21,HMDB00317,2-hydroxy-3-methylvaleric,0.017249411,5.8531866,0.9919,0.9912,Apr1116,14.87,1253.06
22,HMDB00622,Ethylmalonic acid,-0.837490646,11.86025961,0.9779,0.9765,Apr1116,15.82,1292.14
23,HMDB00176,maleic,-0.09876045,4.615289418,0.9919,0.9913,Apr1116,16.5,1316.17
24,HMDB00254,Succinic acid,-0.238506174,4.425009324,0.9829,0.9819,Apr1116,16.6,1323.54
25,HMDB01844,2-Methylsuccinic acid,-0.013607234,3.588618736,0.9959,0.9956,Apr1116,16.92,1337.82
26,HMDB00139,glyceric,-0.028096288,0.129242576,0.8903,0.8684,Apr1116,17.27,1349.65
27,HMDB00300,uracil,-0.069543431,2.500039623,0.9888,0.9877,Apr1116,17.33,1352.1
28,HMDB01895,2-Hydroxybenzoic acid (salicylic acid),1.13284929,11.94898615,0.9877,0.9868,Apr1116,17.407,1355.9
29,HMDB00134,Fumaric Acid,0.737697773,43.52086955,0.9864,0.9854,Apr1116,17.28,1360.21
30,HMDB00634,methylmaleic,-0.104071348,3.773570925,0.9742,0.9724,Apr1116,17.53,1364.09
31,HMDB00525,5-hydroxyhexanoic,0.081345448,9.1808869,0.9836,0.9823,Apr1116,17.73,1369.57
32,HMDB00783,Propionylglycine,-0.084268256,1.51671125,0.9776,0.9758,Apr1116,17.78,1371.16
33,HMDB02453,4-Deoxythreonate,NA,NA,NA,NA,Apr1116,17.851,1373.79
34,HMDB06024,Mevalonolactone,-0.022485764,0.653844922,0.9536,0.9469,Apr1116,17.88,1375.92
35,HMDB00764,Benzenepropanoic acid,-0.376272204,12.17796668,0.9662,0.9613,Apr1116,18.82,1423.6
36,HMDB00360,"2,4-dihydroxybutanoic",-0.046076251,0.571177159,0.5562,0.5118,Apr1116,19.11,1431.01
37,HMDB00752,3-methylglutaric,-0.2537747,13.98965108,0.9878,0.987,Apr1116,19.26,1436.39
38,HMDB02441,"3,3-dimethylglutaric",-0.898092957,13.2603922,0.9796,0.9781,Apr1116,19.51,1449.59
39,HMDB00522,3-methylglutaconic acid (e),-0.214986266,7.139831167,0.9877,0.9869,Apr1116,19.5,1452.26
40,HMDB00808,butyrylglycine,-0.097656587,2.441165813,0.9817,0.9802,Apr1116,19.61,1452.86
41,HMDB00620,Glutaconic Acid,-0.071439728,4.317970347,0.9794,0.9778,Apr1116,19.6,1462.02
42,HMDB00426,2-methylmalic,-0.190529849,0.773367037,0.9648,0.9604,Apr1116,20.362,1489.77
43,HMDB00223,oxaloacetic,NA,NA,NA,NA,Apr1116,20.45,1492.65
44,HMDB00678,isovalerylglycine,NA,NA,NA,NA,Apr1116,20.55,1497.46
45,HMDB00707,4-hydroxyphenylpyruvic,-0.001911258,0.012184327,0.8757,0.8342,Apr1116,20.565,1497.75
46,HMDB00448,Adipic acid,-0.113552773,26.35809295,0.9909,0.9904,Apr1116,20.85,1516.33
47,HMDB00267,Pyroglutamic acid ,-0.436858899,6.226393053,0.9808,0.9791,Apr1116,21.29,1535.34
48,HMDB00555,3-Methyladipic acid,-0.778592547,21.79850335,0.9813,0.9803,Apr1116,21.46,1547.32
49,HMDB00930,(E)-Cinnamic acid,-0.229871404,12.87717025,0.9553,0.9509,Apr1116,21.45,1552.6
50,HMDB02432,Sumiki's acid,-0.040512916,6.28887185,0.9971,0.997,Apr1116,21.75,1561.67
51,HMDB00959,tiglylglycine,-0.987140202,16.88614235,0.9987,0.9985,Apr1116,22.22,1579.92
52,HMDB00669,o-Hydroxyphenylacetic acid ,-0.30727785,8.836759858,0.9871,0.9863,Apr1116,22.13,1580.55
53,HMDB00635,succinylacetone ,2.42E-05,0.020097951,0.7487,0.7259,Apr1116,22.23,1582.41
54,HMDB00208,Oxoglutaric acid,-0.297150708,3.60484149,0.969,0.967,Apr1116,22.38,1594.17
55,HMDB00694,2-Hydroxyglutaric Acid,-1.208568937,12.58721558,0.985,0.9839,Apr1116,22.43,1594.48
56,HMDB00779,3-phenyllactic,-0.507147758,24.80189195,0.9698,0.9679,Apr1116,22.56,1597.56
57,HMDB00857,Pimelic acid ,-0.246577193,13.99952938,0.9985,0.9984,Apr1116,22.78,1614.12
58,HMDB00355,3-hydroxy-3-methylglutaric,-0.411612238,1.373711898,0.8155,0.8023,Apr1116,22.96,1620.1
59,HMDB00440,3-hydroxyphenylacetic,-0.671766095,18.82593292,0.9842,0.9834,Apr1116,23,1620.44
60,HMDB01123,2-amino-benzoic acid,-0.516546452,42.0288342,0.9795,0.9781,Apr1116,22.9,1627
61,HMDB00500,p-Hydroxybenzoic acid ,0.054687823,28.54199443,0.9965,0.9963,Apr1116,23.2,1636.41
62,HMDB00020,p-Hydroxyphenylacetic acid,-0.70408879,14.24550498,0.982,0.981,Apr1116,23.42,1651.5
63,HMDB04812,"2,5-furandicarboxylic",-0.393069293,21.29436174,0.8564,0.842,Apr1116,23.68,1659.66
64,HMDB00439,2-Furoylglycine,-0.200940557,12.18706707,0.96,0.9556,Apr1116,23.74,1665.75
65,HMDB00956,tartaric,NA,NA,NA,NA,Apr1116,23.83,1667.77
66,HMDB00812,N-acetylaspartic,NA,NA,NA,NA,Apr1116,23.938,1673.48
67,HMDB00321,2-hydroxyadipic,-0.666887065,10.14346354,0.9525,0.9488,Apr1116,24.29,1691.11
68,HMDB00893,Suberic acid,-0.166962708,8.642890067,0.9827,0.9818,Apr1116,24.51,1707.8
69,HMDB00375,3-(3-Hydroxyphenyl)propanoic acid,0.025848075,44.27776209,0.9913,0.9908,Apr1116,25.17,1741.5
70,HMDB00232,Quinolinic acid,-0.442170265,3.04762972,0.9845,0.983,Apr1116,25.15,1743.66
71,HMDB00226,orotic,NA,NA,NA,NA,Apr1116,25.63,1767.19
72,HMDB00958,trans-Aconitic acid,-1.256782314,14.42090899,0.9827,0.981,Apr1116,25.58,1767.91
73,HMDb00484,vanillic ,-0.213840779,14.67783183,0.9784,0.9773,Apr1116,25.83,1777.16
74,HMDB02285,2-Indolecarboxylic acid,0.11405911,1.323038778,0.9023,0.8934,Apr1116,25.69,1779.3
75,HMDB00118,Homovanillic acid,0.095489148,5.716958569,0.9863,0.9856,Apr1116,25.88,1785.68
76,HMDB00882,4-hydroxymandelic,-0.375687686,25.00401784,0.983,0.9808,Apr1116,26.23,1799.66
77,HMDB00784,Azelaic acid,-0.281205373,11.49433446,0.983,0.982,Apr1116,26.26,1806.26
78,HMDB00714,Hippuric acid ,-2.785573393,33.44168197,0.9673,0.964,Apr1116,26.95,1848.31
79,HMDB00094,Citric Acid,-0.581370336,3.461173292,0.9769,0.9723,Apr1116,27.02,1848.69
80,HMDB00193,isocitric,NA,NA,NA,NA,Apr1116,27.06,1850.97
81,HMDB00379,methylcitric,-0.066195435,1.860257249,0.7837,0.7476,Apr1116,27.32,1866.47
82,HMDB02643,HPHPA,-0.181818751,30.49784379,0.9867,0.986,Apr1116,27.33,1870.6
83,HMDB01713,m-Coumaric acid,-0.090498293,8.521555997,0.9963,0.9961,Apr1116,27.48,1879.22
84,HMDB00821,Phenaceturic acid,-1.91525629,29.35087449,0.9896,0.9886,Apr1116,27.87,1895.2
85,HMDB00291,Vanillylmandelic acid,-0.243642181,46.79050851,0.9903,0.9895,Apr1116,27.89,1903.22
86,HMDB00792,Sebacic acid,-0.306800981,15.44731681,0.977,0.9755,Apr1116,27.81,1904
87,HMDB00755,Hydroxyphenyllactic acid,4.760968368,47.27172567,0.9318,0.928,Apr1116,28.16,1920.06
88,HMDB00197,1H-Indole-3-acetic acid ,0.055677313,0.714577473,0.9457,0.9396,Apr1116,28.21,1922.86
89,HMDB01889,theophylline,-0.053722738,4.294689632,0.9631,0.9595,Apr1116,28.27,1923.66
90,HMDB00423,"3,4-Dihydroxyhydrocinnamic acid",NA,NA,NA,NA,Apr1116,28.29,1924.05
91,HMDB00860,phenylpropionylglycine,-0.230332886,1.77560871,0.9232,0.9122,Apr1116,29.705,2014.31
92,HMDB03320,indole-3-carboxylic,0.405301101,11.3437368,0.9872,0.9864,Apr1116,30.12,2043.06
93,HMDB00913,3(4-OH-3-MO-phenyl)lactic,1.374300568,31.25384834,0.9595,0.9564,Apr1116,30.166,2046.14
94,HMDB00715,Kynurenic acid,-0.149252832,4.673300057,0.9881,0.9872,Apr1116,30.68,2084.15
95,HMDB00623,dodecanedioic,-1.138174557,26.96298764,0.9547,0.9522,Apr1116,31.03,2103.68
96,HMDB00954,trans-Ferulic acid,-0.13066527,10.3928479,0.9916,0.9911,Apr1116,31.01,2107.95
97,HMDB00866,N-acetyltyrosine,-4.451695514,14.95101837,0.2531,0.2091,Apr1116,31.82,2157.2
98,HMDB06116,m-Hydroxyhippuric acid,-1.338310834,25.76629604,0.9801,0.9789,Apr1116,31.85,2159.29
99,HMDB00763,5-Hydroxyindoleacetic acid ,0.067957861,0.424033676,0.982,0.9794,Apr1116,32.43,2223.53
100,HMDB13678,4-hydroxyhippuric Acid,-0.689741496,25.78751006,0.9924,0.9918,Apr1116,32.88,2242.91
101,HMDB_ISTD1,Succinate-D4 (ISTD),NA,NA,NA,NA,ISTD,,
