SeqIndex,HMDB_ID,Compound,LOQ,Intercept,Slope,rsq,adjrsq,Src,RT,RI
1,HMDB00190,Lactic acid,4,-1.26487,8.34736,0.991,0.99,May1816,9.59,1069.24
2,HMDB00023,3-hydroxyisobutyric,40,-0.52656,4.6665,0.899,0.892,May1816,9.61,1070.66
3,HMDB00729,alpha-Hydroxylsobutyric acid,2,0.49237,0.54904,0.64,0.613,May1816,9.65,1072.87
4,HMDB00005,2-oxobutanoic acid,20,-0.12584,1.67441,0.724,0.699,May1816,10.92,1115.27
5,HMDB00019,2-oxoisovaleric,20,-0.06338,0.77369,0.777,0.76,May1816,11.23,1126.05
6,HMDB00008,2-hydroxybutyric,10,0.01185,0.93227,0.953,0.95,May1816,11.72,1141.73
7,HMDB01987,2-Hydroxy-2-methylbutyric acid,6,-0.0094,2.90111,0.951,0.946,May1816,11.86,1147.43
8,HMDB02329,Oxalic,20,0.00382,0.0645,0.472,0.424,May1816,11.9,1149.02
9,HMDB00700,3-hydroxypropionic acid,3,-0.01976,0.32607,0.847,0.841,May1816,12.17,1158.25
10,HMDB01877,Valproic,10,0.00424,0.31361,0.476,0.411,May1816,12.29,1161.36
11,HMDB00357,3-hydroxybutyric acid,1,-0.08667,2.55565,0.995,0.994,June0816,12.69,1174.25
12,HMDB00407,2-Hydroxyisovaleric Acid,20,-0.00712,11.24012,0.973,0.971,May1816,12.82,1178.6
13,HMDB01865,2-oxovaleric,10,-0.05111,2.79148,0.994,0.993,May1816,13.15,1188.87
14,HMDB00491,2-oxo-3-methylvaleric acid,20,-0.17334,2.7838,0.983,0.982,May1816,13.25,1191.92
15,HMDB00354,3-hydroxy-2-methylbutyric,20,-0.07204,1.79291,0.971,0.969,May1816,13.75,1209.5
16,HMDB00754,3-Hydroxyisovaleric acid,2,-0.01294,0.80263,0.967,0.964,May1816,14.04,1220.13
17,HMDB00202,Methylmalonic acid,3,0.00759,1.65293,0.981,0.979,June0816,14.29,1230.24
18,HMDB00396,2-ethyl-3-hydroxypropionic,10,-0.10756,9.65753,0.939,0.935,May1816,14.62,1244.02
19,HMDB01870,Benzoic acid,35,-0.17663,2.4422,0.85,0.838,May1816,14.85,1252.33
20,HMDB00317,2-hydroxy-3-methylvaleric,10,-0.05476,11.53497,0.89,0.883,May1816,14.87,1253.06
21,HMDB00622,Ethylmalonic acid,2,-1.99889,13.91466,0.97,0.967,May1816,15.99,1293.71
22,HMDB00176,Maleic,10,-0.09876,4.61529,0.992,0.991,May1816,16.5,1316.17
