SeqIndex,HMDB_ID,Compound,LOQ,Intercept,Slope,rsq,adjrsq,Src,RT,RI
1,HMDB00190,Lactic acid,4,-0.0909,1.55294,0.995,0.993,16-Jun-17,9.59,1069.24
2,HMDB00019,2-oxoisovaleric,20,-0.0713,0.58462,0.986,0.982,16-Jun-17,11.23,1126.05
3,HMDB00008,2-hydroxybutyric,10,-0.0124,0.75592,1.000,1.000,16-Jun-17,11.72,1141.73
4,HMDB00700,3-hydroxypropionic acid,3,-0.0617,1.17948,0.996,0.994,16-Jun-17,12.17,1158.25
5,HMDB00357,3-hydroxybutyric acid,1,-0.0306,1.61132,0.999,0.999,16-Jun-17,12.69,1174.25
6,HMDB00407,2-Hydroxyisovaleric Acid,20,-0.1855,6.80864,0.996,0.995,16-Jun-17,12.82,1178.6
7,HMDB00491,2-oxo-3-methylvaleric acid,20,0.0063,0.02301,0.943,0.885,16-Jun-17,13.25,1191.92
8,HMDB00354,3-hydroxy-2-methylbutyric,20,-0.0152,0.92296,0.992,0.991,16-Jun-17,13.75,1209.5
9,HMDB00754,3-Hydroxyisovaleric acid,2,-0.0836,0.25374,0.924,0.886,16-Jun-17,14.04,1220.13
10,HMDB00202,Methylmalonic acid,3,0.0071,1.08260,0.998,0.998,16-Jun-17,14.29,1230.24
11,HMDB00396,2-ethyl-3-hydroxypropionic,10,0.0446,2.58964,0.997,0.997,16-Jun-17,14.62,1244.02
12,HMDB01870,Benzoic acid,35,-0.1950,2.65352,0.960,0.952,16-Jun-17,14.85,1252.33
13,HMDB00317,2-hydroxy-3-methylvaleric,10,-0.2410,12.80777,0.997,0.996,16-Jun-17,14.87,1253.06
14,HMDB00622,Ethylmalonic acid,2,0.0311,1.83574,0.999,0.998,16-Jun-17,15.99,1293.71
15,HMDB00176,Maleic,10,0.0052,1.02995,0.999,0.999,16-Jun-17,16.5,1316.17
16,HMDB00254,Succinic acid,3,-0.0508,2.53300,0.995,0.993,16-Jun-17,16.77,1326.08
17,HMDB01844,2-Methylsuccinic acid,6,-0.0264,2.88877,0.999,0.999,16-Jun-17,17,1337.82
18,HMDB00300,Uracil,10,0.0742,0.96287,0.927,0.902,16-Jun-17,17.33,1352.1
19,HMDB01895,2-Hydroxybenzoic acid(salicylic acid) ,30,-0.0535,5.70524,0.992,0.989,16-Jun-17,17.4,1355.63
20,HMDB00134,Fumaric Acid,20,0.1550,10.22589,0.986,0.981,16-Jun-17,17.54,1361.56
21,HMDB00783,Propionylglycine,10,-0.0733,0.92712,0.992,0.990,16-Jun-17,17.78,1371.16
22,HMDB00661,Glutaric acid,8,0.0078,3.44182,0.999,0.999,16-Jun-17,18.79,1414.4
23,HMDB00752,3-methylglutaric,10,-0.0180,4.49351,0.999,0.999,16-Jun-17,19.26,1436.39
24,HMDB02441,"3,3-dimethylglutaric",20,-0.0217,4.46996,0.999,0.999,16-Jun-17,19.51,1449.29
25,HMDB00808,Butyrylglycine,10,-0.1856,3.44459,1.000,0.999,16-Jun-17,19.61,1452.86
26,HMDB00522,3-methylglutaconic acid,1,-0.0293,0.92570,0.997,0.996,16-Jun-17,19.64,1453.74
27,HMDB00620,Glutaconic Acid,10,-0.0747,2.85932,0.998,0.998,16-Jun-17,19.76,1462.02
28,HMDB01123,2-amino-benzoic acid,10,0.0711,5.02706,0.998,0.998,16-Jun-17,20.48,1493.79
29,HMDB00678,Isovalerylglycine,20,0.1785,1.71537,0.734,0.680,16-Jun-17,20.55,1497.46
30,HMDB00156,L-Malic acid,30,-0.1534,1.23133,0.941,0.931,16-Jun-17,20.75,1507.04
31,HMDB00448,Adipic acid,38,0.2083,3.82130,0.994,0.993,16-Jun-17,20.98,1520.29
32,HMDB00267,Pyroglutamic acid,30,-0.1975,3.36048,0.999,0.998,16-Jun-17,21.29,1535.02
33,HMDB00555,3-Methyladipic acid,3,0.0697,8.18625,0.998,0.998,16-Jun-17,21.59,1550.51
34,HMDB00930,(E)-Cinnamic acid,10,-0.0855,6.10895,0.999,0.999,16-Jun-17,21.6,1551.15
35,HMDB02432,Sumiki's acid,16,0.0094,4.36825,1.000,1.000,16-Jun-17,21.86,1563.57
36,HMDB00669,O-Hydroxyphenylacetic acid,1,0.1278,3.01699,0.983,0.980,16-Jun-17,22.22,1581.16
37,HMDB00959,Tiglylglycine,10,-0.2791,4.99584,0.996,0.993,16-Jun-17,22.22,1579.92
38,HMDB00635,Succinylacetone,10,-0.0236,0.66357,0.999,0.999,16-Jun-17,22.23,1582.41
39,HMDB00694,2-Hydroxyglutaric Acid,30,-0.5074,4.26902,0.967,0.956,16-Jun-17,22.49,1594.48
40,HMDB00208,Oxoglutaric acid,2,-0.0152,1.47117,1.000,1.000,16-Jun-17,22.55,1596.63
41,HMDB00779,3-phenyllactic,10,0.5931,11.02887,0.991,0.989,16-Jun-17,22.56,1598.16
42,HMDB00857,Pimelic acid,13,0.0119,3.23737,0.999,0.999,16-Jun-17,22.88,1615.19
43,HMDB00440,3-hydroxyphenylacetic,20,0.0137,4.63081,0.998,0.997,16-Jun-17,23,1620.44
44,HMDB00500,p-Hydroxybenzoic acid,1,0.2450,12.38245,0.996,0.995,16-Jun-17,23.31,1638.48
45,HMDB00020,p-Hydroxyphenylacetic acid,30,0.0795,5.49160,0.997,0.996,16-Jun-17,23.58,1653.56
46,HMDB04812,"2,5-furandicarboxylic",10,-0.0283,12.61186,0.999,0.999,16-Jun-17,23.68,1659.66
47,HMDB00225,2-oxoadipic,10,-0.1271,3.82123,0.998,0.997,16-Jun-17,24.08,1680.16
48,HMDB00321,2-hydroxyadipic,20,-0.0596,4.37647,0.959,0.949,16-Jun-17,24.29,1691.11
49,HMDB00893,Suberic acid,1,0.0230,3.21636,0.998,0.998,16-Jun-17,24.65,1709.67
50,HMDB00375,3-(3-Hydroxyphenyl)propanoic acid,20,0.1732,9.94554,0.997,0.996,16-Jun-17,25.17,1741.5
51,HMDB00232,Quinolinic acid,38,-0.0588,1.19217,0.986,0.981,16-Jun-17,25.28,1747.64
52,HMDB00958,trans-Aconitic acid,1,-0.0554,3.76985,0.998,0.998,16-Jun-17,25.7,1768.98
53,HMDb00484,Vanillic ,10,-0.0006,10.09320,0.994,0.993,16-Jun-17,25.83,1777.16
54,HMDB02285,2-Indolecarboxylic acid,10,-0.0559,6.62606,1.000,1.000,16-Jun-17,25.84,1778.3
55,HMDB00118,Homovanillic acid,2,-0.0269,7.31366,0.999,0.999,16-Jun-17,26.01,1787.38
