SeqIndex,HMDB_ID,Compound,LOQ,Intercept,Slope,rsq,adjrsq,Src,RT,RI,Note
1,HMDB00190,Lactic acid,4,-0.0909,1.5529,0.995,0.993,16-Jun-17,9.59,1069.24,
2,HMDB00019,2-oxoisovaleric,20,-0.0713,0.5846,0.986,0.982,16-Jun-17,11.23,1126.05,
3,HMDB00008,2-hydroxybutyric,10,-0.0124,0.7559,1.000,1.000,16-Jun-17,11.72,1141.73,
4,HMDB00700,3-hydroxypropionic acid,3,-0.0617,1.1795,0.996,0.994,16-Jun-17,12.17,1158.25,
5,HMDB00357,3-hydroxybutyric acid,1,-0.0306,1.6113,0.999,0.999,16-Jun-17,12.69,1174.25,
6,HMDB00407,2-Hydroxyisovaleric Acid,20,-0.1855,6.8086,0.996,0.995,16-Jun-17,12.82,1178.6,
7,HMDB00491,2-oxo-3-methylvaleric acid,20,0.0063,0.0230,0.943,0.885,16-Jun-17,13.25,1191.92,
8,HMDB00354,3-hydroxy-2-methylbutyric,20,-0.0152,0.9230,0.992,0.991,16-Jun-17,13.75,1209.5,
9,HMDB00754,3-Hydroxyisovaleric acid,2,-0.0836,0.2537,0.924,0.886,16-Jun-17,14.04,1220.13,
10,HMDB00202,Methylmalonic acid,3,0.0000,1.0826,0.998,0.998,22-Jul-17,14.29,1230.24,change intercept to zero
11,HMDB00396,2-ethyl-3-hydroxypropionic,10,0.0000,2.5896,0.997,0.997,22-Jul-17,14.62,1244.02,change intercept to zero
12,HMDB01870,Benzoic acid,35,-0.1950,2.6535,0.960,0.952,16-Jun-17,14.85,1252.33,
13,HMDB00317,2-hydroxy-3-methylvaleric,10,-0.2410,12.8078,0.997,0.996,16-Jun-17,14.87,1253.06,
14,HMDB00622,Ethylmalonic acid,2,0.0000,1.8357,0.999,0.998,22-Jul-17,15.99,1293.71,change intercept to zero
15,HMDB00176,Maleic,10,0.0000,1.0300,0.999,0.999,22-Jul-17,16.5,1316.17,change intercept to zero
16,HMDB00254,Succinic acid,3,-0.0508,2.5330,0.995,0.993,16-Jun-17,16.77,1326.08,
17,HMDB01844,2-Methylsuccinic acid,6,-0.0264,2.8888,0.999,0.999,16-Jun-17,17,1337.82,
18,HMDB00300,Uracil,10,-0.0123,1.0419,NA,NA,22-Jul-17,17.33,1352.1,y = 1.0419x-0.0123
19,HMDB01895,2-Hydroxybenzoic acid(salicylic acid) ,30,-0.0535,5.7052,0.992,0.989,16-Jun-17,17.4,1355.63,
20,HMDB00134,Fumaric Acid,20,0.0000,10.2259,0.986,0.981,22-Jul-17,17.54,1361.56,change intercept to zero
21,HMDB00783,Propionylglycine,10,-0.0733,0.9271,0.992,0.990,16-Jun-17,17.78,1371.16,
22,HMDB00661,Glutaric acid,8,0.0000,3.4418,0.999,0.999,22-Jul-17,18.79,1414.4,change intercept to zero
23,HMDB00752,3-methylglutaric,10,-0.0180,4.4935,0.999,0.999,16-Jun-17,19.26,1436.39,
24,HMDB02441,"3,3-dimethylglutaric",20,-0.0217,4.4700,0.999,0.999,16-Jun-17,19.51,1449.29,
25,HMDB00808,Butyrylglycine,10,-0.1856,3.4446,1.000,0.999,16-Jun-17,19.61,1452.86,
26,HMDB00522,3-methylglutaconic acid,1,-0.0293,0.9257,0.997,0.996,16-Jun-17,19.64,1453.74,
27,HMDB00620,Glutaconic Acid,10,-0.0747,2.8593,0.998,0.998,16-Jun-17,19.76,1462.02,
28,HMDB01123,2-amino-benzoic acid,10,0.0711,5.0271,0.998,0.998,16-Jun-17,20.48,1493.79,
29,HMDB00678,Isovalerylglycine,20,-0.0305,3.9680,0.734,0.680,22-Jul-17,20.55,1497.46,y = 3.968x - 0.0305
30,HMDB00156,L-Malic acid,30,-0.1534,1.2313,0.941,0.931,16-Jun-17,20.75,1507.04,
31,HMDB00448,Adipic acid,38,0.0000,3.8213,0.994,0.993,22-Jul-17,20.98,1520.29,change intercept to zero
32,HMDB00267,Pyroglutamic acid,30,-0.1975,3.3605,0.999,0.998,16-Jun-17,21.29,1535.02,
33,HMDB00555,3-Methyladipic acid,3,0.0000,8.1862,0.998,0.998,22-Jul-17,21.59,1550.51,change intercept to zero
34,HMDB00930,(E)-Cinnamic acid,10,-0.0855,6.1089,0.999,0.999,16-Jun-17,21.6,1551.15,
35,HMDB02432,Sumiki's acid,16,0.0000,4.3683,1.000,1.000,22-Jul-17,21.86,1563.57,change intercept to zero
36,HMDB00669,O-Hydroxyphenylacetic acid,1,0.0000,3.4577,0.983,0.980,22-Jul-17,22.22,1581.16,y=3.4577x
37,HMDB00959,Tiglylglycine,10,-0.2791,4.9958,0.996,0.993,16-Jun-17,22.22,1579.92,
38,HMDB00635,Succinylacetone,10,-0.0236,0.6636,0.999,0.999,16-Jun-17,22.23,1582.41,
39,HMDB00694,2-Hydroxyglutaric Acid,30,-0.5074,4.2690,0.967,0.956,16-Jun-17,22.49,1594.48,
40,HMDB00208,Oxoglutaric acid,2,-0.0152,1.4712,1.000,1.000,16-Jun-17,22.55,1596.63,
41,HMDB00779,3-phenyllactic,10,0.1768,13.0910,0.991,0.989,22-Jul-17,22.56,1598.16,y = 13.091x + 0.1768
42,HMDB00857,Pimelic acid,13,0.0000,3.2374,0.999,0.999,22-Jul-17,22.88,1615.19,change intercept to zero
43,HMDB00440,3-hydroxyphenylacetic,20,0.0000,4.6308,0.998,0.997,22-Jul-17,23,1620.44,change intercept to zero
44,HMDB00500,p-Hydroxybenzoic acid,1,0.0000,12.3824,0.996,0.995,22-Jul-17,23.31,1638.48,change intercept to zero
45,HMDB00020,p-Hydroxyphenylacetic acid,30,0.0000,5.4916,0.997,0.996,22-Jul-17,23.58,1653.56,change intercept to zero
46,HMDB04812,"2,5-furandicarboxylic",10,-0.0283,12.6119,0.999,0.999,16-Jun-17,23.68,1659.66,
47,HMDB00225,2-oxoadipic,10,-0.1271,3.8212,0.998,0.997,16-Jun-17,24.08,1680.16,
48,HMDB00321,2-hydroxyadipic,20,-0.0596,4.3765,0.959,0.949,16-Jun-17,24.29,1691.11,
49,HMDB00893,Suberic acid,1,0.0000,3.2164,0.998,0.998,22-Jul-17,24.65,1709.67,change intercept to zero
50,HMDB00375,3-(3-Hydroxyphenyl)propanoic acid,20,0.0000,9.9455,0.997,0.996,22-Jul-17,25.17,1741.5,change intercept to zero
51,HMDB00232,Quinolinic acid,38,-0.0588,1.1922,0.986,0.981,16-Jun-17,25.28,1747.64,
52,HMDB00958,trans-Aconitic acid,1,-0.0554,3.7699,0.998,0.998,16-Jun-17,25.7,1768.98,
53,HMDb00484,Vanillic ,10,-0.0006,10.0932,0.994,0.993,16-Jun-17,25.83,1777.16,
54,HMDB02285,2-Indolecarboxylic acid,10,-0.0559,6.6261,1.000,1.000,16-Jun-17,25.84,1778.3,
55,HMDB00118,Homovanillic acid,2,-0.0269,7.3137,0.999,0.999,16-Jun-17,26.01,1787.38,
56,HMDB00882,4-hydroxymandelic,10,0.0000,25.5150,0.954,0.942,22-Jul-17,26.23,1800.01,y=25.515x
57,HMDB00784,Azelaic acid,1,0.0000,6.5293,0.995,0.994,22-Jul-17,26.39,1807.83,change intercept to zero
58,HMDB00094,Citric Acid,40,-0.0533,1.6068,0.822,0.792,16-Jun-17,27.02,1848.69,y=1.6068x-0.0533
59,HMDB00714,Hippuric acid,4,-0.5331,6.8215,0.989,0.986,16-Jun-17,27.2,1857.79,
