Serial_Number,HMDB_Number,Compound,name_short,Derivatized_compound_name,Parent_Mass_of_derivatized_compound,RT,RI,MZ,Intensity
1,NA,alpha-Hydroxyisobutyric acid-2TMS,NA,alpha-Hydroxyisobutyric acid-2TMS,NA,NA,1070,41.05 42.05 43.05 44.05 45.05 47.05 58.05 59.05 61.05 73.05 74.05 75.05 76.95 80.05 81.1 81.8 83 84 85 86.1 87 88 89 89.9 91 95.1 96.8 97 98.1 99 100.1 101 102 103 103.9 105 106 107 109.1 113 115 116 117 118 119 120 121 129.05 131.05 132.05 133.05 134.05 135.05 136.05 143.05 144.05 145.05 147.05 148.05 149.05 150.05 150.95 156.95 159.05 161.05 163.05 164.15 175 189 190.1 191.1 192 205 206.1 207 208.1 209 217.05 217.95 219.05 231.05 233.05 234.05 235.05,45384 18272 102368 33480 194432 48688 27312 40944 29688 449984 43960 115816 21680 465 1547 225 831 276 2984 862 4940 977 2105 278 498 16198 244 248 238 2771 779 15383 3034 5665 924 2600 271 276 376 1150 14279 6144 10127 1492 2484 256 214 1568 193792 23816 34688 4429 2611 237 7234 1283 1990 246528 38440 21768 2520 664 252 155 269 1436 244 393 1260 995 499 257 40960 7853 3527 361 198 766 178 161 273 7161 1453 502 
2,NA,Glyocolic acid-2TMS,NA,Glyocolic acid-2TMS,NA,NA,1006,42.05 43.05 44.05 45.05 47.05 58.05 59.05 66.05 72.05 73.05 74.05 75.05 81.1 85 86.1 87 88.1 89 90 91.1 95 98.9 100 101 102 103 103.9 104.9 106 113 115 116 117 118 119 120 131.05 132.05 133.05 134.05 135.05 147.05 148.05 149.05 149.95 150.85 161.05 162.05 163.05 164.05 175.1 177 178 179 190 205 205.9 207,6645 36160 14112 67032 11825 16640 20776 24616 6798 175232 16520 21736 4093 264 222 2248 6257 2876 543 258 557 162 172 1574 2127 5814 802 1159 236 358 1464 471 2586 455 1003 164 4352 981 9263 1307 833 119096 18200 11126 1131 349 7282 1289 704 223 180 9489 1798 922 220 4755 739 556 
3,NA,Phosphoric acid-3TMS,NA,Phosphoric acid-3TMS,NA,NA,1292,45.1 73.1 75.1 80 80.6 82 83.2 85.1 86.2 87.1 88.1 89 91 92.1 93 94.1 95 95.9 96.9 97.6 98.9 100.9 101.8 103 104 105 105.9 107 107.9 109.1 110.1 113.1 115 116 117 118.1 119 120 121 122 123 124 126.3 127 129 130 131 132.1 133 134 135 136 137 138 139 140.2 142.9 145 145.9 147.1 148 149.1 150.1 151 152.1 152.9 154.3 154.9 159.1 159.9 161 162.9 163.8 164.9 165.8 166.9 168 168.8 169.8 173 175 176 177 178 179 180 181 182 182.9 184 184.7 189 190 191 192 193 194 195 196.1 197 198.3 203 205.1 206.1 207 208.1 209 211 212.1 213 214.3 215 217.8 219 221 222.1 223.1 225.1 226 227 228.1 228.7 237.7 239.1 241.1 241.9 249.1 251.9 252.9 253.9 254.9 256.2 262.8 267 267.8 269 270.1 270.7 270.9 272.9 280.9 283 284 285.1 285.9 287 296.9 299 300.1 301 302 303.1 304 309 311.7 314.1 315 316.1 317 318.1 319.1 373.3,16263 113920 13966 179 280 154 440 1009 258 1056 571 1469 841 152 620 208 791 190 167 275 209 568 745 5293 1567 3051 506 1846 504 1330 310 507 7227 963 4027 802 5877 743 4494 913 2008 362 240 257 532 298 9418 1669 44952 6918 15112 2407 6684 1431 1076 280 487 1369 490 22360 4078 3245 1192 4461 325 1383 152 265 216 167 290 1797 180 4269 758 2786 534 413 264 235 891 813 3523 1399 3516 1243 6975 614 1240 183 250 5636 1437 19496 4794 26840 5196 5545 862 1304 468 401 5544 1499 35208 8281 6645 34936 4383 2950 314 269 155 176 3698 953 560 11784 2303 3580 215 261 161 591 351 175 187 217 2179 597 1419 382 200 1766 364 4710 983 560 562 180 242 32328 8219 5628 890 250 222 677568 161536 88320 13791 3778 501 309 196 104152 24864 11946 2416 843 160 153 
4,HMDB00190,L-Lactic acid,LAC,Bis(trimethylsilyl)lactate,234,14.831,1066,43 44.1 45.1 47 55.1 58 59.1 66.1 73.1 74.1 75 80.1 83 84.1 85 85.95 87.05 88.15 88.95 90.95 93.05 94.05 97.15 98.95 101.05 102.05 103.05 104.05 104.95 113.05 115.05 117.05 118.05 119.05 120.05 127.05 128.95 131.1 133.1 134 135 147.1 148.1 149 150 151.1 174.9 190.15 191.05 192.05 193.15 203.05 207.05 219.05 220.05 221.05,26936 11688 48752 9518 6950 8828 14352 14054 133504 12771 19272 228 353 287 538 462 3333 4839 1490 350 184 466 245 256 2688 3236 1884 373 826 222 1343 59920 6046 2599 231 160 718 3069 5859 941 571 58560 9483 5244 692 165 249 6612 9923 2297 818 302 668 1881 416 234
5,HMDB00161,Alanine,ALA,"N,O-Bis-(trimethylsilyl)alanine",233,16.161,1098,42 43 43.9 45 46.9 55 56.9 58 59 61 73 73.9 74.9 85.9 87.3 93.95 100.05 101.05 101.95 102.95 104.85 115.95 116.95 117.95 129.75 130.85 132.95 147 148 149 190.05 191.05,4885 13636 9443 25344 4353 2608 2107 4492 11076 2386 50992 5240 7577 2711 904 736 5090 1640 1643 2770 556 38256 5174 1388 564 908 2067 11754 1693 1043 3973 642
6,NA,Malonic acid-2TMS,NA,Malonic acid-2TMS,NA,NA,1215,42.05 43.05 44.05 45.05 46.05 47.05 58.05 59.05 61.05 66.05 68.95 72.05 73.05 74.05 75.05 82.9 84.1 85 86 87 88.1 89 90 91 96.9 99 100 101 102 103 104 105 106 107 109 113 115 116 117 118 119 120 129.05 131.05 132.15 133.05 134.05 135.05 142.95 143.95 144.95 147.05 148.05 149.05 150.05 151.05 156.95 158.05 158.95 162.05 173 174.1 189 191 204 216.95 233.05 234.05 235.05 248.05 249.05 250.05,24048 77888 31520 181504 12553 68520 18384 35920 22584 20744 13715 27168 304448 33568 168576 400 278 2278 619 3913 5195 2966 441 597 170 28992 3339 11981 2720 4289 964 2242 373 417 1270 754 5345 3077 5303 817 1319 264 214 10344 1493 17744 2293 1271 6021 643 642 328640 53328 29584 3164 908 239 274 546 383 958 184 621 168 388 749 8995 1753 811 1265 323 170 
7,HMDB02329,Oxalate,OXA,oxalate 2TMS,234,16.973,1139,41 42.1 43.1 44 45.1 46 47 52.1 55.1 57.1 58.1 59.1 66 73.1 74 75 77.1 83.1 85.1 86.95 89.05 90.95 93.15 94.25 96.95 100.85 102.05 102.95 104.95 115.05 117.05 131.1 132.1 133 147.1 148.1 149 175 190.05 191.05 206.95 218.95,1930 1080 8216 5292 14813 1313 1793 2547 1299 2039 4711 3874 2844 38224 3753 3672 1428 257 238 384 192 257 329 173 169 191 544 561 324 311 506 897 200 734 14218 2757 1624 273 519 152 281 197
8,HMDB00883,Valine,VAL,valine 2TMS,261,19.057,1209,41.1 42.1 43.1 44.1 45.1 47 55.1 57.1 58.1 59.1 70.1 73 74.1 75 80.3 80.8 82.1 83 84 85 86.15 86.95 88.05 91.05 92.35 93.15 93.95 95.15 95.85 96.95 98.05 99.05 100.05 101.05 102.05 103.05 104.05 104.95 108.15 110.05 112.15 113.15 114.05 115.05 115.85 117.05 118.05 119.05 125.95 128.05 129.05 130.05 131 132 133.1 134.1 135 142.2 144.1 145.1 146.1 147.1 148.1 149.1 150 152.2 156.1 157 158.1 159.1 160 163 174.2 203.15 207.05 218.05 219.05 220.05 221.15 246.1,7337 3066 17880 10258 32096 4331 4037 3767 5568 12848 3525 104456 9534 12578 329 427 895 704 812 779 1897 553 437 181 163 205 200 179 357 291 814 624 8973 1761 1104 2591 174 301 182 227 1089 370 2056 1010 202 1025 377 550 368 1680 859 1160 1364 1981 2533 394 393 354 70016 9261 3041 11022 1912 1113 190 153 702 191 383 169 585 171 308 543 318 11249 2151 786 187 296
9,HMDB00294,Urea,URE,urea 2TMS,204,19.709,1239,43.1 44.1 45.1 46.1 47.1 58.1 59.1 66.1 72 73.1 74 75 79 83 84.1 85 86.05 87.05 88.05 89.05 90.05 90.95 91.85 92.95 94.05 95.15 97.05 99.05 100.05 101.05 101.95 103.05 104.15 105.05 105.95 107.05 111.05 113.05 114.05 115.05 116.05 116.95 117.95 118.85 127.05 129.05 130.05 131 132.1 133.1 134 135.2 141.1 147.1 148.1 149.1 150.1 155 155.9 157 158.1 159 171 172 173 174 175.1 185.95 189.15 190.05 191.05 192.05 204.15 205.15 207.05,28128 28432 48040 10642 7912 9154 16664 18336 9283 60376 24648 17064 7898 670 1258 2778 2104 9441 1912 670 1146 420 205 166 161 182 346 12901 9089 3926 2160 1534 229 942 214 178 238 1645 1286 2724 1832 2385 622 249 370 352 6517 5590 4059 2410 629 302 212 99680 16544 7675 600 338 153 1112 280 358 7521 1528 4112 679 357 224 59344 9666 5457 503 1190 321 509
10,HMDB00172,Isoleucine,ISO,L-Isoleucine (2TMS),275,20.793,1286,41.1 43.1 44.1 45.1 47 57.1 58.1 59.1 69 73.1 74.1 75 77 80.5 80.8 82.1 83.1 84 85.1 85.95 86.95 87.85 89.05 90.05 91.15 92.15 94.05 95.05 96.15 97.05 98.05 99.15 100.05 101.05 102.05 103.05 104.15 104.95 112.05 113.25 114.05 115.05 116.15 116.95 117.95 119.05 125.95 128.05 129.15 130.05 131.1 132.1 133.1 134 142.1 143.1 144.1 146.1 147.1 148 149.1 155.9 158.1 159.1 160.1 161.1 170.1 174 203.15 206.95 218.05 219.05 220.05 232.2 233.2 234.1 260.1,8515 7177 6038 20296 3118 5625 4733 7113 3084 71248 6710 9162 2099 283 262 405 430 874 751 1562 461 405 303 248 321 158 270 270 495 635 708 621 6472 1249 1502 1731 163 437 263 287 1277 532 615 934 182 404 188 1802 768 817 848 1457 1724 273 870 615 320 340 7692 1045 907 309 55016 7960 2327 433 568 226 781 234 8992 1962 650 2575 524 242 261
11,HMDB00162,Proline,PRO,"N,O-Bis-(trimethylsilyl)proline",259,20.977,1294,41.1 43.1 44.1 45.1 47 55.1 57.1 58.1 59.1 66.1 70.1 72.1 73.1 74.1 75 81 82 83 84 85 86.15 86.85 88.05 88.95 91.05 92.15 93.05 93.85 94.05 95.05 95.85 96.15 96.95 98.05 99.05 100.05 100.85 102.05 103.05 104.95 107.05 111.05 111.45 112.15 113.15 114.65 114.95 116.15 117.05 118.95 123.95 126.15 127.15 128.05 128.75 130.05 131.1 132 133.1 134 135.1 138.1 140 142.1 143.1 144.1 145.1 146 147.1 148.1 149.1 158.1 170.1 171.1 175 206.95 216.15 217.15 217.95 219.05 230.1 244.1,8240 16240 9509 36824 5100 3890 3937 5403 11106 5547 3345 7276 102888 8821 10726 322 447 1075 1319 1210 1062 577 254 218 159 173 350 319 322 216 218 231 474 1268 1508 2953 1856 855 718 516 414 180 186 315 935 1030 1032 330 1052 257 268 528 905 522 194 274 1387 366 1819 324 226 207 974 113328 13907 4223 420 182 10516 1429 689 384 1159 156 471 345 7227 1531 601 243 255 465
