InternalSTD,hmdb_id,compound_new,intercept_new,slope_new,R-square,Adj R-square,Source_new
Succinic acid-D4,HMDB00357,3-hydroxybutyric acid,-0.05956,0.00492,0.99,0.98,Mix1_Mar2016
Succinic acid-D4,HMDB00522,3-methylglutaconic acid (e),-0.21499,0.00714,0.99,0.99,Mix1_Mar2016
Succinic acid-D4,HMDB00254,Succinic acid,-0.23851,0.00443,0.98,0.98,Mix1_Mar2016
Succinic acid-D4,HMDB00784,Azelaic acid,-0.28121,0.01149,0.98,0.98,Mix1_Mar2016
Succinic acid-D4,HMDB00202,Methylmalonic acid,-0.29227,0.00303,0.99,0.99,Mix1_Mar2016
Succinic acid-D4,HMDB00958,trans-Aconitic acid,-1.87662,0.0181,0.95,0.94,Mix1_Mar2016
Succinic acid-D4,HMDB00634,Methylmaleic acid (citraconic acid),-0.00799,0.00341,0.97,0.96,Mix2_Mar2016
Succinic acid-D4,HMDB00691,Malonic acid,-0.06522,0.00135,0.82,0.8,Mix2_Mar2016
Succinic acid-D4,HMDB00439,2-Furoylglycine,-0.23297,0.01264,0.92,0.91,Mix2_Mar2016
Succinic acid-D4,HMDB00190,Lactic acid,-0.57438,0.00745,0.98,0.97,Mix2_Mar2016
Succinic acid-D4,HMDB00555,3-Methyladipic acid,-0.77859,0.0218,0.98,0.98,Mix2_Mar2016
Succinic acid-D4,HMDB06116,m-Hydroxyhippuric acid,-1.33831,0.02577,0.98,0.98,Mix2_Mar2016
Succinic acid-D4,HMDB00714,Hippuric acid,-2.78557,0.03344,0.97,0.96,Mix2_Mar2016
Succinic acid-D4,HMDB00118,Homovanillic acid,0.09549,0.00572,0.99,0.99,Mix3_Mar2016
Succinic acid-D4,HMDB00954,trans-Ferulic acid,-0.13067,0.01039,0.99,0.99,Mix3_Mar2016
Succinic acid-D4,HMDB00893,Suberic acid,-0.16696,0.00864,0.98,0.98,Mix3_Mar2016
Succinic acid-D4,HMDB00622,Ethylmalonic acid,-0.83749,0.01186,0.98,0.98,Mix3_Mar2016
Succinic acid-D4,HMDB00355,3-Hydroxymethylglutaric acid,0.04089,0.00027,0.95,0.94,Mix6_Mar2016
Succinic acid-D4,HMDB00754,3-Hydroxyisovaleric acid,-0.00983,0.0008,0.97,0.97,Mix6_Mar2016
Succinic acid-D4,HMDB00700,_-Lactate,-0.02932,0.00038,0.98,0.98,Mix6_Mar2016
Succinic acid-D4,HMDB00715,Kynurenic acid,-0.14925,0.00467,0.99,0.99,Mix6_Mar2016
Succinic acid-D4,HMDB00669,o-Hydroxyphenylacetic acid,-0.30728,0.00884,0.99,0.99,Mix6_Mar2016
Succinic acid-D4,HMDB00755,Hydroxyphenyllactic acid,4.90903,0.04641,0.94,0.93,Mix7_Mar2016
Succinic acid-D4,HMDB00500,p-Hydroxybenzoic acid,0.05469,0.02854,1,1,Mix7_Mar2016
Succinic acid-D4,HMDB00440,m-Hydroxyphenylacetic acid,-0.07539,0.01646,1,1,Mix7_Mar2016
Succinic acid-D4,HMDB01713,m-Coumaric acid,-0.0905,0.00852,1,1,Mix7_Mar2016
Succinic acid-D4,HMDB00134,Fumaric Acid,1.83811,0.03913,0.95,0.94,MixA_Mar2016
Succinic acid-D4,HMDB00008,2-hydroxybutyric,0.01185,0.00093,0.95,0.95,MixA_Mar2016
Succinic acid-D4,HMDB00752,3-methylglutaric,-0.25377,0.01399,0.99,0.99,MixA_Mar2016
Succinic acid-D4,HMDB00882,4-hydroxymandelic,-0.43628,0.02523,0.98,0.98,MixA_Mar2016
