HMDB_ID,Compound,Intercept,Slope,adjRsquare,Source,NOTE
HMDB00020,p-Hydroxyphenylacetic acid,-0.11531,0.00266,0.93,MixA_Mar2016,
HMDB00067,Cholesterol (ISTD),NA,NA,NA,Mix4-7,
HMDB00094,Citric Acid,-3.00E-04,0.1428,NA,Mix1-1 (Oct09),
HMDB00118,Homovanillic acid,0.04014,4.91492,0.9959,Mix3-7,
HMDB00134,Fumaric Acid,0.37704,0.00736,0.85,MixA_Mar2016,
HMDB00156 ,L-Malic acid,-0.0016,0.2275,NA,Mix1-1 (Oct09),
HMDB00190,Lactic acid,0.01949,0.00058,0.84,Mix2_Mar2016,recal with all TMS
HMDB00197,1H-Indole-3-acetic acid,0.08542,9.00E-04,0.75,Mix6_Mar2016,
HMDB00202,Methylmalonic acid,-0.08393,0.00202,0.86,Mix1_Mar2016,
HMDB00208,Oxoglutaric acid,0.00936,2.13728,0.993,Mix3-7,
HMDB00209,phenylacetic  acid,-0.02812,1.58861,0.9664,Mix7-7,
HMDB00220,Hexadecanoic acid (Palmitic acid),0.0465,0.3972,NA,Group1,
HMDB00232,Quinolinic acid,-0.01139,0.51278,0.9904,Mix4-7,
HMDB00243,Pyruvic acid,-0.06169,0.49831,NA,Mix1-6,
HMDB00254,Succinic acid,-0.08566,0.00311,0.92,Mix1_Mar2016,
HMDB00267,Pyroglutamic acid ,-0.0233,0.326,NA,Group1,
HMDB00291,Vanillylmandelic acid,0.0261,3.72069,0.9866,Mix5-7,
HMDB00355,3-Hydroxymethylglutaric acid,-0.00526,0.00041,0.89,Mix6_Mar2016,
HMDB00357,3-hydroxybutyric acid,0.03274,0.00339,0.86,Mix1_Mar2016,
HMDB00375,3-(3-Hydroxyphenyl)propanoic acid,0.2139,1.8111,NA,Group1,
HMDB00407,2-Hydroxyisovaleric Acid,0.2446,0.6984,NA,Mix1-1 (Oct09),
HMDB00423,"3,4-dihydroxy-Phenylpropanoic acid",-0.0412,5.3696,NA,Group2,
HMDB00439,2-Furoylglycine,-0.01296,2.26243,0.9931,Mix2-7,
HMDB00440,m-Hydroxyphenylacetic acid,-0.38007,0.01748,0.98,Mix7_Mar2016,
HMDB00448,Adipic acid,0.04581,2.9343,0.9907,Mix5-7,
HMDB00500,p-Hydroxybenzoic acid ,-0.52358,0.03044,0.98,Mix7_Mar2016,
HMDB00522,3-methylglutaconic acid,-0.05142,0.00492,0.88,Mix1_Mar2016,
HMDB00555,3-Methyladipic acid,0.02656,0.00185,0.8,Mix2_Mar2016,
HMDB00620,Glutaconic Acid,-0.0042,1.7173,NA,Mix1-1 (Oct09),
HMDB00622,Ethylmalonic acid,0.04271,3.15027,0.9926,Mix3-7,
