SeqIndex,HMDB_ID,Compound
1,HMDB00729,alpha-Hydroxyisobutyric acid-2TMS
2,HMDB00115,Glycolic acid-2TMS
3,HMDB00243,Pyruvic acid-1TMS
4,HMDB00190,L-Lactic acid
5,HMDB00161,Alanine
6,HMDB00123,Glycine
7,HMDB00883,Valine
8,HMDB00294,Urea
9,HMDB02142,Phosphoric acid
10,HMDB01844,2-Methylsuccinic acid-2TMS
11,HMDB00172,L-Isoleucine
12,HMDB00162,Proline
13,HMDB00254,Succinic acid
14,HMDB01488,Nicotinic acid
15,HMDB00300,Uracil
16,HMDB00187,Serine 
17,HMDB00167,L-Threonine
18,HMDB00134,Fumaric acid
19,HMDB00262,"Pyrimidine, 5-methyl (thymine)"
20,HMDB00744,Malic acid
21,HMDB00764,Hydrocinnamic acid
22,HMDB00191,Aspartic acid
23,HMDB00267,Pyroglutamic acid
24,HMDB00148,Glutamine
25,HMDB00020,p-Hydroxyphenylacetic acid-2TMS
26,HMDB00500,p-Hydroxybenzoic acid-2TMS
27,HMDB00508,Ribitol
28,HMDB02064,N-Acetylputrescine
29,HMDB00214,L-Ornithine
30,HMDB00209,Benzeneacetic acid
31,HMDB00143,Galactose
32,HMDB00122,D-Glucose
33,HMDB00182,Lysine
34,HMDB00220,Palmitic acid
35,HMDB00929,Tryptophan
36,HMDB01257,Spermidine
37,HMDB00211,Myoinositol
38,HMDB00197,1H-Indole-3-acetic acid
39,HMDB00827,Stearic acid
40,HMDB00215,N-Acetyl-D-glucosamine
