Serial_Number,SourceLib,HMDB_Number,Compound,name_short,Derivatized_compound_name,Parent_Mass_of_derivatized_compound,RT,RI,MZ,Intensity,Intercept,Slope,,
77,Organic Acid,,1H-Indole-3-acetic acid 1TMS,,,,28.208,1922.86,41 42 43.1 44.1 45.1 46 47 48.9 50 51.1 52.1 53.1 55 56.1 57.1 58.1 59 60 61.1 62 63 64.1 65.1 67 69.1 70.1 71.1 72.1 73.1 74.1 75.1 76.1 77.1 78 79 81.1 83 84.1 85.1 86.2 87 88 89 90.1 91.1 92.4 93.2 93.9 94.9 96 97 98 99.1 100 101.1 102.1 103.1 104.1 105 109.2 110 111 112.1 113 115 116.1 116.9 118 119 120 123.1 126 127.1 128.1 129.1 130.1 131.1 132.1 133 134.1 135 141 142.1 143.1 144.1 145 146 147 148 149 153.1 154.1 155.1 156 157.1 158.1 159.1 160 161.1 162.1 163.9 170.1 171 172.1 173 174.1 175.1 176.1 177 178 184.1 185 186.1 187.1 188.1 189.1 190.1 191 192.1 200.1 201.1 202.1 203.1 204.1 205.1 206.1 207 216 218.1 219 230.1 231.1 232.1 233.1 234.1 235.1 246.2 247.1 248.1 249.1 250.1 281.2 299.3,591 358 2063 4661 7605 488 3265 182 784 1898 881 313 849 401 1155 918 1032 567 2015 377 1098 401 550 316 691 430 996 1579 96592 9248 28272 4506 16224 1844 514 306 456 351 659 198 410 199 928 327 671 457 339 218 415 224 446 179 450 329 2949 10238 15247 1619 472 191 204 411 188 312 1030 10264 3034 352 540 164 163 215 501 8651 15634 319872 33344 2253 387 349 312 236 423 1062 2654 1476 617 885 323 245 191 305 303 898 2751 1686 494 1759 376 442 172 751 179 1689 453 724 263 1988 650 271 666 233 7449 2448 23704 4326 1531 365 180 592 398 9821 24608 14962 3087 825 776 235 571 179 178 754 34872 6383 1876 250 732 108000 22264 5978 816 196 563 ,NA,NA,NA,NA
78,Organic Acid,,1H-Indole-3-acetic acid 2TMS,,,,29.064,1975.83,41.1 42.1 43.1 44 45.1 46 47 51 52.1 52.9 55 56 57.1 58.1 59 59.9 61 67 69.1 70 71.1 72.1 73.1 74.1 75.1 76 77 78 79 81 82.1 83.1 84.1 85.1 86.1 87.2 89 91 92.9 94 95.1 95.9 97.1 99.1 101 102 103.1 104 105 105.8 107 109 110 111 112.2 113.1 115.1 116 117 118 119 120 122.9 125.1 126.2 127.1 128.1 129 130.1 131 132 133 134 135 137 139.1 140.1 141.1 142.1 143 144.1 145 146 147.1 148 149 150.1 152.1 153.1 154 155.1 156 157 158.1 159 160.1 161.1 165.1 169.1 170 171 172 173 174.1 175 177.1 182 183.1 184.1 185.1 186.1 187.1 188.1 189.1 191.1 193 198.1 199.1 200.1 201.1 202.1 203.1 204.1 205.1 206.1 207.1 208.1 214 215 216.1 217 218.1 221 229.2 230.2 231.1 232.1 233.1 234 244 245.2 246.1 247.2 248.1 249.1 253.1 258 259 260.1 261.1 262.1 274.2 275.2 276.2 277.2 278.1 281.1 290.1 291.1 302.2 304.2 305.2 306.1 307.2 318.2 319.2 320.2 321.2 322.2 323.1,532 271 2422 5236 9311 655 1238 349 162 235 698 372 1424 896 1567 239 540 362 830 601 1312 1316 90504 7775 11315 1111 1901 486 373 330 247 606 518 791 164 186 202 454 356 178 367 160 405 563 610 1522 1178 247 688 198 162 287 159 418 208 421 905 468 1396 380 631 247 151 212 185 408 1689 2748 7627 2031 585 1146 575 285 168 159 294 358 352 890 985 4762 1107 9278 1561 1021 203 2603 419 429 260 2018 760 501 902 1779 494 159 620 2149 543 2656 520 596 187 266 424 214 1101 837 7842 2862 1639 518 206 245 703 658 14789 5420 354944 67664 17960 2151 260 695 355 381 283 857 264 243 166 1180 1514 712 1001 300 179 504 295 298 1805 934 309 156 287 290 1397 356 282 315 1142 10971 2799 1138 273 577 175 164 18128 5079 1846 391 512 80168 22608 9068 1504 269 ,-0.00754,0.68563,0.9125,0.8688
65,Organic Acid,,2-Furoylglycine,,,,23.735,1665.75,40.1 41.1 42.1 43.1 44.1 45.1 46.1 47.1 48 49.1 50.1 51.1 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.1 60.1 61.1 62.1 63.1 64 65.1 66.1 67.1 68.1 69.3 69.9 71.1 72.1 73.1 74.1 75.1 76.1 77.1 78.1 79.1 80.1 81.1 82.1 83.6 84.9 86.1 87.1 88.1 89.1 91.1 92.1 93.1 94.1 95.1 96.1 97.1 98.1 99.1 100.1 101.1 102.1 103.1 104.1 105.1 106.1 107.1 108.1 109.1 110.1 111.1 112.1 113.1 114.1 115.1 116.1 117.1 118 119 120.1 121.1 122.1 123.1 124.1 125.1 126.1 127.1 128.1 129.1 130.1 131.1 132.1 133 134.1 135.1 136.1 137.1 138.1 139.1 140.1 141.1 142.1 143.1 144.1 145.1 146.1 147.1 148.1 149.1 150.1 151.1 152.1 153.1 154.1 155.1 156.1 157.1 158.1 159.1 160 161.1 162.1 163 164.1 165.1 166.1 167.1 168.1 169.1 170.1 171.1 172.1 173.1 174.1 175.1 175.9 177.1 178.1 179.1 180.1 181.1 182.1 183.1 184.1 185 186.1 187.1 188 189 190 191 192 193.1 194.1 196.1 197.1 198.1 199.1 200.1 201 202.1 203.1 204.1 205.1 206.1 207 208.1 209 210 211.1 212.1 213.1 214.1 217.1 219.1 220.2 221.1 222.1 223.1 224.2 226.1 227.1 228.1 229.1 230.1 231.2 233.1 235 236.1 238.2 239.1 241.1 242.1 243.1 244.1 245.2 249.1 251.1 252 253 259 266.1 267.1 268.1 270.1 271.1 281.1 282.1 283.1 285 295.1 296.1 297.1 298 299.1 299.9 313.1 314.1 315.1 316.1 325 327 341.2 342.1 355 415.1 429.2 591.2 592.3 593.3,8020 8600 9147 37176 28792 132160 9224 55168 2829 2252 1556 10531 4768 14055 4113 11156 13994 10663 35120 40928 13047 61176 4832 3958 2295 5686 18136 61032 14869 12535 12630 10122 58856 1523712 145344 471808 34856 39904 6388 15398 14076 50640 17200 142720 11080 25368 13889 32240 9579 49216 16040 11444 155392 2424832 168832 62168 17384 16036 15464 15521 44456 7781 4677 9213 14847 26512 33112 18064 15495 30936 73648 22848 8557 7851 28736 18544 6023 1654 4643 8535 9302 34264 242560 188224 31928 86152 22608 21240 32192 5756 4450 2129 1427 6143 3371 6577 16992 29072 24096 149440 229120 470912 65232 19760 4468 4656 1785 3480 3098 39352 49384 64344 92464 21296 24392 5465 6321 902 511 198 1111 683 5844 2738 20008 125744 612160 1097216 177920 51976 4811 722 261 180 266 473 9187 10212 279680 49872 191872 28304 9048 1422 507 373 239 353 176 404 248 471 1568 464704 428544 115320 23880 4388 416 245 216 256 290 409 1168 1142 341 1093 529 494 291 186 282 185 187 1947 615 1479 3073 1529856 241088 77840 8289 990 164 225 164 179 189 415 114384 21096 6373 908 152 150 291 170 294 185 217 298 256 749 232 873 275 306 241 361 918 381 572 351 174 152 995 403 175 161 309 547 189 267 280 223 242 178 170 ,-0.01296,2.26243,0.9945,0.9931
39,Organic Acid,,2-Hydroxy-2-methylbutyric acid,,,,11.789,1148.09,40.1 41.1 42.1 43.1 44.1 45.1 46.1 47.1 48 49 50 51.1 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.1 60.1 61.1 62 63 64.1 65.1 66.1 67.9 69.1 70.1 71.1 72.1 73.1 74.1 75.1 76.1 77 78.1 79.1 80 81.1 82.1 83.1 84.1 85.1 86.1 87.1 88.1 89 90 91 92 93 94.1 94.8 95.8 97.1 98.1 99.1 100.1 101.1 102.1 103 104 105.1 106 107.1 108.2 109.8 111 112.1 113.1 114.1 115.1 116.1 117.1 118.1 119 120.1 121.1 125 127.1 128.1 129.1 130.1 131.1 132.1 133.1 134.1 135.1 136.1 137.1 141 142.2 143.1 144.2 145.2 146.2 147.1 148.1 149.1 150.1 151.1 152.1 152.9 155.1 156.1 157.1 158.1 159.1 160 161.1 162.2 163.1 164.1 165.1 166.1 170 171 172.1 173.1 174.1 175.1 176.1 177 178 179 186 187 188.2 189.1 190.1 191.1 192.1 193.1 193.9 197 201.1 203.2 204.1 205.1 206 207.1 208 208.8 215.1 216 217.1 218.2 219.2 220.2 221.2 222.2 223.2 224.2 229 231.1 232.2 233.2 234.1 235.2 236.1 237 245.2 247.2 248.2 249.2 250.1 251.1 261.1 262.1 263.2 264.2 265 266.9 281.1 282 282.9 291 323.1 335.2 378.2 379.2 380.2,1170 19008 3305 64568 24600 122200 8597 25016 1007 1002 234 2184 5007 4346 2243 30768 5052 27304 15510 46280 6175 29304 1932 1213 223 1056 50232 688 16944 6698 7883 36440 1698816 151296 260096 16584 14095 976 911 607 19656 4879 11066 1857 6681 2339 9571 15136 5052 469 1018 247 558 6308 1603 276 1378 598 5666 1099 11554 36632 22592 2355 7033 779 828 4357 279 788 900 12208 2124 28016 16408 35928 5016 12391 1758 1027 353 2067 1499 50024 10384 78744 12521 148416 20728 14459 1248 566 395 694 20816 34912 3650048 499008 1997312 305664 179968 19376 6096 529 220 506 2941 67784 9165 5166 594 2603 483 41328 7482 3590 500 226 907 793 2638 920 8521 1307 1276 211 177 316 497 884 6280 20168 9093 2552 873 165 193 538 3084 849 2056 245 1537 237 195 615 279 4830 5986 609728 125400 57520 7542 1768 270 212 10039 2711 139008 29296 12793 1826 291 2254 195136 40856 19512 2876 739 273 254 949 239 303 245 1264 399 206 338 364 376 242 601 214 ,0.01071,1.96694,0.9899,0.9874
50,Organic Acid,,2-Methylsuccinic acid,,,,16.916,1337.82,40.1 41.1 42.1 43.1 44.1 45.1 46.1 47.1 48.1 49 51.1 52.1 53.1 55.1 56.1 57.1 58.1 59.1 60.1 61.1 62.1 63.1 64.1 65.2 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 74.1 75.1 76.1 77.1 78.1 79 81.1 82 83.1 84.1 85.1 86.1 87.1 88.1 89.1 90.1 91.1 92.1 93 94 95 96.1 97.1 98.1 99.1 100.1 101.1 102 103.1 104 105.1 106 107 108.1 108.9 111.1 112.1 113.1 114.1 115.1 116.1 117.1 118.1 119.1 120 121.1 123.1 125 126.1 127.1 128.1 129.1 130.1 131.1 132.1 133.1 134.1 135.1 136.1 136.9 139.1 140.1 141.1 142.1 143.1 144.1 145.1 147.1 148.1 149.1 150.1 151.1 152 153 155.1 156.1 157.1 158.1 159.1 160.1 161.1 162.2 163.1 164.1 165.1 166 167 167.9 169 170.1 171.1 172.1 173.1 174.1 175.1 176.1 177.1 178.1 179 183 185.2 186.1 187.1 188.1 189.1 190.1 191.1 192.1 193.1 194.1 199 201.1 202.1 203.2 204.1 205.1 206.2 207.1 208.2 209.1 214.2 215.2 217.2 218.2 219.2 220.2 221.2 222.1 223.2 229.1 230 231.2 232.2 233.2 234.2 235.2 236.1 244 245.1 246.1 247.2 249.1 253 258.1 259.1 261.2 262.2 263.2 264.2 265.2 266.1 275.2 276.2 277.2 278.2 279.1 281 282.1 335 349.3 350.3 351.2 423.3 424.4 425.3,4386 63928 25776 44168 34944 172992 11904 59672 2814 2016 2995 4384 3618 345920 16207 15509 34352 53648 12525 49336 3367 1906 236 753 15975 4372 10440 279360 123152 21464 94672 2066432 195968 565184 39456 24096 1267 660 635 714 4458 2146 20896 13409 9876 6415 10953 1441 1967 276 531 150 1151 13104 11254 6319 53840 8738 17520 6322 15097 2465 8548 760 945 153 256 1622 1033 10985 2545 31984 30192 105064 12836 15231 1803 993 148544 2597 508 28200 6344 193408 39000 98224 21576 208960 28936 18992 2080 583 217 359 1607 27088 283328 43816 55528 6396416 1191936 671168 68832 18984 1285 389 688 1206 31640 100616 76536 13076 4621 7800 10207 2272 1055 2455 309 301 525 28528 17680 3210 4628 819 25848 4209 4274 464 384 218 3355 359936 186240 37640 26248 55584 26640 7511 2189 264 330 6055 1264 8098 212032 40680 18024 3537 558 319 180 1610 1020928 209600 90120 11856 2872 486 215 154 327 18904 348416 76408 30952 4158 669 208 3542 622 392 231 283 1622 1290 1540096 333120 145792 20248 3805 358 636 17768 4285 1568 271 445 202 252 2547 819 293 2208 925 464 ,0.04227,2.94118,0.9817,0.9756
93,Saliva,NA,2-Methylsuccinic acid-2TMS,NA,2-Methylsuccinic acid-2TMS,NA,,1265,41.05 42.05 43.05 44.05 45.05 47.05 55.05 59.05 61.05 69.05 73.05 74.05 75.05 81 82 83.1 84.1 85.1 86.1 87 88 89 90.1 91 93 95 96 97 98.1 99 100.1 101 102 103 103.9 105 106 107 111 112.1 113 114 115 116 117 118 119 120 120.9 123 125.05 127.05 129.05 130.05 131.05 132.05 133.05 134.05 135.05 136.05 143.05 144.05 145.05 147.05 148.05 149.05 150.05 151.05 155.05 157.05 158.05 159.05 160.05 161.05 161.95 163.05 170 171.1 172 173 175 175.9 176.9 186.1 187 188 189 190 191 192 193.1 201.1 203 204.1 205.1 206.1 217.05 218.05 219.15 220.05 232.15 233.15 234.05 261.1 262.1 263.1 264 265 276.1 277,100792 36816 86920 38368 257088 97400 116816 46944 40056 96888 555264 61136 346944 241 338 3443 1363 10311 3776 4317 2341 4619 566 628 210 382 1869 3611 2169 26216 4221 8041 2179 4843 878 2322 295 283 756 215 2154 526 6652 4105 10933 1474 2619 254 189 3407 1088 2770 37920 5490 11507 2149 24392 3408 2278 283 64208 8638 5714 480128 79416 47800 4697 1461 195 3809 7120 5029 1045 307 584 584 1213 2431 453 521 1620 207 285 13021 8789 1590 1178 2659 1120 374 214 295 604 7388 1316 503 37248 7775 3369 419 11230 2178 932 44032 9927 4174 735 220 253 155 ,,,,
41,Organic Acid,,3-hydroxybutyric acid,,,,12.586,1173.34,41.1 42.1 43.1 44.1 45.1 46 47.1 48.1 49 50.1 51 52 53 54.1 55.1 56.1 57.1 58.1 59.1 60.1 61.1 62 63.1 65.2 66.1 68.1 69.1 70.1 71.1 72.1 73.1 74.1 75.1 76.1 77.1 78 79 80 81 82.1 83.1 84.1 85.1 86 87.1 88.1 91.1 92.1 92.9 93.9 95 95.9 97.1 98 99.1 100.1 101.1 102.1 103 104 105 106 107 107.9 109.1 111.1 111.9 113 114.1 115.1 116.1 117.1 118.1 119.1 120.1 121.1 125.1 126.1 127 127.9 129.1 130.1 131.1 132.1 133.1 134.1 135.1 136.1 137 141.1 142.1 143.1 144 145.1 147.1 148.1 149.1 150.1 151.1 152.1 153 155.1 156.2 157.1 158.1 159.1 160 161.1 162.1 163.1 164.1 165.1 169.1 173.1 174.1 175.1 176 177 178 183.1 184 185 185.9 186.9 188.1 189.1 190.1 191.1 192.1 193.1 194.1 195.1 201.1 203.1 204.1 205.1 206.1 207.1 208 208.9 215.1 216.2 217.1 218.1 219 220.1 221.1 222.1 223 226.1 230 231.1 233.2 234.2 235.1 236.1 237.2 246.2 247.2 248.2 249 250.1 261.1 263.2 265 267.1 281.1 282 283.1 297.1 321.2 323.2,12629 6042 24632 16329 69680 4899 23200 1143 775 238 1747 3358 1134 513 5796 2575 5739 12659 36440 5745 16704 1237 860 728 77800 3426 18464 4590 6241 33504 708800 65112 183744 12983 9595 1109 672 1382 1351 242 881 1379 5170 1227 8838 191488 2389 305 618 282 517 231 476 1072 10873 2266 41032 6172 10075 1626 5395 783 548 170 11601 457 171 2192 1973 75664 17784 814464 87608 38080 2775 577 306 283 470 483 5840 147968 70552 14274 104648 14741 8496 906 257 465 3133 28432 3738 3509 1753088 282112 156032 15731 4630 340 246 246 207 5092 4412 2021 747 2274 2754 5431 1058 537 217 1587 1732 4914 947 1178 154 1588 163 212 167 325 1449 76072 18304 692672 126528 59696 6977 1421 278 2595 61296 12124 5306 2460 465 305 599 226 14677 3016 1507 203 1450 322 292 160 164 5711 257984 53336 24448 3167 684 241 4867 1789 867 284 370 467 374 166 2061 572 433 172 151 203 ,0.00736,1.41033,0.935,0.9188
43,Organic Acid,,3-Hydroxyisovaleric acid,,,,13.947,1220.14,41 42.1 43 44 45.1 45.9 47 49 50.9 52 53 54 55.1 56.1 57 58.1 59.1 60.1 61 63.1 66 67 69.1 69.9 71.1 72.1 73.1 74.1 75.1 76.1 77.1 78.1 78.9 81 82 83.1 83.9 85 86 87.1 88 92.9 95.1 99 100.2 101 102 103.1 104 104.9 113.1 114.1 115.1 116.1 117.1 117.9 119 120 128 129.1 130.2 131.1 132.1 133.1 134 135 142 143.1 144.1 145 146.2 147.1 148.1 149.1 150.1 151 156 157.1 158 159.1 163.1 164.1 170.1 171.1 172.2 173 175.1 177 188 189.1 190 191.1 192 193 203.1 204.2 205.1 206.1 207.1 208.1 221.2 231.1 232.1 233 245.1 247.2 248.1 249.1 250.1 281 284.1 299.1,1238 675 2447 2222 4148 326 1692 182 168 224 249 180 1551 1033 1066 1210 1359 279 1212 174 1109 259 621 396 481 2018 49176 4634 15547 1136 2102 517 217 421 356 1451 193 1272 293 908 211 250 8941 439 277 608 175 726 155 276 700 233 7723 1451 3296 500 474 244 217 785 636 71976 8491 6450 731 355 333 666 167 214 360 78576 12070 7367 812 380 409 1461 226 201 1209 346 366 181 519 220 305 170 231 2054 643 1565 445 202 2192 4524 6374 1245 1078 201 291 1447 247 195 211 14265 3221 1534 191 206 321 485 ,-0.00105,0.26803,0.9877,0.9847
55,Organic Acid,,3-Hydroxymethylglutaric acid,,,,20.308,1489.24,40.1 41.1 42.1 43.1 44.1 45.1 46.1 47.1 48 49 50 51 52 53.1 54.1 55.1 56.1 57.1 58.1 59.1 60.1 61.1 62.1 63.1 64.1 65 66 67.1 68.1 69.1 70.1 71.1 72.1 73.1 74.1 75.1 76.1 77.1 78.1 79 80 81.1 82.1 83.1 84.1 85.1 86.1 87.1 88.1 89.1 90.1 91.1 92.1 93 94 95 96.1 97 98.1 99.1 100.1 101 102 103 104.1 105.1 106 107 108.1 109.1 110.1 111.1 112.1 113.1 114.1 115.1 116.1 117.1 118.1 119.1 120 121 123 125.1 126.1 127.1 128.1 129.1 130.1 131.1 132.1 133.1 134.1 135 136.1 137.1 138 139 140.1 141 142.1 143 144 145.1 146.2 147.1 148.1 149.1 150.1 151 152 153 154 155.1 156.1 157.1 158.1 159.1 160.1 161.1 162.1 163.1 164.1 165.1 166 167.1 170.1 171.1 172.1 173.1 174.2 175.1 176.1 177.1 178.1 179.1 180.1 181.1 183.1 184.1 185.1 186 187.1 188.1 189.1 190.1 191.1 192.1 193 194.2 198.1 199.1 200.1 201.1 202.1 203.1 204.1 205.1 206.1 207.1 208.1 209.1 213.1 215.1 216.1 217.1 218.1 219.2 220.1 221 227.1 228.2 229.2 230.2 231.1 232.1 233.1 234.1 235.1 241.2 242.1 243.1 244.2 245.1 246.2 247.2 248.1 249.1 250.1 251.1 257.1 258.1 259.1 260 261.1 262.1 271.1 272.2 273.2 274.2 275.2 276.1 277.2 281 287.1 288.2 289.2 291.2 292.2 293.1 294 295.1 307.1 321.1 363.2 364.2,1695 6410 16243 135808 20928 80936 5859 42408 2081 1682 498 844 775 4848 2680 34952 3840 8827 14853 20584 7724 34136 2460 1677 178 464 2118 3641 752 8505 4459 6373 58152 703104 77144 676736 50016 41520 2156 1396 521 3583 27688 26280 7419 600704 28312 7193 8831 10145 3766 33192 3217 2773 382 952 890 4379 1655 15720 2554 20784 2953 4201 662 2033 323 429 2431 81808 5548 33584 5249 29920 7065 575936 102376 561024 54824 25392 1686 468 161 1896 1824 7378 2238 8467 3084 32848 14491 43976 6437 4859 540 311 352 2446 541 4765 5500 12341 1947 5265 2697 482816 78432 69656 8586 4201 346 272 288 9814 4673 40736 7197 211712 24248 10162 3605 4508 990 1788 259 268 25552 9747 4929 4730 10081 973248 127736 44696 3775 554 192 175 133376 19024 9978 1091 1344 2096 14333 3017 5402 886 637 212 70760 221056 37240 412416 58104 25000 68232 13915 5852 3936 930 693 217 1767 1155 1856 513 217 155 505 162 188 29032 7296 64480 12695 10767 1934 533 501 184 733 6270 2297 839 20720 4194 5438 855 360 2145 514 504 190 322 169 304 936 252480 58496 25448 3784 880 263 236 1673 665 32048 6808 3332 404 183 682 205 820 184 ,-0.02363,1.66511,0.992,0.99
58,Organic Acid,,3-Methyladipic acid,,,,21.455,1547.32,40.1 41.1 42.1 43.1 44.1 45.1 46.1 47.1 48.1 49.1 50.1 51.1 52.1 53.1 54.2 55.1 56.1 57.1 58.1 59.1 60.1 61.1 62.1 63.1 64.1 65.1 66.2 67.1 68.2 69.1 70.1 71.1 72.1 73.1 74.1 75.1 76.1 77.1 78.1 79.1 80.1 81.1 82.1 83.1 84.1 85.1 86.1 87.1 88.1 89.1 90.1 91.1 92.1 93.1 94.1 95.1 96.1 97.1 98.1 99.1 100.1 101.1 102 103.1 104.1 105.1 106 107.1 108.1 109.1 110.1 111.1 112.1 113.1 114.1 115.1 116.1 117.1 118.1 119.1 120.1 121 122.1 123.1 124.2 125.1 126.1 127.1 128.2 129.1 130.1 131.1 132.1 133.1 134.1 135.1 136.1 137.1 139.1 140.1 141.1 142.2 143.1 144.1 145.1 146.2 147.1 148.1 149.1 150.1 151.1 152.1 153.1 155.1 156.1 157.1 158.1 159.1 160.1 161.1 162.1 163.1 164.1 165.2 166 167.1 168.1 169.2 170.1 171.1 172.1 173.2 174.2 175.2 176.1 177.1 178 179 179.9 181.1 182.2 183.2 184 185.2 186.2 187.2 188.2 189.1 190.1 191.1 192.1 193.1 194.2 195.1 196.2 197.1 198.2 199.1 200.1 201.1 202.2 203.2 204.2 205.2 206.1 207.1 208.1 209.1 211.3 212 213.2 214.2 215.2 216.2 217.2 218.2 219.2 220.2 221.1 222.2 223.1 225.2 227 228.2 229.2 230.2 231.2 232.2 233.2 234.2 235.1 243.2 244.2 245.2 246.2 247.2 248.2 249.1 252.9 257.2 258.2 259.2 260.1 261.2 262.2 263.2 264.2 271.2 272.2 273.2 274.1 275.1 276.1 277.2 278.2 281.1 285.1 287.2 289.2 290.2 291.2 292.2 293.2 294.1 295.1 299 303.2 304.2 305.2 306.3 307.2 363.2 377.3 378.3 379.3 380.2 451.3 452.4 459.3 460.3,2910 54024 15802 47760 27152 136128 9407 61624 3027 2089 417 1221 1666 11779 8267 301952 33840 14996 33592 53600 15541 78352 5480 3543 317 2223 4301 15131 14474 634752 53000 13222 85376 2015744 199808 1174528 83424 54504 3047 21616 4469 96640 41512 199680 12699 32064 25728 12532 13414 23312 4590 8206 1024 1676 849 18368 30272 480640 36112 55168 9336 37824 8354 15811 1943 5090 763 8579 1119 17168 1544 11488 13504 77232 11803 27816 100544 739904 75376 39912 2867 1544 629 8270 29808 2355200 187392 28368 15604 506112 86112 91024 57112 182784 26688 18712 2509 99264 9234 1305 5560 85264 204032 43360 120408 23408 1545216 244032 314560 39528 19048 3564 5878 1326592 215360 231104 44616 136768 103056 18576 9730 6235 1238 929 362 991 10988 29128 18016 207232 102208 1324544 183552 64120 6119 2223 391 519 225 1741 414 1773 1129 24264 789184 134080 39824 20000 11250 7828 1691 1010 172 378 549 7380 3632 416512 62648 22512 2634 13076 504384 108008 42872 7034 1259 251 185 433 9423 63240 75984 15133 311360 93224 33544 6494 1464 220 173 161 363 347 22696 5058 147968 59344 19232 4429 756 20560 8055 116432 25992 13004 2191 628 211 248 182 1437 695 45632 10478 4279 668 5385 1437 1384 348 1757 1720 422 166 214 246 1115 1534976 362240 152256 24224 4180 446 173 272 2254 8293 5641 1621 574 362 5863 2271 763 182 736 192 587 307 ,0.05817,3.61448,0.9706,0.9633
