SeqIndex,HMDB_ID,Compound,Intercept,Slope,rsq,adjrsq,Src,RT,RI
1,HMDB00023,3-hydroxyisobutyric,NA,NA,NA,NA,Apr1116,9.61,1070.66
2,HMDB00190,Lactic acid,0.009512228,0.611970957,0.862,0.8528,Apr1116,9.44,1075
3,HMDB00729,alpha-Hydroxylsobutyric acid,NA,NA,NA,NA,Apr1116_Old,9.53,1090
4,HMDB00005,2-oxobutanoic acid,-0.023848951,0.27212307,0.6587,0.6277,Apr1116,10.92,1115.27
5,HMDB00019,2-oxoisovaleric,-0.004315936,0.123258385,0.9727,0.97,Apr1116,11.23,1126.05
6,HMDB00008,2-hydroxybutyric,-0.001083922,0.210535835,0.8949,0.8861,Apr1116,11.72,1141.73
7,HMDB00060,acetoacetic ,NA,NA,NA,NA,Apr1116,11.91,1148.8
8,HMDB01987,2-Hydroxy-2-methylbutyric acid,0.017912108,0.31657055,0.7679,0.7215,Apr1116,11.79,1149
9,HMDB02329,oxalic,0.000203218,0.012690517,0.9693,0.9642,Apr1116,11.9,1149.02
10,HMDB01877,valproic,0.007702349,0.045652724,0.7472,0.6967,Apr1116,12.29,1161.36
11,HMDB00357,3-hydroxybutyric acid,-0.003711077,2.804099103,0.9886,0.9848,Apr1116_Old,12.59,1173.34
12,HMDB00407,2-Hydroxyisovaleric Acid,-0.020228508,1.754788177,0.9814,0.98,Apr1116,12.82,1178.6
13,HMDB01865,2-oxovaleric,NA,NA,NA,NA,Apr1116,13.16,1189.07
14,HMDB00491,2-oxo-3-methylvaleric,NA,NA,NA,NA,Apr1116,13.27,1192.3
15,HMDB00354,3-hydroxy-2-methylbutyric,-0.001159021,0.157834947,0.9772,0.9757,Apr1116,13.75,1209.5
16,HMDB00691,Malonic acid,0.005329778,0.073532462,0.9083,0.8952,Apr1116,13.85,1216.28
17,HMDB00754,3-Hydroxyisovaleric acid,-0.002012443,0.686902053,0.9892,0.9865,Apr1116_Old,13.95,1220.14
18,HMDB00202,Methylmalonic acid,0.010698426,0.803484346,0.964,0.955,Apr1116_Old,14.16,1228.29
19,HMDB00396,2-ethyl-3-hydroxypropionic,0.001739634,0.846003152,0.9785,0.9771,Apr1116,14.62,1244.02
20,HMDB01870,Benzoic acid,0.023341646,0.350954019,0.944,0.9347,Apr1116,14.74,1251.25
21,HMDB00317,2-hydroxy-3-methylvaleric,0.011149972,1.039845538,0.9634,0.9601,Apr1116,14.95,1256.2
22,HMDB00622,Ethylmalonic acid,0.00934042,2.979029203,0.9973,0.9967,Apr1116_Old,15.82,1292.14
23,HMDB00209,phenylacetic  acid,-0.015247698,2.359322569,0.9938,0.9923,Apr1116_Old,16.07,1313.26
24,HMDB00176,maleic,-0.077935927,1.23726462,0.8671,0.8569,Apr1116,16.5,1316.17
25,HMDB00254,Succinic acid,-0.017333643,0.493503254,0.9749,0.9686,Apr1116_Old,16.6,1323.54
26,HMDB01844,2-Methylsuccinic acid,0.00496234,0.486652325,0.8065,0.7926,Apr1116,16.92,1337.82
27,HMDB00139,glyceric,-0.002642204,0.018260791,0.994,0.9928,Apr1116,17.27,1349.65
28,HMDB00300,uracil,-0.011918978,0.38896536,0.908,0.8988,Apr1116,17.33,1352.1
29,HMDB00134,Fumaric Acid,0.110195626,7.971852221,0.9767,0.9749,Apr1116,17.28,1360.21
30,HMDB00634,Methylmaleic acid (citraconic acid),-0.019181427,0.71742087,0.8767,0.8679,Apr1116,17.53,1364.09
31,HMDB00525,5-hydroxyhexanoic,0.009173163,0.964696203,0.8959,0.8873,Apr1116,17.73,1369.57
32,HMDB00783,Propionylglycine,-0.016035049,0.288970335,0.8965,0.8879,Apr1116,17.78,1371.16
33,HMDB02453,4-Deoxythreonate,NA,NA,NA,NA,Apr1116,17.76,1373.8
34,HMDB06024,Mevalonolactone,-0.003915821,0.114684181,0.9549,0.9484,Apr1116,17.88,1375.92
35,HMDB00661,Glutaric acid,-0.017301803,0.859606958,0.9902,0.9895,Apr1116,18.69,1414.04
