"hmdbID"	"CompoundWithTMS"	"RT_min"	"RT"	"RI"	"Intensity"	"MatchFactor"	"RI.Similarity"	"Corr.Spearman"	"matchMZrate"	"matchMZnum"	"sampleMZnum"	"TScore"	"Area"	"RT.start"	"RT.end"	"peakType"	"mz"	"mzInt"
"HMDB00190"	"L-Lactic acid"	"9.751"	"585.055"	"1086.453"	"476135"	"220.454"	"91.18"	"38.16"	"67.63"	"94"	"106"	"58.66"	"17703859"	"9.706"	"9.795"	"NORMAL"	"41.1,42.1,43,44,45,46,47,48,49,50,51,52,53,54,55,56.1,57,58,59,60,61,61.9,63,63.9,64.9,66.1,67,68,69,70.1,71.1,72,73.1,74.1,75,76,77,78,79,80,81,82,83.1,83.9,85.1,86.1,87,87.9,89,91,92,92.9,94.1,94.9,96,96.8,98,100,101,101.9,103,103.9,105.1,106.1,107,110,114.1,114.9,116.1,117,117.9,118.9,126,127,128.2,130.1,131.1,132,133,133.9,135,144,144.9,146,147,147.9,148.9,152,160,174.1,175,176,176.9,183.9,186.9,189.1,190,191.1,192.9,199.1,207,208,209,221,281,295.1"	"1409,2845,3515,15964,8636,874,3924,510,2270,9942,13203,30184,4000,592,935,3426,1283,13406,7979,1304,2232,382,665,513,443,250,444,170,3934,3595,1150,10933,66616,6214,14712,1979,5707,8229,47112,3290,325,155,166,522,192,3203,755,323,952,1191,394,1391,201,426,603,257,190,7400,725,903,467,188,161,224,316,200,194,316,876,1753,420,330,671,2100,657,40880,4892,1637,357,635,234,937,208,1022,2178,363,243,311,150,56320,7524,2726,316,372,215,11696,1847,917,214,425,3147,915,387,253,641,192"
"HMDB00190"	"L-Lactic acid"	"9.853"	"591.162"	"1088.97"	"287597"	"175.9"	"95.06"	"23.49"	"68.35"	"95"	"125"	"58.46"	"62574924"	"9.662"	"10.044"	"SKEWED"	"41,42,43,44,45,46,47,47.9,49,50,51,52,53,54,55,56,57,58,59.1,59.9,61,62.1,63,63.8,65,66.1,67,69,69.8,71.1,72,73,74,75,76,77,78,79,80,81,81.9,84,84.9,86,86.9,88,88.9,91,92,93,94,94.9,96,97,99.9,102,103,104.1,104.9,105.9,106.8,109.1,110,115,117,117.9,118.9,126,126.9,128,129,130,131,131.9,133,133.9,135,140,142.9,145.9,147.1,148,149,151.9,153.9,162.8,167.9,174.1,175,175.9,176.9,177.8,178.9,184.1,189.1,190,191,191.9,193,199,203,205.1,207,208,209,209.9,210.9,218.8,220.9,247,247.9,249,263,264.9,265.9,266.8,279,280.1,281,282,295.1,296.1,297,298,341"	"1155,1023,1155,9570,2776,454,1489,400,2197,9185,11811,27232,3253,390,517,1323,753,11025,2031,447,423,176,469,336,390,350,436,3940,543,340,1040,21888,2515,8156,1232,5794,7318,41560,2304,353,165,203,322,339,205,272,723,499,359,1257,210,477,594,446,340,174,268,273,262,298,173,169,214,303,890,225,545,514,1903,243,207,1915,639,239,1204,721,323,399,152,572,3002,587,360,342,159,208,193,1950,354,194,551,275,227,323,1228,399,2989,408,904,350,204,283,34312,6836,4620,812,237,185,242,610,187,238,452,406,152,220,964,305,786,259,8313,2910,1529,297,163"
"HMDB00190"	"L-Lactic acid"	"9.974"	"598.415"	"1091.925"	"1122115"	"765.781"	"99.58"	"87.31"	"82.73"	"115"	"122"	"84.26"	"51083478"	"9.897"	"10.044"	"NORMAL"	"41,42.1,43,44,45,46,47,48,49,50,51,52.1,53,54,55,56,57.1,58,59.1,60,61,62,62.9,64,65,66,67.9,69,70,71,72.1,73.1,74.1,75,76.1,77,78,79,80,81,82.9,84,85,86,86.9,88.1,89,89.9,91,92,92.9,94.2,94.9,95.8,96.2,97,99,100,101,102,103,104,104.9,105.9,106.9,108,110.1,113.1,114.1,115,117.1,118.1,119,120,120.9,126.1,127,128,129,130,131,132,133,134,135,135.9,144.9,147,148,149,150,150.9,152.2,153.9,158.9,161,163,174,175,175.9,176.9,183.9,190,191.1,192.1,193,194,203,203.9,205.1,207,207.9,209,217.1,219.1,220.1,221,222.1,281.1,282.1,307,308.9"	"1841,1529,11301,14898,27504,2155,6290,563,2047,9437,13318,30560,3782,502,5280,1742,2442,15930,12720,1896,3559,454,893,406,545,20064,277,4425,1547,1780,7459,185024,17728,32680,3128,6624,8359,43712,2719,540,250,398,659,839,3184,11906,2503,351,497,397,1468,706,798,437,419,408,452,2188,5003,3953,2632,646,1036,480,388,225,290,360,160,2718,152384,16045,7044,726,182,658,2111,221,2751,1386,8737,1765,14866,2393,1583,199,187,179712,28544,15587,1716,525,191,178,342,172,235,762,1683,313,326,262,37224,43272,9848,3816,511,1617,388,364,2498,554,404,261,17008,3168,2087,238,747,224,215,286"
"HMDB00190"	"L-Lactic acid"	"10.12"	"607.195"	"1095.455"	"224109"	"256.648"	"95.05"	"33.34"	"69.78"	"97"	"112"	"61.6"	"48763429"	"9.929"	"10.311"	"SKEWED"	"41,42,43,44,45,45.9,47,47.9,49,50,51,52,53.1,54,55,56.1,57.1,58,59.1,60,61,62,63,63.9,64.9,65.9,67,68,69,70,71.1,73,74.1,75,76.1,77,78.1,79,80,81,83.1,84.2,86,87,87.9,88.9,91.2,92.1,93,93.9,94.9,95.9,97,98.1,100,101,102,102.9,104.1,105,105.8,106.9,108,112.9,114.9,115.9,117,118.1,118.9,126,127,128.9,130,130.9,132.1,133,134,135,144.9,146.1,147,147.9,148.9,151.9,173.1,174,175,175.9,177,188,189,190,191,192.1,193,203.9,205,207,207.9,208.8,218.9,220.1,221.1,222.1,223,261,262.1,263.1,264,265.2,277.1,281"	"1101,683,1228,10032,2324,500,1752,398,1943,9118,12008,27896,3310,372,803,854,678,10757,1573,384,450,277,437,407,328,365,408,167,3744,416,360,10324,2422,9810,1576,5176,8122,40232,2627,536,271,229,266,316,284,338,322,233,1253,201,700,572,276,202,761,339,182,587,222,287,211,211,205,243,337,344,2208,374,560,632,2043,182,621,795,851,656,427,201,188,462,4482,650,446,163,2325,3830,730,350,193,307,242,779,894,215,216,472,216,2023,595,273,152,1798,2293,616,311,473,1994,331,226,187,158,606"
"HMDB00190"	"L-Lactic acid"	"10.171"	"610.249"	"1096.671"	"192024"	"195.581"	"93.21"	"21.54"	"59.71"	"83"	"94"	"54.37"	"41780294"	"9.98"	"10.362"	"SKEWED"	"41.1,42,42.9,44,45,45.9,47,48,49,50,51,52,53,54,55,55.9,57,58,59.1,60,61,62.9,64,64.9,66.1,67,69,69.8,70.9,71.9,73.1,74.1,75,76,77,78,79,80,81,83.8,86.1,89,91,92,93,95,96,96.9,99,100.1,101,102.1,103,104,105.9,107.9,110,113,116,117,118,118.9,126,127,127.9,129,130,131.1,131.9,133,134,134.8,146,147,148,149,151.9,153.9,173,174,176.8,189,190,191,193,205,207,207.9,209,219.9,221,262.1,281,282.1"	"1280,790,1007,10156,1675,368,1362,319,1686,9285,12795,26400,3087,423,691,932,627,10982,955,180,404,456,397,203,360,390,3970,325,209,424,5472,1063,8502,1591,5278,7568,40904,2656,465,196,156,362,480,345,1003,396,453,267,165,307,267,153,267,191,272,226,152,184,179,1517,205,377,659,2259,189,200,506,448,308,394,294,205,510,2895,550,339,190,169,1113,613,201,188,167,530,194,166,2649,505,268,181,438,164,560,162"
"HMDB00190"	"L-Lactic acid"	"10.19"	"611.394"	"1097.125"	"186928"	"196.04"	"92.52"	"15.05"	"58.99"	"82"	"90"	"53.88"	"40671514"	"9.999"	"10.381"	"SKEWED"	"41,42,43.1,44,45,46.1,47,47.8,49,50,51,52,53.1,54,54.9,56,57,58,59,60,61.1,62.1,63,63.9,65,65.9,67,69,70,71.1,71.9,73,74.1,75.1,76.1,77,78,79,80,81,83.9,85,86,88.1,89.1,91,92,93,93.9,95,96.1,96.9,100.1,101,102,103,105,105.9,108,113,115,115.9,117,118,118.9,126.1,127,128,128.9,130.1,131,132,132.9,134.2,145.9,147.1,148,149,173,174,175.1,190,191.1,192.8,207,207.9,208.9,221,248.7,281.1"	"1184,604,1079,10154,1658,313,1679,278,1823,9028,13017,27720,3026,410,567,969,669,10139,1234,263,264,201,485,340,356,363,311,3662,317,243,299,4223,959,7278,1596,4683,7633,40712,2600,308,297,193,177,191,464,379,375,1226,220,502,364,193,453,218,153,256,225,241,156,246,237,286,1128,218,184,644,2129,176,248,453,455,302,483,261,337,2761,695,492,674,361,179,281,637,193,2192,438,328,283,202,448"
"HMDB00190"	"L-Lactic acid"	"10.215"	"612.921"	"1097.729"	"185411"	"177.285"	"91.61"	"29.43"	"56.83"	"79"	"89"	"52.06"	"40341447"	"10.024"	"10.406"	"SKEWED"	"41.1,42.1,43,44,45,46,47,47.9,49,50,51.1,52.1,53,53.9,55.1,56,57.1,58,59,60.1,60.9,62,63.1,63.9,65,66,67,68,69,70,71.1,72,73,74,75,76,77,78,79,80,81,84.1,89,91,92.1,92.9,94.9,95.7,96.2,96.9,98.9,99.8,101,101.9,103.2,104.1,105.9,107,108,113,115,115.9,117,119.1,126,127,127.9,130,131,133,134,135,146.1,147,147.9,149.1,173,173.7,174.1,183.9,190,191.1,200.9,207,208,209,221.2,281,281.9"	"1118,650,1091,9581,1575,365,1446,304,1776,9103,11552,27816,3223,375,580,875,590,11237,1263,166,379,192,486,410,419,392,466,274,3949,297,245,313,4055,809,7260,1396,4763,7631,40888,2649,367,214,373,451,340,1115,589,255,283,304,166,305,159,191,253,232,413,217,152,223,207,339,820,178,810,2245,213,442,236,573,349,281,366,2866,459,467,298,214,205,154,221,533,167,2223,510,277,324,637,178"
"HMDB00115"	"Glycolic acid (2TMS)"	"10.33"	"619.792"	"1100.692"	"182135"	"194.78"	"95.9"	"33.15"	"54.55"	"78"	"92"	"52.3"	"39628660"	"10.139"	"10.521"	"SKEWED"	"41,42,42.9,44,45,45.9,47,47.9,49,50,51,52,53,54,55,56,56.9,58,59,60,61,61.9,62.9,63.9,65,65.9,67.1,68.1,69,70,71,72,73,73.9,75,76,77,78.1,79.1,80,80.9,82,83.9,85.9,89,90,91.1,91.9,93,94.8,96,96.9,97.9,98.9,100,100.9,101.9,103,105.9,112.1,112.8,114.9,116,116.9,119.1,126,127,127.9,129.9,130.9,133.1,133.9,134.9,146.1,147,148.1,149.1,163,172.2,176.8,190.8,192.9,200,201.1,207,208.1,208.9,215.1,220.9,266.8,281,282.9"	"1290,672,1135,10050,1600,299,1082,292,1980,8460,11816,27376,2980,296,534,824,571,10660,1104,256,393,197,444,464,344,374,342,223,3811,239,275,367,3778,927,6451,1412,4687,7098,41680,2767,327,219,216,151,387,187,270,241,1139,503,352,200,157,174,336,175,184,233,417,167,203,239,819,579,212,821,1995,217,404,316,398,299,204,374,2692,428,346,150,207,171,295,214,449,181,2336,373,351,165,183,160,549,168"
"HMDB00115"	"Glycolic acid (2TMS)"	"10.387"	"623.227"	"1102.842"	"182672"	"208.155"	"99.16"	"32.44"	"54.55"	"78"	"86"	"53.35"	"39747235"	"10.196"	"10.578"	"SKEWED"	"41,42,43.1,44,45,46.1,46.9,47.9,49,50,51,52,53,54,55,55.9,57,58,59,59.9,61,61.9,62.9,64,64.9,66,67,69,70.1,73,74.1,75,75.9,77,78,79,80,80.9,82,85.1,86.8,88.1,88.9,91,92,93,93.9,95.1,96,96.9,100.1,101.1,103.1,104.9,106.1,107.9,113,116,117,118,126,127,128,129,130,131,133,134,134.9,146,147.1,148.1,149,174.1,177,190,190.9,193,201,205,207.1,208,208.9,221.1,281.1,281.9"	"1147,705,906,9700,1609,284,1372,396,1954,8957,12108,26880,3113,325,458,607,684,10401,1100,314,286,241,443,343,198,465,360,4092,388,4641,989,6717,1312,4620,7846,40000,2649,301,167,156,162,201,326,443,371,1365,195,554,375,286,375,226,256,161,260,192,264,1434,585,242,605,1988,221,174,338,250,604,316,180,357,3280,547,522,229,253,168,576,199,159,294,2119,458,278,264,540,202"
"HMDB00115"	"Glycolic acid (2TMS)"	"10.432"	"625.899"	"1104.507"	"194638"	"249.523"	"98.33"	"42.77"	"60.84"	"87"	"97"	"57.57"	"42349044"	"10.241"	"10.623"	"SKEWED"	"41,42.1,43,44,45,46,47,48,49,50,51,52,53,54,55,56.1,56.9,58,59,59.9,61.1,61.9,63,63.9,65,66,67.1,68,69,70.2,71,72,73,74,75,76,77,78,79,80,81,81.8,84.1,85.9,87.9,89,91,91.9,93.1,94.9,95.9,97,99.9,101.9,102.8,104,104.8,106,107,108,113,114.9,116,116.9,118.2,119,126,127,128,128.9,130,130.9,133,133.8,135,146,147,148,148.9,153,161.1,162.9,166,173.2,177,184,191,192.8,201.1,205,206.9,208.1,208.9,221.1,281,281.9,282.9"	"1098,689,1209,10076,1901,422,1327,437,2143,9056,12444,26888,3149,363,621,793,564,10946,1224,268,340,191,473,439,411,753,302,154,4130,204,195,377,5841,1051,6911,1451,4916,7388,42024,2122,482,197,279,201,182,346,376,394,1144,476,397,264,358,223,396,174,191,381,260,233,188,188,1907,777,189,221,547,2037,214,236,420,430,651,411,216,427,5040,766,515,150,251,164,189,193,545,164,286,153,150,512,2007,595,457,216,521,241,166"
