"HMDB_ID","Compound","CompoundWithTMS","RT_min","RT","RI","Intensity","MatchFactor","RI.Similarity","Area","RT.start","RT.end","Concentration"
"HMDB00190","L-Lactic acid","L-Lactic acid","10.197","611.838","1091.32","14656599",788.826,"98.66",313202844,"10.121","10.255","1.124"
"HMDB00115","Glycolic acid","Glycolic acid (2TMS)","10.617","637.006","1101.198","45752",606.391,"96.67",9944655,"10.426","10.807","0.008"
"HMDB00161","Alanine","Alanine","11.329","679.715","1127.158","470365",769.069,"94.76",13164261,"11.271","11.379","0.142"
"HMDB02329","Oxalate","Oxalate (2TMS)","12.409","744.542","1163.598","17036798",782.684,"94.41",392203480,"12.326","12.498","3.397"
"HMDB00883","Valine","Valine (2TMS)","14.405","864.281","1233.067","1009804",761.713,"94.55",38139380,"14.309","14.462","0.134"
"HMDB00294","Urea","Urea","15.117","906.991","1260.505","2593272",785.777,"99.46",320134750,"14.926","15.148","1.377"
"HMDB00687","Leucine","Leucine (2TMS)","15.835","950.082","1286.908","587225",746.682,"96.13",21889556,"15.746","15.86","0.041"
"HMDB02142","Phosphoric acid ","Phosphoric acid ","16","959.996","1292.814","2724781",691.25,"99.98",68427333,"15.949","16.07","0.168"
"HMDB00172","Isoleucine","Isoleucine (2TMS)","16.356","981.351","1306.965","806043",656.551,"95.62",33958090,"16.261","16.413","0.109"
"HMDB00123","Glycine","Glycine (3TMS)","16.616","996.986","1318.718","1266116",729.029,"95.35",46908273,"16.527","16.686","0.12"
"HMDB00187","Serine","Serine (3TMS)","18.021","1081.261","1379.055","548295",750.87,"97.41",16593945,"17.964","18.059","0.087"
"HMDB00167","Threonine","Threonine (3TMS)","18.631","1117.869","1404.703","633113",741.157,"97.75",20110183,"18.561","18.682","0.105"
"HMDB00267","Pyroglutamic acid","Pyroglutamic acid","21.345","1280.699","1535.01","566220",672.799,"99.23",6972295,"21.307","21.396","0.053"
"HMDB00191","Aspartic acid","Aspartic acid (3TMS)","21.434","1286.037","1539.551","118281",574.12,"99.08",25710682,"21.243","21.625","0.051"
"HMDB00562","Creatinine","Creatinine","22.063","1323.79","1571.137","1191900",707.756,"98.26",31745659,"22.006","22.108","0.203"
"HMDB00148","Glutamic acid","Glutamic acid","23.341","1400.438","1637.784","405160",676.792,"99.68",9830108,"23.309","23.366","0.073"
"HMDB00159","Phenylalanine","Phenylalanine","23.391","1403.489","1640.538","328026",702.715,"98.23",26142196,"23.277","23.417","0.11"
"HMDB00182","Lysine","Lysine (3TMS)","24.847","1490.814","1719.307","86148",529.344,"96.61",14980103,"24.656","24.961","0.112"
"HMDB00508","Ribitol","Ribitol","25.546","1532.761","1759.32","7625099",732.696,"99.55",212453911,"25.425","25.59","ISTD"
"HMDB00214","Ornithine","Ornithine (4TMS)","26.912","1614.748","1838.751","744560",694.942,"99.77",21248271,"26.849","26.951","0.135"
"HMDB00094","Citric acid","Citric acid","27.071","1624.281","1848.296","1228076",692.043,"99.55",29706716,"27.033","27.122","0.043"
"HMDB00660","D-Fructose","D-Fructose","28.126","1687.583","1911.173","196034",591.829,"99.28",27696468,"28.069","28.317","0.031"
"HMDB00169","D-Mannose","D-Mannose (1Z)","28.368","1702.074","1926.227","1094843",680.128,"99.68",30199608,"28.317","28.412","0.019"
"HMDB00143","Galactose","Galactose (1Z)","28.603","1716.183","1940.761","74709997",756.358,"99",2345812122,"28.419","28.692","3.466"
"HMDB00158","Tyrosine","Tyrosine (3TMS)","28.908","1734.487","1959.439","644733",709.318,"99.46",70069582,"28.737","28.927","0.374"
"HMDB00220","Palmitic acid","Palmitic acid","30.306","1818.381","2050.408","1239269",756.277,"97.24",21124330,"30.256","30.357","0.083"
"HMDB00211","Myo-Inositol","Myo-Inositol","31.495","1889.69","2130.543","460656",635.507,"98.7",13394122,"31.438","31.539","<LOD"
"HMDB00673","Linoleic acid","Linoleic acid","32.766","1965.957","2215.381","387681",732.157,"95.95",7657051,"32.728","32.798","0.125"
"HMDB00207","Oleic acid","Oleic acid","32.836","1970.152","2220.647","1034433",776.975,"99.74",17408664,"32.804","32.899","0.154"
"HMDB00827","Stearic acid","Stearic acid","33.204","1992.269","2248.228","1799056",741.881,"99.83",31375015,"33.16","33.249","0.262"
"HMDB00186","Lactose","Lactose","39.776","2386.569","2764.663","1031000",714.072,"99.68",20568390,"39.725","39.821","0.061"
"HMDB00067","Cholesterol","Cholesterol","44.238","2654.266","3178.237","2596717",685.95,"91.43",52745797,"44.181","44.289","0.157"
