"hmdbID"	"CompoundWithTMS"	"RT_min"	"RT"	"RI"	"Intensity"	"MatchFactor"	"RI.Similarity"	"Corr.Spearman"	"matchMZrate"	"matchMZnum"	"sampleMZnum"	"TScore"	"Area"	"RT.start"	"RT.end"	"peakType"	"mz"	"mzInt"
"HMDB00190"	"L-Lactic acid"	"10.019"	"601.161"	"1087.225"	"39480"	"223.363"	"92.37"	"32.37"	"23.02"	"32"	"65"	"36.69"	"8581373"	"9.829"	"10.21"	"SKEWED"	"40.2,41.3,42.2,42.9,44.9,47.2,47.8,49.2,49.7,50.3,51.1,52.1,53,56.1,56.7,57.2,58.1,59.4,60.2,61,63.2,64.1,67.9,68.9,70.1,72.1,73.2,74.1,75.2,77.2,78.1,79.1,80,86.2,88.3,91.1,93,94.9,97.2,100.1,101,106.1,106.7,109.9,117.2,126.7,130.2,134.2,135.9,146,146.9,174,175.3,184.1,199.1,207,209.2,220.8,230.2,234,278.9,281.1,369.2,421.2,549.8"	"318,435,601,549,596,483,231,527,439,1731,1892,2333,342,443,609,207,973,554,182,156,938,627,252,676,386,1089,3164,295,1212,1928,488,933,374,338,248,367,828,463,179,642,392,349,255,216,187,235,1331,795,274,248,864,668,232,929,454,152,289,185,161,669,462,288,305,353,159"
"HMDB00190"	"L-Lactic acid"	"10.108"	"606.5"	"1089.281"	"35885"	"270.546"	"95.53"	"43.68"	"25.18"	"35"	"74"	"39.81"	"7799964"	"9.918"	"10.299"	"SKEWED"	"40.2,41,42.2,43.4,44.1,45.1,46,46.9,49.3,50.2,51.1,52.2,53.2,55.2,55.9,57.5,58.2,59.4,65.2,66.8,68.3,69.1,70.1,71,71.5,73.1,74,75.1,77.1,77.8,79.1,86,87.8,92.9,95.2,106,110.2,115.2,116.7,123.9,125.8,130,132.9,134.2,134.9,135.3,136.8,137.2,138.7,146.9,147.4,150.9,159,160.3,161,171.3,174.1,189.2,191.1,206.9,208.1,208.8,219.4,221.1,229.1,230.9,244.1,284.1,285.9,295.3,313,370.1,514.5,517.5"	"218,292,354,392,226,877,290,309,226,997,1883,2200,235,343,354,388,976,333,182,191,421,949,341,242,185,2452,217,1277,1223,638,2684,362,236,218,234,318,203,349,222,315,165,910,232,177,423,363,242,218,253,652,567,288,166,180,256,199,338,167,237,1650,211,198,234,651,342,399,200,185,291,253,174,378,182,152"
"HMDB00190"	"L-Lactic acid"	"10.159"	"609.55"	"1090.448"	"330775"	"759.313"	"97.32"	"86.96"	"46.04"	"64"	"108"	"65.26"	"8688249"	"10.121"	"10.21"	"NORMAL"	"40.3,41.2,42,43.1,44.1,45.1,46,47.1,50.1,51.1,52.2,52.8,55.1,56,56.3,57.1,58.2,59.2,60.1,61,63.2,66.2,68.1,69,70.1,71.1,72.1,73.1,74.1,75.2,76.2,77.2,78.2,79.2,80.2,83,84.2,85.2,86.1,87.2,88,89.1,89.9,91,94.3,97.2,100.1,101,102,102.8,105.3,107.4,112.9,115.1,117.2,118.2,119.1,120.1,121.3,121.9,128.8,131.1,132.2,133.1,134.1,138.9,145,147.1,148.2,149.1,150,151.2,152.5,158.9,160.1,165,166.9,170.4,175.1,184.3,190,191.2,192,193.1,195.2,198.5,203.2,207.2,208,209,211.4,218.1,219.2,220.2,221.3,222.1,250,253.7,263.9,279.3,284.1,295.2,340.1,361.3,369.2,394.1,415,425.9"	"468,476,1538,10635,3685,20448,1475,3352,1846,1996,947,575,1953,779,791,1126,4165,10058,1073,2882,325,4824,257,436,607,744,2752,56664,5317,11284,991,1243,413,1225,316,266,189,285,1043,3194,2214,851,179,465,488,275,172,1054,1569,961,429,260,387,3432,33800,3893,1775,168,365,230,456,3124,655,5703,1210,231,185,58736,8074,6080,815,248,394,187,409,228,466,178,505,327,4256,9599,2657,625,468,178,384,1265,155,181,302,295,2147,619,708,213,164,150,226,218,313,396,182,165,183,376,252,277"
"HMDB00190"	"L-Lactic acid"	"10.223"	"613.364"	"1091.899"	"48752"	"591.942"	"99.54"	"46.21"	"27.34"	"38"	"68"	"51.34"	"10596735"	"10.032"	"10.413"	"SKEWED"	"41,42.1,43.3,44.1,45.2,47,48.2,49,50.3,51.1,52.2,54.1,55,56.9,58.1,59.2,61.2,63,66.1,67.1,67.7,69.3,70.2,72.2,73,74.4,75,78,79.1,80.3,85.8,87,88,91,93,95.2,99.2,101.2,101.8,102.8,103.3,103.8,115.2,117.2,117.9,133,133.8,135.1,146.2,147.1,148,150.1,150.8,151.5,165.3,174.1,190,190.2,191.2,192,202.8,221.2,266.5,269,281.1,340.9,392.4,472.1"	"173,1206,927,558,2003,749,380,324,1695,1735,2491,152,233,203,817,2037,152,452,569,154,288,910,903,455,4515,479,2393,334,1236,193,152,198,441,266,685,263,309,168,507,453,187,370,272,1656,269,461,499,249,415,5545,841,593,153,190,176,271,279,285,909,497,339,162,320,202,615,278,402,159"
"HMDB00190"	"L-Lactic acid"	"10.261"	"615.652"	"1092.765"	"36757"	"526.338"	"99.14"	"60.27"	"23.02"	"32"	"68"	"47.13"	"7989502"	"10.07"	"10.452"	"SKEWED"	"42,43,44.1,45.1,45.8,47.1,48.2,49,50.1,51,52.1,53.9,54.9,57.1,57.9,59.1,59.8,64.3,65.1,66.1,69.2,71.7,73.1,74,75,77,78.3,79.3,80.2,81.1,85.9,88.5,93.1,94.9,103.2,115,117.2,122.2,126.8,129.9,130.4,131,133.2,134.2,139.7,141.9,146.2,147.1,149.9,164,167.2,178.5,182.6,190.1,190.6,191.2,193.8,207.7,210.8,221.4,222.2,265.3,282,297.1,393.9,416.1,517.8,543.9"	"442,548,457,967,169,469,271,663,3216,1193,1137,309,225,338,808,807,166,271,370,429,687,150,3336,400,1588,389,458,1262,201,215,513,230,761,191,180,336,1569,202,165,251,441,855,503,711,192,279,291,1729,187,193,336,177,285,326,428,621,169,277,225,312,243,231,150,170,496,158,169,264"
"HMDB00190"	"L-Lactic acid"	"10.286"	"617.177"	"1093.341"	"31558"	"422.216"	"98.26"	"17.82"	"21.58"	"30"	"59"	"43.11"	"6859447"	"10.096"	"10.477"	"SKEWED"	"40.2,41,42.1,43.2,44.2,45,47.3,49,50,51.2,52.1,54.4,56.2,57.9,58.8,59.4,59.9,61.2,62.6,66,68.9,69.4,70.4,72.2,73.2,74.1,75.1,77.2,78.1,79.1,83.2,86.3,92.8,99.4,114.9,117.1,118.1,134,146.2,147.1,148.2,149.2,155,183.9,185.2,190.1,191.2,205.1,209.1,217,220.7,221.3,232.9,268.3,281,295.4,376.2,440.6,518.8"	"468,213,208,475,163,1039,214,281,1302,1601,1801,208,402,934,1189,212,376,159,347,474,507,236,561,194,2153,825,1202,159,672,2379,163,212,538,315,299,1043,189,284,214,1699,171,285,581,302,296,258,230,270,287,183,266,319,197,173,369,547,504,219,191"
"HMDB00190"	"L-Lactic acid"	"10.305"	"618.321"	"1093.772"	"28523"	"505.633"	"97.6"	"32.49"	"17.27"	"24"	"59"	"43.32"	"6199759"	"10.115"	"10.496"	"SKEWED"	"43.2,44.3,45.1,45.8,47.1,49,50.1,51.1,52,53.1,54.8,55.4,56.1,58,59.3,60.8,63.1,64.8,68.1,69,71,73.2,74.1,74.4,75.2,75.9,76.7,77.1,78,79.2,92.9,94.9,98.9,100.1,101.9,118.1,118.9,128,141.8,145.7,147.1,148.1,159.1,174.3,191.2,197.1,210.1,222,244.9,262.6,281.1,355.3,404.4,412.8,415,463.1,491.3,521.5,524.7"	"1132,206,1047,300,586,555,1839,1155,1335,198,243,180,250,729,868,221,165,233,188,389,157,3133,235,305,719,217,282,214,424,1301,416,308,170,183,220,375,167,402,167,175,1761,511,263,167,308,154,499,277,213,376,447,258,203,531,275,165,333,185,208"
"HMDB00190"	"L-Lactic acid"	"10.407"	"624.422"	"1096.055"	"28342"	"309.58"	"94.14"	"18.92"	"21.58"	"30"	"63"	"38.91"	"6160417"	"10.216"	"10.598"	"SKEWED"	"41.6,42.1,42.6,43.2,44.9,45.2,47.1,48.9,50,51.3,52.2,53.1,55.2,58,58.8,59.3,63.4,65,73,73.3,74.2,75.1,77.1,77.8,79.1,83.1,85.9,94.2,95.2,100.2,100.8,101.5,114.2,114.8,116.9,120.8,127,128.2,132.8,133.9,134.8,138.5,146.9,148.3,164.1,173.2,173.9,190,206.7,207.4,220.8,239,284.4,341.1,341.5,344.2,350.5,388,404,413.5,425.3,461.1,494.9"	"363,178,236,461,319,368,334,786,916,2076,1612,172,451,1248,629,207,533,166,933,802,233,1486,836,329,2575,338,540,221,278,195,161,155,673,410,186,164,202,320,158,332,468,204,842,191,174,391,410,320,171,198,151,152,164,179,162,175,156,184,188,354,162,194,170"
"HMDB00190"	"L-Lactic acid"	"10.458"	"627.473"	"1097.189"	"25475"	"422.31"	"92.42"	"37.97"	"19.42"	"27"	"61"	"40.87"	"5537246"	"10.267"	"10.649"	"SKEWED"	"40.3,41.2,42.8,44.2,45.1,46.9,47.8,48.9,50.1,51,52.2,52.9,55.3,55.8,57.1,58.1,59.2,62.9,64.7,65.2,67,68.9,72,73.3,73.9,75.2,76,78.1,79,94,97.1,99.3,100.9,105,107.2,110.1,113.3,117,118.1,118.8,119.8,131.2,133.2,133.8,135,142.1,146.2,147.3,148,173.2,173.9,201.8,207.2,281.8,282.8,283.3,295.9,342.9,416.8,474.9,584.8"	"243,626,215,267,966,240,262,451,1092,1485,1562,280,320,283,289,519,299,370,254,473,275,343,150,1390,685,873,154,677,1478,152,191,171,182,155,489,199,162,398,472,221,281,329,157,407,242,179,197,944,321,324,191,208,250,173,217,413,169,298,253,243,366"
"HMDB00115"	"Glycolic acid (2TMS)"	"10.54"	"632.43"	"1099.02"	"26480"	"381.035"	"93.36"	"27.43"	"19.58"	"28"	"53"	"39.89"	"5755693"	"10.35"	"10.731"	"SKEWED"	"40.1,41.9,43,45.1,48.2,48.9,50.2,51,52.1,55.2,57.9,58.2,59.1,60,63,65.1,69.1,70.3,73.1,74.3,75,76.1,76.7,77.2,78.3,79.2,79.9,80.3,81.3,86.1,93.2,95,95.7,101.9,104,117.1,118,127,131.2,132.3,133.9,135,147.1,147.9,148.3,151.5,152.2,171.7,341.2,413,475.8,488.4,570.9"	"636,527,972,542,162,260,1972,1075,1273,159,811,740,273,169,168,334,200,403,943,390,1441,389,303,283,474,2574,199,267,182,416,504,443,302,189,595,471,377,178,337,169,232,427,977,384,354,217,196,222,275,260,340,171,323"
