"HMDB_ID","Compound","CompoundWithTMS","RT_min","RT","RI","Intensity","MatchFactor","RI.Similarity","Area","RT.start","RT.end","Concentration"
"HMDB00190","L-Lactic acid","L-Lactic acid","10.178","610.69","1090.883","249663",728.938,"97.99",0,"10.146","10.223","<LOD"
"HMDB00161","Alanine","Alanine","11.309","678.567","1126.481","84954",534.168,"93.76",79887,"11.29","11.335","0.014"
"HMDB02329","Oxalate","Oxalate (2TMS)","12.396","743.776","1163.187","6528344",761.618,"93.82",108913809,"12.333","12.46","1.312"
"HMDB00883","Valine","Valine (2TMS)","14.411","864.659","1233.316","4676243",757.965,"94.89",157176317,"14.316","14.475","0.772"
"HMDB00294","Urea","Urea","14.913","894.784","1252.797","542523",772.498,"90.28",7544279,"14.85","14.945","0.066"
"HMDB00123","Glycine","Glycine (3TMS)","16.623","997.363","1319","4696567",731.468,"95.7",171091920,"16.502","16.718","0.704"
"HMDB00187","Serine","Serine (3TMS)","18.04","1082.401","1379.839","13541856",765.182,"98.36",438018918,"17.856","18.097","1.885"
"HMDB00267","Pyroglutamic acid","Pyroglutamic acid","21.377","1282.601","1536.63","65440",592.149,"97.47",0,"21.186","21.447","<LOD"
"HMDB00508","Ribitol","Ribitol","25.54","1532.376","1758.958","5443514",730.63,"99.2",155336701,"25.438","25.597","ISTD"
"HMDB00226","Orotic acid ","Orotic acid ","25.686","1541.146","1767.188","64519",574.94,"98.97",1541687,"25.495","25.756","0.048"
"HMDB00094","Citric acid","Citric acid","27.071","1624.277","1848.292","65317",544.658,"99.54",5441886,"27.02","27.167","<LOD"
"HMDB00660","D-Fructose","D-Fructose","28.126","1687.579","1911.169","118919",602.13,"99.28",5169647,"28.075","28.152","0.009"
"HMDB00143","Galactose","Galactose (1Z)","28.546","1712.747","1937.232","187419",684.102,"97.96",0,"28.52","28.578","<LOD"
"HMDB00220","Palmitic acid","Palmitic acid","30.313","1818.758","2050.84","281728",744.293,"97.59",600998,"30.268","30.351","0.04"
"HMDB00211","Myo-Inositol","Myo-Inositol","31.501","1890.068","2130.959","30334",506.888,"99.03",6593398,"31.31","31.692","<LOD"
"HMDB00673","Linoleic acid","Linoleic acid","32.779","1966.716","2216.334","63996",699.653,"95.24",0,"32.753","32.804","<LOD"
"HMDB00207","Oleic acid","Oleic acid","32.842","1970.529","2221.12","75120",646.082,"99.91",0,"32.747","32.887","<LOD"
"HMDB00827","Stearic acid","Stearic acid","33.204","1992.265","2248.223","417405",694.407,"99.83",0,"33.16","33.249","<LOD"
"HMDB00186","Lactose","Lactose","39.776","2386.565","2764.657","227490",700.911,"99.67",2360214,"39.744","39.821","0.037"
"HMDB00067","Cholesterol","Cholesterol","44.034","2642.06","3158.795","30128",614.699,"98.36",428416,"43.844","44.225","0.028"
