"","hmdbID","CompoundWithTMS","RT_min","RT","RI","Intensity","MatchFactor","RI.Similarity","Corr.Spearman","matchMZrate","matchMZnum","sampleMZnum","TScore","Area","RT.start","RT.end","peakType","mz","mzInt"
"1","HMDB00190","L-Lactic acid","9.968","598.106","1086.04","87117","285.348","90.55","47.68","42.45","59","79","47.89","1292573","9.949","9.981","NORMAL","40.1,41.2,42.3,42.9,44.1,45.2,46.1,46.9,47.2,50.2,51,52.1,53.1,54.3,55.1,56.1,56.9,58.2,59.1,60,61.1,62.8,65.1,67.8,69,69.9,71,72.1,73.1,74.2,75.1,76.1,78.1,79.1,86.1,88.1,88.9,90.2,91,93,100.1,101.1,101.7,104.4,116.1,117,126.8,128.2,130.2,131.2,132.1,135.8,142.3,143.9,144.5,146.3,147.1,149.4,160.2,163.4,174.2,175.3,176.4,183.8,189.2,190.2,193.3,207.4,222,228,253.6,267.3,295.1,295.8,336,410.8,414,525.2,537.4","726,169,2735,1966,2375,2801,267,730,829,688,989,1114,323,545,534,1687,212,1083,4036,207,1453,194,221,419,170,1395,219,3167,13422,1607,3175,391,197,2249,3122,240,440,182,231,320,1072,281,225,184,408,262,408,161,7171,1388,444,206,289,325,259,374,874,169,171,165,7286,1973,413,231,1418,736,181,196,547,328,224,157,408,202,172,167,167,318,327"
"2","HMDB00190","L-Lactic acid","10.045","602.682","1087.812","39535","372.153","93.28","37.31","40.29","56","71","49.96","8593328","9.854","10.235","SKEWED","41.3,42.1,43.1,44.4,44.9,46.9,49.2,50.1,51,52,53.1,55,55.9,56.3,57.2,58.1,59.1,61.3,62.9,68.1,69.2,70.1,72,73.2,74,75.1,76.1,77,77.8,79.1,84.2,89.2,93.3,100,106,125.9,127.2,130.1,130.9,131.3,134,135.4,143.6,145.1,146.6,147.1,148.2,149,151.3,160.2,174.1,175.4,176.2,183.9,188.3,191.4,193.8,194.9,199,200.3,207.8,221.1,222.2,295.1,320.4,354.4,355.2,418.1,430.3,431.1,444.7","455,538,1240,777,1028,180,203,1324,758,847,372,426,711,446,226,810,1137,331,481,235,716,509,293,4288,217,1281,402,1302,548,2081,384,400,377,248,170,249,371,1718,475,693,308,173,169,238,242,1861,251,194,277,245,757,207,206,382,194,155,262,184,573,154,224,757,275,236,293,153,196,203,397,284,238"
"3","HMDB00190","L-Lactic acid","10.134","608.02","1089.864","34988","262.551","96.43","17.81","38.13","53","75","46.23","7605324","9.943","10.324","SKEWED","41.4,42.1,42.9,43.9,44.2,45,45.9,47.1,49.2,50,51.2,52.2,56,58.2,59.1,60.1,66.1,66.9,69.1,69.9,70.9,72.3,73.2,74.9,76,77,78.2,79.1,80,86.1,87,88.2,90.8,93.1,93.7,94.8,100.3,102.1,103.1,113.2,117.1,133,147.2,147.7,149.3,162.9,164.6,168,171.6,174.1,184.1,189.2,191,193,195,196.3,199.2,207.2,208.3,208.8,209.3,210,210.6,214.3,234.2,283,284.2,294.9,318.1,344.9,369.5,404.8,479.5,504.5,507.7","432,546,405,158,210,1344,178,252,349,1215,1166,1128,173,659,766,306,424,169,478,591,421,153,3364,1004,370,561,288,1049,153,298,167,286,219,453,185,200,256,496,182,370,186,181,892,175,381,195,150,483,170,1017,420,584,736,185,402,217,313,1999,216,275,287,321,272,330,261,657,166,363,279,171,167,153,200,281,479"
"4","HMDB00190","L-Lactic acid","10.178","610.69","1090.883","249663","728.938","97.99","87.51","60.43","84","104","71.68","6363413","10.146","10.223","NORMAL","40.9,42.3,43.1,44.2,45.1,46.1,47.1,48.9,50.2,51,52.1,53,53.8,55.2,56.1,57.1,58.1,59.1,59.9,61.2,62,63.2,64.1,66.4,67.3,68.2,69.2,70,71.2,72,73.1,74.2,75.1,76.1,77.1,78.1,78.9,81.8,82.9,84.2,85,85.7,87.1,88.1,89,93.1,94,97.1,100.4,101.2,102,103.1,105,107.1,108,110.7,115,115.9,117.2,118.3,119,125.7,129.2,130,131.2,131.9,133.1,134.1,134.9,136.8,137.3,147.2,148.1,149.1,150.1,152.2,153.8,173.2,174.2,175.1,176.6,183,190.3,191.2,192.3,192.9,197.3,201.2,205,207,210,219.1,220.1,221.1,235.2,242.4,294.6,295.2,296.2,323.1,350.7,434.2,438,573.6","220,971,9243,1552,14844,1160,3347,553,1028,2193,874,1001,292,1628,670,1631,4592,8283,551,2920,392,504,239,2447,719,162,584,364,1023,1482,44352,4711,9047,561,993,816,1261,217,187,379,159,386,2238,2337,819,794,197,439,451,1510,1370,818,600,243,491,499,982,399,20872,1950,1503,245,875,281,2117,535,4205,1287,497,186,323,37840,5133,5921,300,256,278,185,206,202,299,182,3682,6742,1549,699,166,166,597,712,249,2315,815,1062,182,319,159,389,182,185,348,211,318,213"
"5","HMDB00190","L-Lactic acid","10.254","615.266","1092.619","38117","493.434","99.36","48.87","38.13","53","66","53.74","8285111","10.064","10.445","SKEWED","41.9,43.1,44.2,45.1,45.9,46.9,50.1,51.2,52,53.3,55.9,57.2,58.1,58.9,60.1,63.5,64.5,66.8,69.3,70.8,72,73.1,74.3,75.1,76,76.4,77.3,78,79.1,85,85.8,89.1,93.1,100.2,102.9,104.7,117.2,118.9,126.2,126.9,132.1,132.7,133.2,134.6,145.8,147.2,148.2,149.1,155.1,160.6,166.6,172.5,176.2,184,188,190.1,191,192.2,206.7,207.2,249.2,250.4,262.9,264.3,295.2,330.2","165,421,483,1742,186,442,1299,1792,2694,727,571,659,1296,167,201,244,201,197,560,163,487,3427,473,2060,656,215,444,500,733,447,247,186,395,301,316,161,1162,548,160,475,230,208,320,155,332,2628,822,505,189,171,272,163,208,214,159,352,748,345,248,553,231,205,236,231,631,158"
"6","HMDB00190","L-Lactic acid","10.401","624.037","1095.912","30924","377.381","94.35","31.13","35.25","49","69","47.82","6721934","10.21","10.591","SKEWED","40.1,42.5,43,44.1,45.1,47.1,49.1,50.2,51,52.2,53.2,53.9,54.9,58.1,59.2,65.3,66.4,71.8,73.1,73.9,75.2,77.1,78.2,79.2,84.2,84.8,91.9,92.8,94.9,102.3,103.1,107.9,109.6,113.3,113.8,116.2,127.2,130.8,132,133.2,134.2,134.9,140.2,146,147.2,148.2,161.7,164.3,170.2,172.9,174,175,175.9,192.2,206.9,220.3,221.4,221.9,231.2,237.6,262.2,272,328.9,355,371.2,400.2,423.5,450.7,538.3","862,429,564,371,926,300,418,1067,1065,927,355,562,790,576,870,216,170,351,2375,155,1522,371,330,1315,199,398,316,672,245,199,588,357,182,308,190,537,204,283,701,911,150,208,334,580,706,416,305,169,620,321,468,232,171,161,164,269,165,234,163,198,171,177,185,177,260,199,217,169,158"
"7","HMDB00115","Glycolic acid (2TMS)","10.623","637.383","1101.435","29654","419.762","97.03","36.8","38.46","55","65","51.23","6445593","10.432","10.814","SKEWED","42,42.3,43.1,43.9,44.9,46.9,47.3,48.1,49.4,49.9,50.2,51.1,52.1,53,57.9,59,59.4,60.8,62.8,64.1,68,69.1,69.8,72.9,74,75.1,76.1,77.8,79.3,85,86.1,90.9,93.1,95.1,111.1,113.2,117,118.1,126.3,127.2,130.8,131.2,132.3,133,135.3,145.9,147.2,147.8,149.2,178.9,191.2,193.2,201.3,204.9,205.3,207.2,216.7,221,222.6,260.6,270.1,326.7,355.2,384.9,502.4","578,491,550,518,1190,332,388,289,470,549,618,1369,1407,169,741,260,193,157,559,172,273,274,302,2339,472,1087,602,397,932,191,401,177,504,225,168,323,296,340,256,249,398,411,331,226,301,192,1651,487,197,205,179,183,166,217,188,804,196,278,315,402,285,230,540,251,213"
"8","HMDB00883","Valine (TMS)","10.826","649.586","1109.021","55994","589.337","97.48","65.79","47.01","63","75","60.68","7911056","10.769","11.017","SKEWED","40.2,40.7,41.3,42.4,43.2,44,44.3,45.1,46.2,47,49.1,50.2,50.9,52.1,53.1,53.8,55.2,56.1,57,58,59.2,60.3,61.1,62.9,63.5,65.2,69,69.9,72.1,73.2,74.2,75.1,75.8,77,77.3,78.1,79,79.6,80.1,80.6,86.3,87.3,89,91.1,94.8,100.8,104.5,116.1,117.1,118,119,120.4,126.1,128.1,129.2,130.1,130.6,130.9,137.2,144.2,146.1,147.2,148.4,156.3,160.9,174.3,201.3,221.5,222,245.5,280.9,368.8,417.2,500.4,590.3","367,769,672,683,1571,750,645,1882,187,980,603,1089,645,1114,199,160,1342,1112,866,960,1010,415,406,334,169,440,476,890,7879,4087,1255,4121,530,417,500,454,1176,914,290,220,279,435,464,276,221,362,254,1504,513,169,220,151,158,292,697,507,176,200,628,164,1379,715,255,414,188,555,219,151,194,214,202,191,688,225,155"
"9","HMDB00883","Valine (TMS)","10.839","650.349","1109.491","52228","564.731","98.18","44.32","43.28","58","68","58.22","11352278","10.648","11.03","SKEWED","40.2,41,42.1,43.3,43.9,45.1,46.2,47,48.3,50.2,51.2,52.1,53.2,54,55.1,56.1,57.1,58,59.1,60.4,61.1,63.1,67.1,69.1,70.4,72.2,73.1,74.1,75.3,76,78.3,79.2,79.8,86.2,88,93,95,98,102.1,103.2,103.9,112.3,115.1,115.9,116.9,125.6,126.9,130,130.8,132,133.1,146.3,147.2,148.8,155.8,157.3,161.2,173.1,173.8,174.9,204.2,209,220.8,221.1,289.2,295.2,351.4,415.2","517,653,618,1123,347,2764,252,264,355,536,844,1167,411,271,1524,1267,448,526,813,314,488,286,431,501,320,9946,4658,811,3149,267,1404,1232,180,156,357,498,835,181,793,232,368,246,257,586,234,189,515,980,175,188,577,696,1640,503,165,154,223,201,256,254,157,193,206,231,366,385,226,318"
"10","HMDB00883","Valine (TMS)","10.852","651.111","1109.959","47083","601.392","98.89","54.1","44.78","60","68","60.21","10233961","10.661","11.043","SKEWED","40.5,41.4,42.1,43.1,44,45.1,47,48.1,50,50.5,51.3,52,52.4,53,54,55.2,56.1,57.1,58,59.2,60.1,61.1,65.1,67.9,69.2,70.1,72.2,73.2,74.1,74.9,76.1,76.8,77.3,78.1,79.3,80.4,83.8,85.8,86.3,87.1,88.3,89,90,91.3,92.9,94.9,95.8,100.1,103,104.7,112.8,116.2,117.1,126.8,127.8,130,131.2,135.2,138.3,146.2,147.2,151.1,156.2,174,221.8,248.2,249,358.1","211,909,395,1539,958,2901,939,797,776,410,771,461,647,404,449,1488,780,1044,742,400,441,276,169,496,241,232,7465,3219,1122,2756,304,409,375,174,961,316,404,182,198,310,206,679,209,276,303,441,321,185,241,526,235,623,223,204,468,754,390,299,231,520,730,195,151,790,334,153,171,154"
