"SeqIndex","HMDB_ID","Compound","CompoundWithTMS","RT_min","RT","RI","Intensity","MatchFactor","RI.Similarity","Area","RT.start","RT.end","Concentration"
1,"HMDB00190","L-Lactic acid","L-Lactic acid","9.967","598.038","1091.772","2250411",794.372,"99.35",45634801,"9.885","10.044","0.036"
2,"HMDB00115","Glycolic acid","Glycolic acid (2TMS)","10.394","623.613","1103.083","6897302",809.261,"99.52",223054540,"10.292","10.502","0.289"
4,"HMDB00161","Alanine","Alanine","11.132","667.893","1129.773","517501",521.417,"98.63",19482298,"11.087","11.182","0.081"
6,"HMDB02329","Oxalate","Oxalate (2TMS)","12.226","733.549","1166.255","4918077",804.574,"98.22",63971873,"12.169","12.328","0.232"
14,"HMDB02142","Phosphoric acid ","Phosphoric acid ","15.744","944.643","1292.596","1655471",780.326,"99.74",44663407,"15.693","15.782","0.044"
16,"HMDB00162","Proline","Proline (2TMS)","16.17","970.218","1309.83","1115777",791.112,"99.45",48333184,"16.119","16.259","0.328"
17,"HMDB00123","Glycine","Glycine (3TMS)","16.425","985.487","1321.263","509630",626.967,"98.57",110889372,"16.234","16.616","0.099"
22,"HMDB00744","Malic acid","Malic acid","20.573","1234.37","1507.662","13587860",806.697,"99.96",384796025,"20.509","20.7","0.28"
23,"HMDB00267","Pyroglutamic acid","Pyroglutamic acid","21.088","1265.29","1534.34","1913767",783.525,"99.96",63999460,"21.037","21.139","0.106"
24,"HMDB00191","Aspartic acid","Aspartic acid (3TMS)","21.19","1271.4","1539.535","7850520",806.358,"99.1",214815829,"21.139","21.253","0.25"
29,"HMDB00148","Glutamic acid","Glutamic acid","23.105","1386.3","1638.105","3768693",807.193,"99.99",106412009,"23.048","23.2","0.262"
32,"HMDB00508","Ribitol","Ribitol","25.319","1519.14","1759.805","20295706",808.668,"100",592590324,"25.249","25.433","ISTD"
35,"HMDB00094","Citric acid","Citric acid","26.839","1610.37","1848.45","11908004",806.12,"99.68",360796184,"26.776","26.973","0.263"
37,"HMDB00660","D-Fructose","D-Fructose","27.896","1673.73","1911.576","241368",685.931,"99.63",39393671,"27.8","28.087","0.016"
38,"HMDB00169","D-Mannose","D-Mannose (1Z)","28.22","1693.2","1931.826","15161645",791.417,"95.49",519788487,"28.15","28.43","0.188"
43,"HMDB00143","Galactose","Galactose (1E)","28.551","1713.05","1952.232","5541509",804.944,"99.97",176351732,"28.487","28.684","0.035"
