"HMDB_ID","Compound","CompoundWithTMS","RT_min","RT","RI","Intensity","MatchFactor","RI.Similarity","Area","RT.start","RT.end","Concentration"
"HMDB00190","Lactic acid","Lactic acid","9.395","563.681","1075.436","1964587",787.016,"99.32",45694111,"9.35","9.439","0.037"
"HMDB01987","2-Hydroxy-2-methylbutyric acid","2-Hydroxy-2-methylbutyric acid","11.742","704.537","1148.313","682475",754.477,"99",22353621,"11.691","11.787","0.008"
"HMDB00700","beta-Lactate","beta-Lactate","12.048","722.86","1158.38","1269122",785.12,"98.96",37705832,"11.997","12.105","0.25"
"HMDB00357","3-hydroxybutyric acid","3-hydroxybutyric acid","12.563","753.779","1174.804","7270017",522.761,"97.92",214369961,"12.506","12.652","0.177"
"HMDB00754","3-Hydroxyisovaleric acid","3-Hydroxyisovaleric acid","13.899","833.941","1220.643","1238489",611.877,"99.31",43168041,"13.854","13.944","0.197"
"HMDB00254","Succinic acid","Succinic acid","16.577","994.647","1325.515","5340170",786.006,"97.52",154390554,"16.52","16.654","0.374"
"HMDB02453","4-Deoxythreonate","4-Deoxythreonate","17.735","1064.12","1375.112","1377129",801.775,"98.2",37931895,"17.684","17.786","2.427"
"HMDB00661","Glutaric acid","Glutaric acid","18.639","1118.33","1414.345","1502702",591.885,"99.64",69415320,"18.582","18.734","0.02"
"HMDB00355","3-Hydroxymethylglutaric acid","3-Hydroxymethylglutaric acid","20.261","1215.66","1490.067","1210719",638.498,"99.07",42351188,"20.185","20.293","0.045"
"HMDB00448","Adipic acid","Adipic acid","20.783","1246.97","1515.659","1908014",740.669,"99.26",52451256,"20.738","20.834","0.006"
"HMDB00267","Pyroglutamic acid ","Pyroglutamic acid ","21.152","1269.11","1534.687","1142514",691.629,"98.93",42445637,"21.095","21.209","0.228"
"HMDB00555","3-Methyladipic acid","3-Methyladipic acid","21.381","1282.85","1546.329","1295957",765.194,"98.93",40130001,"21.343","21.438","<LOD"
"HMDB02432","Sumiki's acid","Sumiki's acid","21.699","1301.93","1562.291","737996",735.617,"99.34",21322410,"21.654","21.737","0.018"
"HMDB00669","o-Hydroxyphenylacetic acid ","o-Hydroxyphenylacetic acid ","22.043","1322.55","1579.28","1281187",591.96,"98.66",44800408,"21.979","22.106","<LOD"
"HMDB00857","Pimelic acid ","Pimelic acid ","22.704","1362.25","1613.063","2702930",785.993,"98.91",81662232,"22.64","22.768","0.004"
"HMDB00440","m-Hydroxyphenylacetic acid","m-Hydroxyphenylacetic acid","22.819","1369.12","1619.375","6718329",796.574,"99.64",166871617,"22.768","22.863","0.041"
"HMDB00500","p-Hydroxybenzoic acid ","p-Hydroxybenzoic acid ","23.13","1387.82","1636.395","1503891",665.035,"99.98",47273116,"23.079","23.188","<LOD"
"HMDB00020","p-Hydroxyphenylacetic acid","p-Hydroxyphenylacetic acid","23.385","1403.09","1650.124","12305240",805.509,"98.61",328980141,"23.315","23.442","0.129"
"HMDB00439","2-Furoylglycine","2-Furoylglycine","23.678","1420.65","1665.729","945394",535.596,"99.98",45283006,"23.62","23.76","0.03"
"HMDB00893","Suberic acid","Suberic acid","24.46","1467.6","1707.409","4189867",798.924,"99.62",100424295,"24.416","24.505","0.03"
"HMDB00375","3-(3-Hydroxyphenyl)propanoic acid","3-(3-Hydroxyphenyl)propanoic acid","24.982","1498.9","1737.486","1769824",769.068,"96.53",50052507,"24.931","25.033","<LOD"
"HMDB00958","trans-Aconitic acid","trans-Aconitic acid (3TMS)","25.516","1530.97","1767.657","2767891",704.145,"99.76",94327728,"25.446","25.573","0.034"
"HMDB00118","Homovanillic acid","Homovanillic acid","25.828","1549.67","1784.96","8364858",796.821,"99.33",244822355,"25.745","25.892","0.052"
"HMDB00784","Azelaic acid","Azelaic acid, bis-TMS","26.197","1571.81","1805.847","6253249",798.937,"99.62",167671614,"26.152","26.299","0.047"
"HMDB00714","Hippuric acid ","Hippuric acid ","27.017","1621.05","1855.495","15673182",783.286,"93.55",1307300111,"26.878","27.024","0.495"
"HMDB02643","HPHPA","HPHPA","27.31","1638.62","1872.846","17706656",701.058,"98",590002848,"27.221","27.374","0.136"
"HMDB00291","Vanillylmandelic acid","Vanillylmandelic acid","27.832","1669.92","1903.598","3026771",682.412,"99.67",104393239,"27.755","27.864","0.027"
"HMDB00755","Hydroxyphenyllactic acid","Hydroxyphenyllactic acid","28.093","1685.57","1919.968","1202174",699.785,"99.92",33550084,"28.061","28.131","0.003"
"HMDB00220","Hexadecanoic acid (Palmitic acid)","Hexadecanoic acid (Palmitic acid)","30.129","1807.72","2050.505","1708681",758.499,"99.91",31623939,"30.071","30.167","<LOD"
"HMDB06116","m-Hydroxyhippuric acid","m-Hydroxyhippuric acid","31.789","1907.35","2161.742","15818906",801.129,"98.11",680273438,"31.681","31.897","0.222"
"HMDB00827","Octadecanoic acid (Stearic acid)","Octadecanoic acid (Stearic acid)","33.023","1981.4","2248.211","2082919",762.831,"98.97",54755204,"32.953","33.074","0.083"
"HMDB00067","Cholesterol","Cholesterol","44.074","2644.46","3178.818","17350336",701.308,"99.38",832257670,"43.953","44.233","ISTD"
