"HMDB_ID","Compound","CompoundWithTMS","RT_min","RT","RI","Intensity","MatchFactor","RI.Similarity","Area","RT.start","RT.end","Concentration"
"HMDB00190","Lactic acid","Lactic acid","9.395","563.677","1075.434","245145",735.999,"99.33",0,"9.363","9.439","<LOD"
"HMDB01870","Benzoic acid","Benzoic acid","14.694","881.652","1251.846","2670248",803.804,"99.21",81715130,"14.612","14.815","0.144"
"HMDB00622","Ethylmalonic acid","Ethylmalonic acid","15.776","946.545","1291.679","7556735",801.579,"99.41",213763867,"15.68","15.884","0.077"
"HMDB00254","Succinic acid","Succinic acid","16.552","993.116","1324.383","82168",702.344,"98.94",17880332,"16.361","16.743","0.071"
"HMDB00661","Glutaric acid","Glutaric acid","18.632","1117.94","1414.028","7443962",806.732,"99.99",191767047,"18.575","18.741","0.083"
"HMDB00448","Adipic acid","Adipic acid","20.783","1246.96","1515.65","8615603",807.486,"99.25",220051465,"20.719","20.891","0.084"
"HMDB00784","Azelaic acid","Azelaic acid, bis-TMS","26.203","1572.19","1806.236","9569378",808.157,"99.98",285219570,"26.133","26.343","0.088"
"HMDB00220","Hexadecanoic acid (Palmitic acid)","Hexadecanoic acid (Palmitic acid)","30.148","1808.86","2051.812","410576",793.149,"98.85",0,"30.097","30.211","<LOD"
"HMDB00827","Octadecanoic acid (Stearic acid)","Octadecanoic acid (Stearic acid)","33.042","1982.54","2249.623","329500",794.697,"99.98",0,"32.998","33.1","<LOD"
"HMDB00067","Cholesterol","Cholesterol","44.068","2644.07","3178.199","16455410",701.009,"99.7",753310213,"43.953","44.227","ISTD"
