"","hmdbID","CompoundWithTMS","RT_min","RT","RI","Intensity","MatchFactor","RI.Similarity","Corr.Spearman","matchMZrate","matchMZnum","sampleMZnum","TScore","Area","RT.start","RT.end","peakType","mz","mzInt"
"1","HMDB00243","Pyruvic acid","8.071","484.278","1038.083","161919","252.427","90.97","42.51","73.47","108","121","62.5","33468819","7.9","8.262","SKEWED","41.1,42.1,43.1,44.1,45.1,46.1,47,49,50,51,52,53,54,55,56.1,57.1,58.1,59.1,60.1,61,63,65,66,67.1,68,69.1,70,71.1,72.1,73.1,74.1,75.1,76,77,78,79,80,81,83,84.1,85.1,86.1,87.1,88,89,90,91,92,93,94,95,96,97,100.1,101.1,102,102.9,104,105,106,107,111.1,115.1,116,117,118.1,119,120,121,129,130.9,132.1,133,134,135,145.1,146,147.1,148,149,150,150.9,155,157.9,159.1,160.9,163.1,170,173,174.1,175,176,177,178.1,179,188.1,189.1,190.1,191.1,192.1,193,205,207,208.1,209,221.1,222,223,233.1,234.1,235,246.2,247.1,248.1,249,250,251.1,252.1,253,263.1,281.1","3132,3120,13647,5871,1777,275,1122,188,203,266,227,410,162,688,2478,3179,3102,930,228,376,191,200,345,305,222,2156,619,689,10043,5267,592,8746,1334,2265,514,420,162,435,301,595,373,4288,7368,1111,275,282,427,231,721,150,400,584,192,575,805,247,477,1395,303,480,195,593,1917,368,877,292,666,411,412,624,647,507,2374,331,450,164,702,4009,657,5514,827,650,646,191,173,254,718,268,233,601,1804,401,644,279,158,1100,4396,1864,6122,1053,932,205,6356,1350,837,1461,353,252,598,152,192,201,891,379,961,235,3281,616,392,386,264"
"2","HMDB00243","Pyruvic acid","8.148","488.859","1040.399","146155","294.114","94.7","52.19","70.07","103","109","62.8","31801574","7.957","8.339","SKEWED","40.1,41.1,42.1,43.1,44.1,45,46.1,47,49,51,52,53,54,55.1,56.1,57.1,58.1,59,60,61,63,65,65.9,67,68,69.1,70,71.1,72.1,73.1,74.1,75.1,76,77,78,78.9,81.1,82,83.1,84.1,85,86.1,87.1,88,89,89.9,91,92,93,94.9,96.2,100.1,101,102,103,104,105,106.1,113,114,115.1,116,117.1,118,119,120,121.1,128,129,130,130.9,132,133,135,143,147,148,149,157,158,159,160,163,169.9,173,174.1,175,176.1,176.9,178,179,188.1,189.1,190,191,192,193,207,208.1,209,221.1,222.1,223,248,249,250.1,251.1,263.1,281.1","745,2663,2532,12491,5258,2613,268,1471,179,206,226,312,310,2117,11079,3685,3192,1381,349,604,159,210,209,298,153,1662,534,1027,8472,10336,1107,10583,1192,1930,548,438,190,202,3581,946,393,4201,6498,841,268,185,415,198,618,363,253,646,633,324,2146,1059,349,588,259,252,1461,314,657,241,330,284,503,235,674,616,288,227,795,176,248,1172,215,973,819,6868,962,316,518,165,844,187,280,178,371,260,155,228,331,182,876,335,230,2187,519,267,1297,228,156,219,707,219,282,298,258"
"3","HMDB00243","Pyruvic acid","8.218","493.058","1042.503","96357","412.191","98.07","58.35","61.9","91","94","62.93","20966127","8.027","8.409","SKEWED","41.1,42.1,43.1,44.1,45,47,50.9,52,53.1,54.1,55.1,56.1,57.1,58.1,59.1,59.8,61,63,65,66,67,69.1,70.1,71.1,72.1,73.1,74,75,76.1,77,78,79,81,83,84.1,85.1,86.1,87.1,88.1,90,91,91.9,93,95,95.9,97,100.1,101,102.1,103,104.1,105,106.1,115.1,116,117.1,119,120,121.1,128,129.1,130,131,132,133,135,147.1,148.1,149,158,163,170,175,176,177,178,188,189,190,191,192,193,205,207,208.1,208.9,219.9,221.1,222.2,223.1,248.1,249.1,263.2,281","2523,2347,10943,4892,1459,977,221,219,268,210,765,2590,3060,2252,867,156,240,258,176,221,187,1363,540,552,7159,4438,571,7407,1053,1569,418,311,207,346,436,319,3350,5874,794,162,468,206,652,349,201,172,387,519,2582,737,699,200,480,1284,312,538,215,218,404,168,471,157,208,152,614,161,1729,293,888,545,402,154,299,172,336,202,160,238,321,600,304,173,174,1399,231,159,265,1192,289,174,163,582,325,292"
"4","HMDB00243","Pyruvic acid","8.319","499.165","1045.532","90992","378.969","97.1","46.45","66.67","98","106","64.12","19797903","8.129","8.51","SKEWED","41.1,42.1,43.1,44.1,45,45.9,47,49,50.1,51,52,53.1,54.2,55,56.1,57.1,58.1,59,60,61,63,65,66.1,67,68,69.1,70.1,71.1,72.1,73.1,74.1,75.1,76.1,77,78,79,80,81.1,83,84.1,85.1,86.1,87.1,88.1,88.9,90,91,92.1,93,95.1,96.1,97,100.1,101.1,102.1,103,104.1,105,106,107,108.1,111,115.1,116,117,118,119.1,120,121,121.9,123,129,131,133,143,147,148,149,152.1,153,154.1,158,163,166,167,175.1,177,178,188,189,189.9,191,192,193,198.1,207.1,208,209,221.1,222,223,228.1,249,251,263.1,281","2483,2054,8754,4053,1276,153,982,163,246,350,228,284,208,697,2486,2970,2680,671,180,254,230,345,196,327,166,1186,397,705,5172,3305,652,7579,781,2202,734,365,215,213,325,528,203,2540,4743,639,225,198,1006,187,683,250,215,162,281,489,190,505,707,210,326,158,280,438,1056,277,570,654,1583,423,259,214,199,387,200,589,251,824,262,670,1798,288,176,294,416,285,287,222,260,166,153,195,174,588,226,161,317,1595,372,165,1018,255,158,165,340,466,289,263"
"5","HMDB00243","Pyruvic acid","8.339","500.311","1046.096","92102","250.396","96.2","39.81","65.99","97","106","59.75","20039415","8.148","8.529","SKEWED","41.1,42.1,43.1,44.1,45,47,50,51.1,52,53,54,55.1,56.1,57.1,58.1,59.1,61,63,65,66,67.1,69.1,70,71.1,72.1,73.1,74,75.1,76,77,78,79.1,80.1,83,84.1,85.1,86.1,87.1,88,89,90,91.1,92,93.1,94.1,95,96.1,100,101,102,103,104,105,106.1,107,108,111.1,115.1,116,117.1,118.1,119.1,120,121.1,121.9,123.1,126,129,131.1,132.9,134,135,143.1,147,148,149,149.9,152,153,154,158.1,159,163,166.1,167,169.9,174.1,175,177,178,188.1,189,191,192,198,207,207.9,214,221.1,222.1,223.2,228,249.1,251.1,263,281.1","2422,2198,8224,3830,1344,1009,224,349,254,257,166,728,2509,3097,2292,638,343,196,303,251,297,1054,324,508,5180,3744,577,7083,951,2346,760,404,271,334,469,250,2676,4764,550,188,206,1026,325,752,188,311,221,323,482,228,691,852,269,399,195,253,276,931,214,612,586,1713,693,303,231,283,203,457,246,502,201,179,186,834,581,791,167,2424,373,245,271,156,428,329,322,151,166,227,280,167,151,164,471,243,893,955,179,203,1075,245,156,489,275,186,228,323"
"6","HMDB00243","Pyruvic acid","8.409","504.51","1048.152","76604","415.489","92.94","56.53","61.9","91","92","62.01","16667383","8.218","8.599","SKEWED","40.1,41.1,42.1,43.1,44.1,45,47,51,52,53,54.1,55.1,56.1,57.1,58.1,59,60,61,64.9,66.9,68,69,70.1,71.1,72.1,73.1,73.9,75.1,76,77,78,79,80,81.1,83,84,86.1,87.1,88.1,90.9,92,93,93.9,94.9,95.9,97,98.1,99.1,100,101,102,103,104.1,105,106.2,108,115.1,116.1,117.1,118,119.1,120,121.1,123.1,129,130,130.9,132,133,134.9,147,148,149,152,158.1,159.1,163.1,175.1,176,177,178,188,189,191,193,207,207.9,221.1,222,249.1,263.1,281","662,2856,2835,6599,4389,1112,920,256,167,250,155,685,2260,3269,1874,503,163,217,176,227,182,822,512,610,3285,3019,400,6929,848,1783,450,313,167,236,223,226,1878,3128,388,453,194,652,150,278,154,400,2120,2808,408,481,231,283,431,205,301,227,664,218,346,254,500,209,216,161,343,408,223,166,458,167,852,180,619,186,217,179,404,212,163,236,155,173,177,438,203,909,200,914,245,242,264,302"
"7","HMDB00190","Lactic acid","9.178","550.698","1069.703","95030","174.024","91.75","31.45","60.4","90","96","53.77","20677388","8.987","9.369","SKEWED","41.1,42.1,43.1,44.1,45,46,47,49.9,51,53,54,55,56.1,57.1,58.1,59,60,61,67,69.1,70.1,71,72.1,73.1,74,75.1,76,77,78,79,80,80.9,84.1,85,86.1,87.1,87.9,91.1,92,92.9,95,96.1,96.9,98,99.1,100.1,101,102,103,105,112,113.1,114.1,115.1,116,117,118.9,121.1,126.2,128.1,129,130.1,131,132.1,132.9,135,142.1,143.1,144.1,147,149,150.9,154.1,156.1,157.1,158,163,170.1,171.1,172.1,174.1,175.1,176.1,177,178,188.2,189.2,190,191,192,207,221.1,222,249,263,281","2271,1548,3483,2557,1750,195,906,153,176,211,197,662,2027,3286,1004,1207,357,337,291,397,565,459,1534,9615,1136,7324,635,1420,407,290,150,263,227,227,1013,1496,220,480,172,537,210,225,171,353,312,1715,339,270,180,221,221,152,293,1313,422,598,197,161,199,10602,1657,3552,585,169,382,186,804,217,241,603,543,208,399,2053,347,248,378,311,1838,352,4531,730,277,346,159,173,985,194,437,204,816,804,156,262,200,297"
"8","HMDB00190","Lactic acid","9.312","558.714","1073.259","462605","571.506","97.3","74.84","64.43","96","103","68.82","13827115","9.261","9.356","NORMAL","41.1,42.1,43.1,44.1,45.1,46,47,48,49,51,52,52.8,54.1,55.1,56.1,57.1,58.1,59.1,60,61.1,62,63,66.1,67.9,69,70,71,72,73.1,74.1,75.1,76,77.1,78,79.1,83,84,85,86.1,87.3,88.9,90.1,91,93,95,98,98.9,100,101.1,102,103,103.9,104.9,106,113,114,115,116,117,117.9,119,120.1,121,128.1,129,130.1,131,132.1,133.1,134.1,135,143,144,146.2,147.1,148.1,149.1,150,151,158,160.1,163.1,170.1,171.1,174.1,175,176,177,178,189.1,190.1,191.1,192.1,193.1,205.1,206,207,208.1,221.1,222.1,249,263,281.1","1980,1611,5528,3646,9183,702,3704,172,216,1082,3285,575,239,766,2369,3526,2354,4718,1118,2462,242,236,20240,204,346,2489,966,4682,32552,4568,48512,3520,2760,354,264,167,244,409,1660,2817,419,170,448,526,288,229,322,14979,1775,1872,1117,234,670,230,377,627,1837,667,1867,404,447,160,242,444,218,2198,7122,1474,2828,415,310,215,353,1307,123136,19320,10079,1052,451,216,237,396,154,152,3819,717,304,232,201,809,57448,10176,4850,729,1808,392,729,171,763,169,200,202,368"
"9","HMDB00190","Lactic acid","9.395","563.677","1075.434","245145","735.999","99.33","80.49","65.77","98","105","74.83","7715242","9.363","9.439","NORMAL","41,42.1,43.1,44.1,45,46,47,51,52,52.9,54.1,55.1,56.1,57.1,58.1,59,60,61,63,65.1,66.1,67.9,69,70,71.1,72.1,73.1,74.1,75.1,76.1,77,78.1,79.1,80.9,84,85,86.1,87.1,88,88.8,91.1,92.1,93.1,93.9,94.9,96,99,100,101,102.1,103,104,105.1,113,115,116,117.1,118.1,119.1,120,121.1,128,129,130.1,131.1,132,133,134,135,141,143,143.9,147.1,148.1,149.1,150,151,154,156.1,159,161.1,163,166.1,170.1,171.1,174.1,175.1,176,177.1,185.1,189.1,190.1,191.1,192.1,193,203,205,207,219.1,220.1,221.1,222,249.1,263,281","2134,1441,4362,2879,4865,379,1544,334,645,326,167,1092,1877,3290,1699,2335,336,864,202,201,4397,152,359,554,741,2123,36760,3420,12433,1086,1501,471,237,170,161,248,1043,2035,2203,403,680,165,520,190,322,160,276,1562,1211,1190,630,160,438,258,924,644,32776,3556,1856,572,204,401,746,1102,2084,465,3121,476,377,228,237,208,38880,6331,3759,401,203,249,271,159,186,381,268,1463,263,1624,658,268,256,272,549,9981,9012,2256,812,362,194,651,3573,568,984,238,268,184,355"
"10","HMDB00190","Lactic acid","9.458","567.494","1077.095","89702","412.619","96.76","46.77","54.36","81","94","58.91","19518079","9.267","9.649","SKEWED","41.1,42.1,43.1,44,45.1,46.1,47,50.9,52,53,55,56.1,57.1,58.1,59,59.9,61,63,65,66,66.9,69,70,71.1,72,73.1,74,75.1,76,77.1,78,79,81,84,85.1,86,87.1,88,89,91,92,93,95,96,99,100.1,101.1,101.9,103,105,115,116,117.1,118,119,120,128.1,129,130.1,131,133,135.1,144,147.1,148,149,156.1,163,170.1,174.1,175.1,176.2,177.1,178.1,188,189.1,190.1,191.1,192,193,205,207.1,208.1,209,219.1,221.1,249,263,265.1,279,281.1,295.1,296.1,297.1","2094,1456,3159,1937,1627,154,921,232,243,198,494,1957,2986,980,898,172,400,182,151,777,272,266,363,368,1063,8705,975,8391,683,1433,335,268,209,163,185,978,1611,279,184,442,217,493,225,205,150,1133,356,282,270,230,572,308,2312,445,439,222,270,274,927,646,772,183,160,6413,965,842,169,365,447,1347,349,191,258,171,195,479,2143,1354,326,313,192,6647,1364,865,232,809,318,281,153,203,329,1654,634,366"
